Bronze,Country,Gold,Rank,Silver,Total,year
11,Italy,10,8,11,32,2004
9,South Korea,9,9,12,30,2004
12,Great Britain,9,10,9,30,2004
11,Cuba,9,11,7,27,2004
9,Ukraine,8,12,5,22,2004
9,Netherlands,4,13,9,22,2004
6,Spain,3,14,11,20,2004
6,Romania,8,15,5,19,2004
3,Hungary,8,16,6,17,2004
4,Greece,6,17,6,16,2004
6,Belarus,2,18,5,13,2004
3,Canada,3,19,6,12,2004
9,Bulgaria,2,20,1,12,2004
5,Turkey,3,21,3,11,2004
3,Brazil,5,22,2,10,2004
5,Poland,3,23,2,10,2004
5,Czech Republic,1,24,3,9,2004
4,Thailand,3,25,1,8,2004
5,Denmark,2,26,1,8,2004
3,Kazakhstan,1,27,4,8,2004
1,Sweden,4,28,2,7,2004
1,Austria,2,29,4,7,2004
2,Ethiopia,2,30,3,7,2004
2,Kenya,1,31,4,7,2004
1,Norway,5,32,0,6,2004
2,Slovakia,2,33,2,6,2004
2,Iran,2,34,2,6,2004
4,Argentina,2,35,0,6,2004
2,South Africa,1,36,3,6,2004
0,New Zealand,3,37,2,5,2004
1,Chinese Taipei,2,38,2,5,2004
2,Jamaica,2,39,1,5,2004
2,Uzbekistan,2,40,1,5,2004
2,Croatia,1,41,2,5,2004
3,Switzerland,1,42,1,5,2004
3,Egypt,1,43,1,5,2004
4,Azerbaijan,1,44,0,5,2004
1,North Korea,0,45,4,5,2004
0,Georgia,2,46,2,4,2004
2,Indonesia,1,47,1,4,2004
0,Latvia,0,48,4,4,2004
1,Mexico,0,49,3,4,2004
3,Slovenia,0,50,1,4,2004
0,Morocco,2,51,1,3,2004
1,Chile,2,52,0,3,2004
0,Lithuania,1,53,2,3,2004
1,Zimbabwe,1,54,1,3,2004
2,Belgium,1,55,0,3,2004
1,Portugal,0,56,2,3,2004
2,Estonia,0,57,1,3,2004
1,Bahamas,1,58,0,2,2004
1,Israel,1,59,0,2,2004
0,Serbia and Montenegro,0,60,2,2,2004
0,Finland,0,61,2,2,2004
2,Nigeria,0,62,0,2,2004
2,Venezuela,0,63,0,2,2004
2,Colombia,0,64,0,2,2004
0,Dominican Republic,1,65,0,1,2004
0,Cameroon,1,66,0,1,2004
0,United Arab Emirates,1,67,0,1,2004
0,Paraguay,0,68,1,1,2004
0,Hong Kong,0,69,1,1,2004
0,India,0,70,1,1,2004
1,Eritrea,0,71,0,1,2004
1,Trinidad and Tobago,0,72,0,1,2004
1,Mongolia,0,73,0,1,2004
1,Syria,0,74,0,1,2004
32,United States,37,1,24,93,2000
29,Russia,32,2,28,89,2000
14,China,28,3,16,58,2000
17,Australia,16,4,25,58,2000
26,Germany,13,5,17,56,2000
11,France,13,6,14,38,2000
13,Italy,13,7,8,34,2000
7,Cuba,11,8,11,29,2000
7,Great Britain,11,9,10,28,2000
10,South Korea,8,10,10,28,2000
9,Romania,11,11,6,26,2000
4,Netherlands,12,12,9,25,2000
10,Ukraine,3,13,10,23,2000
5,Japan,5,14,8,18,2000
3,Hungary,8,15,6,17,2000
11,Belarus,3,16,3,17,2000
3,Poland,6,17,5,14,2000
8,Canada,3,18,3,14,2000
2,Bulgaria,5,19,6,13,2000
3,Greece,4,20,6,13,2000
3,Sweden,4,21,5,12,2000
6,Brazil,0,22,6,12,2000
5,Spain,3,23,3,11,2000
3,Norway,4,24,3,10,2000
2,Switzerland,1,25,6,9,2000
3,Jamaica,0,26,6,9,2000
3,Ethiopia,4,27,1,8,2000
3,Czech Republic,2,28,3,8,2000
0,Kazakhstan,3,29,4,7,2000
2,Kenya,2,30,3,7,2000
1,Denmark,2,31,3,6,2000
2,Indonesia,1,32,3,6,2000
3,Mexico,1,33,2,6,2000
6,Georgia,0,34,0,6,2000
2,Turkey,3,35,0,5,2000
3,Lithuania,2,36,0,5,2000
1,Slovakia,1,37,3,5,2000
3,Algeria,1,38,1,5,2000
3,South Africa,0,39,2,5,2000
3,Belgium,0,40,2,5,2000
4,Morocco,0,41,1,5,2000
4,Chinese Taipei,0,42,1,5,2000
1,Iran,3,43,0,4,2000
1,Finland,2,44,1,4,2000
2,Uzbekistan,1,45,1,4,2000
3,New Zealand,1,46,0,4,2000
2,Argentina,0,47,2,4,2000
3,North Korea,0,48,1,4,2000
0,Austria,2,49,1,3,2000
1,Bahamas,2,50,0,3,2000
1,Azerbaijan,2,51,0,3,2000
0,Nigeria,1,52,2,3,2000
1,Serbia and Montenegro,1,53,1,3,2000
1,Latvia,1,54,1,3,2000
2,Estonia,1,55,0,3,2000
2,Thailand,1,56,0,3,2000
0,Slovenia,2,57,0,2,2000
1,Croatia,1,58,0,2,2000
1,Trinidad and Tobago,0,59,1,2,2000
1,Saudi Arabia,0,60,1,2,2000
1,Moldova,0,61,1,2,2000
2,Costa Rica,0,62,0,2,2000
2,Portugal,0,63,0,2,2000
0,Colombia,1,64,0,1,2000
0,Cameroon,1,65,0,1,2000
0,Mozambique,1,66,0,1,2000
0,Vietnam,0,67,1,1,2000
0,Uruguay,0,68,1,1,2000
0,Sri Lanka,0,69,1,1,2000
0,Ireland,0,70,1,1,2000
1,Chile,0,71,0,1,2000
1,Barbados,0,72,0,1,2000
1,Iceland,0,73,0,1,2000
1,Kuwait,0,74,0,1,2000
1,Israel,0,75,0,1,2000
1,Macedonia,0,76,0,1,2000
1,Kyrgyzstan,0,77,0,1,2000
1,Armenia,0,78,0,1,2000
1,Qatar,0,79,0,1,2000
1,India,0,80,0,1,2000
25,United States,44,1,32,101,1996
27,Germany,20,2,18,65,1996
16,Russia,26,3,21,63,1996
12,China,16,4,22,50,1996
23,Australia,9,5,9,41,1996
15,France,15,6,7,37,1996
12,Italy,13,7,10,35,1996
5,South Korea,7,8,15,27,1996
8,Cuba,9,9,8,25,1996
12,Ukraine,9,10,2,23,1996
8,Canada,3,11,11,22,1996
10,Hungary,7,12,4,21,1996
9,Romania,4,13,7,20,1996
10,Netherlands,4,14,5,19,1996
5,Poland,7,15,5,17,1996
6,Spain,5,16,6,17,1996
5,Bulgaria,3,17,7,15,1996
9,Brazil,3,18,3,15,1996
6,Great Britain,1,19,8,15,1996
8,Belarus,1,20,6,15,1996
5,Japan,3,21,6,14,1996
4,Czech Republic,4,22,3,11,1996
4,Kazakhstan,3,23,4,11,1996
0,Greece,4,24,4,8,1996
2,Sweden,2,25,4,8,1996
3,Kenya,1,26,4,8,1996
0,Switzerland,4,27,3,7,1996
3,Norway,2,28,2,7,1996
1,Denmark,4,29,1,6,1996
1,Turkey,4,30,1,6,1996
1,New Zealand,3,31,2,6,1996
2,Belgium,2,32,2,6,1996
3,Nigeria,2,33,1,6,1996
2,Jamaica,1,34,3,6,1996
1,South Africa,3,35,1,5,1996
2,North Korea,2,36,1,5,1996
1,Ireland,3,37,0,4,1996
1,Finland,1,38,2,4,1996
2,Serbia and Montenegro,1,39,1,4,1996
2,Indonesia,1,40,1,4,1996
1,Ethiopia,2,41,0,3,1996
1,Algeria,2,42,0,3,1996
1,Slovakia,1,43,1,3,1996
1,Iran,1,44,1,3,1996
1,Argentina,0,45,2,3,1996
2,Austria,0,46,1,3,1996
0,Croatia,1,47,1,2,1996
0,Armenia,1,48,1,2,1996
1,Portugal,1,49,0,2,1996
1,Thailand,1,50,0,2,1996
0,Namibia,0,51,2,2,1996
0,Slovenia,0,52,2,2,1996
1,Moldova,0,53,1,2,1996
1,Uzbekistan,0,54,1,2,1996
1,Malaysia,0,55,1,2,1996
2,Georgia,0,56,0,2,1996
2,Trinidad and Tobago,0,57,0,2,1996
2,Morocco,0,58,0,2,1996
0,Costa Rica,1,59,0,1,1996
0,Hong Kong,1,60,0,1,1996
0,Burundi,1,61,0,1,1996
0,Ecuador,1,62,0,1,1996
0,Syria,1,63,0,1,1996
0,Philippines,0,64,1,1,1996
0,Tonga,0,65,1,1,1996
0,Chinese Taipei,0,66,1,1,1996
0,Zambia,0,67,1,1,1996
0,Bahamas,0,68,1,1,1996
0,Latvia,0,69,1,1,1996
0,Azerbaijan,0,70,1,1,1996
1,Mozambique,0,71,0,1,1996
1,Israel,0,72,0,1,1996
1,Mongolia,0,73,0,1,1996
1,Tunisia,0,74,0,1,1996
1,Puerto Rico,0,75,0,1,1996
1,Lithuania,0,76,0,1,1996
1,India,0,77,0,1,1996
1,Uganda,0,78,0,1,1996
1,Mexico,0,79,0,1,1996
29,Unified Team,45,1,38,112,1992
37,United States,37,2,34,108,1992
28,Germany,33,3,21,82,1992
16,China,16,4,22,54,1992
11,Cuba,14,5,6,31,1992
7,Hungary,11,6,12,30,1992
12,South Korea,12,7,5,29,1992
16,France,8,8,5,29,1992
11,Australia,7,9,9,27,1992
2,Spain,13,10,7,22,1992
11,Japan,3,11,8,22,1992
12,Great Britain,5,12,3,20,1992
8,Italy,6,13,5,19,1992
10,Poland,3,14,6,19,1992
7,Canada,7,15,4,18,1992
8,Romania,4,16,6,18,1992
6,Bulgaria,3,17,7,16,1992
7,Netherlands,2,18,6,15,1992
4,Sweden,1,19,7,12,1992
5,New Zealand,1,20,4,10,1992
5,North Korea,4,21,0,9,1992
2,Kenya,2,22,4,8,1992
1,Czechoslovakia,4,23,2,7,1992
1,Norway,2,24,4,7,1992
2,Turkey,2,25,2,6,1992
4,Denmark,1,26,1,6,1992
1,Indonesia,2,27,2,5,1992
2,Finland,1,28,2,5,1992
1,Jamaica,0,29,3,4,1992
1,Nigeria,0,30,3,4,1992
0,Brazil,2,31,1,3,1992
1,Morocco,1,32,1,3,1992
2,Ethiopia,1,33,0,3,1992
1,Latvia,0,34,2,3,1992
2,Individual Olympic Athletes,0,35,1,3,1992
2,Iran,0,36,1,3,1992
2,Belgium,0,37,1,3,1992
2,Croatia,0,38,1,3,1992
0,Greece,2,39,0,2,1992
0,Ireland,1,40,1,2,1992
1,Estonia,1,41,0,2,1992
1,Algeria,1,42,0,2,1992
1,Lithuania,1,43,0,2,1992
0,South Africa,0,44,2,2,1992
0,Namibia,0,45,2,2,1992
0,Austria,0,46,2,2,1992
1,Israel,0,47,1,2,1992
2,Slovenia,0,48,0,2,1992
2,Mongolia,0,49,0,2,1992
0,Switzerland,1,50,0,1,1992
0,Chinese Taipei,0,51,1,1,1992
0,Mexico,0,52,1,1,1992
0,Peru,0,53,1,1,1992
1,Suriname,0,54,0,1,1992
1,Philippines,0,55,0,1,1992
1,Puerto Rico,0,56,0,1,1992
1,Thailand,0,57,0,1,1992
1,Ghana,0,58,0,1,1992
1,Pakistan,0,59,0,1,1992
1,Malaysia,0,60,0,1,1992
1,Argentina,0,61,0,1,1992
1,Qatar,0,62,0,1,1992
1,Bahamas,0,63,0,1,1992
1,Colombia,0,64,0,1,1992
46,Soviet Union,55,1,31,132,1988
30,East Germany,37,2,35,102,1988
27,United States,36,3,31,94,1988
15,West Germany,11,4,14,40,1988
13,Bulgaria,10,5,12,35,1988
11,South Korea,12,6,10,33,1988
12,China,5,7,11,28,1988
6,Romania,7,8,11,24,1988
9,Great Britain,5,9,10,24,1988
6,Hungary,11,10,6,23,1988
6,France,6,11,4,16,1988
9,Poland,2,12,5,16,1988
4,Italy,6,13,4,14,1988
7,Japan,4,14,3,14,1988
5,Australia,3,15,6,14,1988
8,New Zealand,3,16,2,13,1988
5,Yugoslavia,3,17,4,12,1988
7,Sweden,0,18,4,11,1988
5,Canada,3,19,2,10,1988
2,Kenya,5,20,2,9,1988
5,Netherlands,2,21,2,9,1988
2,Czechoslovakia,3,22,3,8,1988
3,Brazil,1,23,2,6,1988
0,Norway,2,24,3,5,1988
1,Denmark,2,25,1,4,1988
2,Spain,1,26,1,4,1988
2,Finland,1,27,1,4,1988
2,Switzerland,0,28,2,4,1988
2,Morocco,1,29,0,3,1988
0,Turkey,1,30,1,2,1988
0,Jamaica,0,31,2,2,1988
1,Argentina,0,32,1,2,1988
2,Belgium,0,33,0,2,1988
2,Mexico,0,34,0,2,1988
0,Suriname,1,35,0,1,1988
0,Austria,1,36,0,1,1988
0,Portugal,1,37,0,1,1988
0,Chile,0,38,1,1,1988
0,Iran,0,39,1,1,1988
0,Costa Rica,0,40,1,1,1988
0,United States Virgin Islands,0,41,1,1,1988
0,Netherlands Antilles,0,42,1,1,1988
0,Peru,0,43,1,1,1988
0,Indonesia,0,44,1,1,1988
0,Senegal,0,45,1,1,1988
1,Philippines,0,46,0,1,1988
1,Colombia,0,47,0,1,1988
1,Thailand,0,48,0,1,1988
1,Mongolia,0,49,0,1,1988
1,Pakistan,0,50,0,1,1988
1,Djibouti,0,51,0,1,1988
1,Greece,0,52,0,1,1988
30,United States,83,1,61,174,1984
23,West Germany,17,2,19,59,1984
17,Romania,20,3,16,53,1984
16,Canada,10,4,18,44,1984
21,Great Britain,5,5,11,37,1984
9,China,15,6,8,32,1984
12,Italy,14,7,6,32,1984
14,Japan,10,8,8,32,1984
16,France,5,9,7,28,1984
12,Australia,4,10,8,24,1984
7,South Korea,6,11,6,19,1984
6,Sweden,2,12,11,19,1984
7,Yugoslavia,7,13,4,18,1984
6,Netherlands,5,14,2,13,1984
6,Finland,4,15,2,12,1984
2,New Zealand,8,16,1,11,1984
2,Brazil,1,17,5,8,1984
4,Switzerland,0,18,4,8,1984
1,Mexico,2,19,3,6,1984
3,Denmark,0,20,3,6,1984
2,Spain,1,21,2,5,1984
2,Belgium,1,22,1,4,1984
1,Austria,1,23,1,3,1984
2,Kenya,1,24,0,3,1984
2,Portugal,1,25,0,3,1984
2,Norway,0,26,1,3,1984
2,Jamaica,0,27,1,3,1984
3,Venezuela,0,28,0,3,1984
3,Turkey,0,29,0,3,1984
0,Morocco,2,30,0,2,1984
1,Puerto Rico,0,31,1,2,1984
1,Nigeria,0,32,1,2,1984
1,Greece,0,33,1,2,1984
2,Algeria,0,34,0,2,1984
0,Pakistan,1,35,0,1,1984
0,Egypt,0,36,1,1,1984
0,Thailand,0,37,1,1,1984
0,Cote d'Ivoire,0,38,1,1,1984
0,Ireland,0,39,1,1,1984
0,Colombia,0,40,1,1,1984
0,Peru,0,41,1,1,1984
0,Syria,0,42,1,1,1984
1,Iceland,0,43,0,1,1984
1,Zambia,0,44,0,1,1984
1,Dominican Republic,0,45,0,1,1984
1,Cameroon,0,46,0,1,1984
1,Chinese Taipei,0,47,0,1,1984
46,Soviet Union,80,1,69,195,1980
42,East Germany,47,2,37,126,1980
17,Bulgaria,8,3,16,41,1980
15,Hungary,7,4,10,32,1980
15,Poland,3,5,14,32,1980
13,Romania,6,6,6,25,1980
9,Great Britain,5,7,7,21,1980
5,Cuba,8,8,7,20,1980
4,Italy,8,9,3,15,1980
3,France,6,10,5,14,1980
9,Czechoslovakia,2,11,3,14,1980
6,Sweden,3,12,3,12,1980
4,Yugoslavia,2,13,3,9,1980
5,Australia,2,14,2,9,1980
4,Finland,3,15,1,8,1980
2,Spain,1,16,3,6,1980
2,Denmark,2,17,1,5,1980
2,North Korea,0,18,3,5,1980
2,Brazil,2,19,0,4,1980
2,Ethiopia,2,20,0,4,1980
1,Austria,1,21,2,4,1980
2,Mongolia,0,22,2,4,1980
3,Mexico,0,23,1,4,1980
2,Greece,1,24,0,3,1980
2,Netherlands,0,25,1,3,1980
3,Jamaica,0,26,0,3,1980
0,Switzerland,2,27,0,2,1980
0,Tanzania,0,28,2,2,1980
1,Ireland,0,29,1,2,1980
0,Belgium,1,30,0,1,1980
0,India,1,31,0,1,1980
0,Zimbabwe,1,32,0,1,1980
0,Venezuela,0,33,1,1,1980
0,Uganda,0,34,1,1,1980
1,Guyana,0,35,0,1,1980
1,Lebanon,0,36,0,1,1980
35,Soviet Union,49,1,41,125,1976
25,United States,34,2,35,94,1976
25,East Germany,40,3,25,90,1976
17,West Germany,10,4,12,39,1976
14,Romania,4,5,9,27,1976
13,Poland,7,6,6,26,1976
10,Japan,9,7,6,25,1976
7,Bulgaria,6,8,9,22,1976
13,Hungary,4,9,5,22,1976
3,Cuba,6,10,4,13,1976
5,Great Britain,3,11,5,13,1976
4,Italy,2,12,7,13,1976
6,Canada,0,13,5,11,1976
4,France,2,14,3,9,1976
3,Yugoslavia,2,15,3,8,1976
4,Czechoslovakia,2,16,2,8,1976
0,Finland,4,17,2,6,1976
4,South Korea,1,18,1,6,1976
3,Belgium,0,19,3,6,1976
0,Sweden,4,20,1,5,1976
3,Netherlands,0,21,2,5,1976
4,Australia,0,22,1,5,1976
1,New Zealand,2,23,1,4,1976
2,Switzerland,1,24,1,4,1976
2,Denmark,1,25,0,3,1976
0,North Korea,1,26,1,2,1976
0,Jamaica,1,27,1,2,1976
0,Norway,1,28,1,2,1976
1,Mexico,1,29,0,2,1976
0,Spain,0,30,2,2,1976
0,Portugal,0,31,2,2,1976
1,Iran,0,32,1,2,1976
2,Brazil,0,33,0,2,1976
0,Trinidad and Tobago,1,34,0,1,1976
0,Venezuela,0,35,1,1,1976
0,Mongolia,0,36,1,1,1976
1,Thailand,0,37,0,1,1976
1,Puerto Rico,0,38,0,1,1976
1,Bermuda,0,39,0,1,1976
1,Pakistan,0,40,0,1,1976
1,Austria,0,41,0,1,1976
22,Soviet Union,50,1,27,99,1972
30,United States,33,2,31,94,1972
23,East Germany,20,3,23,66,1972
16,West Germany,13,4,11,40,1972
16,Hungary,6,5,13,35,1972
8,Japan,13,6,8,29,1972
9,Poland,7,7,5,21,1972
5,Bulgaria,6,8,10,21,1972
10,Italy,5,9,3,18,1972
9,Great Britain,4,10,5,18,1972
2,Australia,8,11,7,17,1972
6,Sweden,4,12,6,16,1972
7,Romania,3,13,6,16,1972
7,France,2,14,4,13,1972
4,Kenya,2,15,3,9,1972
4,Cuba,3,16,1,8,1972
4,Finland,3,17,1,8,1972
2,Czechoslovakia,2,18,4,8,1972
1,Netherlands,3,19,1,5,1972
2,Yugoslavia,2,20,1,5,1972
3,North Korea,1,21,1,5,1972
3,Canada,0,22,2,5,1972
1,Norway,2,23,1,4,1972
1,New Zealand,1,24,1,3,1972
0,Switzerland,0,25,3,3,1972
1,Iran,0,26,2,3,1972
2,Colombia,0,27,1,3,1972
2,Austria,0,28,1,3,1972
0,Uganda,1,29,1,2,1972
0,Greece,0,30,2,2,1972
0,Belgium,0,31,2,2,1972
2,Brazil,0,32,0,2,1972
2,Ethiopia,0,33,0,2,1972
0,Denmark,1,34,0,1,1972
0,South Korea,0,35,1,1,1972
0,Mexico,0,36,1,1,1972
0,Lebanon,0,37,1,1,1972
0,Pakistan,0,38,1,1,1972
0,Tunisia,0,39,1,1,1972
0,Argentina,0,40,1,1,1972
0,Turkey,0,41,1,1,1972
0,Mongolia,0,42,1,1,1972
1,Spain,0,43,0,1,1972
1,Niger,0,44,0,1,1972
1,Ghana,0,45,0,1,1972
1,Nigeria,0,46,0,1,1972
1,India,0,47,0,1,1972
1,Jamaica,0,48,0,1,1972
34,United States,45,1,28,107,1968
30,Soviet Union,29,2,32,91,1968
12,Hungary,10,3,10,32,1968
10,West Germany,5,4,11,26,1968
7,Japan,11,5,7,25,1968
7,East Germany,9,6,9,25,1968
11,Poland,5,7,2,18,1968
5,Australia,5,8,7,17,1968
9,Italy,3,9,4,16,1968
5,France,7,10,3,15,1968
5,Romania,4,11,6,15,1968
4,Czechoslovakia,7,12,2,13,1968
3,Great Britain,5,13,5,13,1968
2,Kenya,3,14,4,9,1968
3,Mexico,3,15,3,9,1968
3,Bulgaria,2,16,4,9,1968
2,Yugoslavia,3,17,3,8,1968
3,Denmark,1,18,4,8,1968
1,Netherlands,3,19,3,7,1968
2,Iran,2,20,1,5,1968
1,Canada,1,21,3,5,1968
4,Switzerland,0,22,1,5,1968
1,Sweden,2,23,1,4,1968
1,Finland,1,24,2,4,1968
0,Cuba,0,25,4,4,1968
2,Austria,0,26,2,4,1968
3,Mongolia,0,27,1,4,1968
2,New Zealand,1,28,0,3,1968
2,Brazil,0,29,1,3,1968
0,Turkey,2,30,0,2,1968
0,Ethiopia,1,31,1,2,1968
0,Norway,1,32,1,2,1968
1,Tunisia,1,33,0,2,1968
1,Uganda,0,34,1,2,1968
1,South Korea,0,35,1,2,1968
1,Belgium,0,36,1,2,1968
2,Argentina,0,37,0,2,1968
0,Venezuela,1,38,0,1,1968
0,Pakistan,1,39,0,1,1968
0,Cameroon,0,40,1,1,1968
0,Jamaica,0,41,1,1,1968
1,India,0,42,0,1,1968
1,Chinese Taipei,0,43,0,1,1968
1,Greece,0,44,0,1,1968
35,Soviet Union,30,1,31,96,1964
28,United States,36,2,26,90,1964
18,Germany,10,3,22,50,1964
8,Japan,16,4,5,29,1964
7,Italy,10,5,10,27,1964
10,Poland,7,6,6,23,1964
5,Hungary,10,7,7,22,1964
10,Australia,6,8,2,18,1964
2,Great Britain,4,9,12,18,1964
6,France,1,10,8,15,1964
3,Czechoslovakia,5,11,6,14,1964
6,Romania,2,12,4,12,1964
2,Bulgaria,3,13,5,10,1964
4,Netherlands,2,14,4,10,1964
4,Sweden,2,15,2,8,1964
1,Turkey,2,16,3,6,1964
3,Denmark,2,17,1,6,1964
2,Finland,3,18,0,5,1964
2,New Zealand,3,19,0,5,1964
2,Yugoslavia,2,20,1,5,1964
1,Canada,1,21,2,4,1964
1,Switzerland,1,22,2,4,1964
1,Belgium,2,23,0,3,1964
1,South Korea,0,24,2,3,1964
2,Trinidad and Tobago,0,25,1,3,1964
