Country,Score,year,Percent
China,6.0,2004,0.021978021978
Germany,4.0,2004,0.014652014652
Dominican Republic,3.0,2004,0.010989010989
Kazakhstan,1.0,2004,0.003663003663
Spain,4.0,2004,0.014652014652
Ukraine,4.0,2004,0.014652014652
Eritrea,1.0,2004,0.003663003663
Denmark,3.0,2004,0.010989010989
Poland,4.0,2004,0.014652014652
United States,54.0,2004,0.197802197802
Morocco,8.0,2004,0.029304029304
Sweden,9.0,2004,0.032967032967
Latvia,2.0,2004,0.00732600732601
Hungary,2.0,2004,0.00732600732601
Belarus,3.0,2004,0.010989010989
Russia,38.0,2004,0.139194139194
Jamaica,10.0,2004,0.03663003663
Romania,5.0,2004,0.018315018315
Estonia,1.0,2004,0.003663003663
Portugal,3.0,2004,0.010989010989
South Africa,4.0,2004,0.014652014652
Mexico,2.0,2004,0.00732600732601
Greece,11.0,2004,0.040293040293
Kenya,13.0,2004,0.047619047619
Brazil,2.0,2000,0.00732600732601
Italy,4.0,2000,0.014652014652
Czech Republic,5.0,2000,0.018315018315
Lithuania,3.0,2000,0.010989010989
Bahamas,7.0,2000,0.025641025641
Ethiopia,17.0,2000,0.0622710622711
Great Britain,12.0,2000,0.043956043956
Ireland,2.0,2000,0.00732600732601
Nigeria,5.0,2000,0.018315018315
Norway,5.0,2000,0.018315018315
Saudi Arabia,2.0,2000,0.00732600732601
Australia,7.0,2000,0.025641025641
Algeria,7.0,2000,0.025641025641
Cuba,12.0,2000,0.043956043956
Iceland,1.0,2000,0.003663003663
Trinidad and Tobago,3.0,2000,0.010989010989
Germany,10.0,2000,0.03663003663
China,3.0,2000,0.010989010989
Kazakhstan,3.0,2000,0.010989010989
Spain,1.0,2000,0.003663003663
Ukraine,2.0,2000,0.00732600732601
Denmark,2.0,2000,0.00732600732601
Poland,12.0,2000,0.043956043956
Finland,3.0,2000,0.010989010989
United States,34.0,2000,0.124542124542
Morocco,5.0,2000,0.018315018315
Latvia,2.0,2000,0.00732600732601
Japan,3.0,2000,0.010989010989
Belarus,9.0,2000,0.032967032967
Russia,23.0,2000,0.0842490842491
Bulgaria,3.0,2000,0.010989010989
Jamaica,13.0,2000,0.047619047619
Romania,9.0,2000,0.032967032967
Portugal,1.0,2000,0.003663003663
Estonia,3.0,2000,0.010989010989
Mexico,3.0,2000,0.010989010989
South Africa,4.0,2000,0.014652014652
Austria,2.0,2000,0.00732600732601
Mozambique,3.0,2000,0.010989010989
Greece,9.0,2000,0.032967032967
Sri Lanka,2.0,2000,0.00732600732601
Kenya,14.0,2000,0.0512820512821
Barbados,1.0,2000,0.003663003663
Canada,6.0,1996,0.0227272727273
Brazil,1.0,1996,0.00378787878788
Italy,6.0,1996,0.0227272727273
Czech Republic,5.0,1996,0.0189393939394
France,10.0,1996,0.0378787878788
Bahamas,2.0,1996,0.00757575757576
Ethiopia,7.0,1996,0.0265151515152
Great Britain,10.0,1996,0.0378787878788
Nigeria,7.0,1996,0.0265151515152
Norway,4.0,1996,0.0151515151515
Ecuador,3.0,1996,0.0113636363636
Belarus,6.0,1996,0.0227272727273
Algeria,3.0,1996,0.0113636363636
Cuba,3.0,1996,0.0113636363636
Zambia,2.0,1996,0.00757575757576
Japan,1.0,1996,0.00378787878788
Slovenia,2.0,1996,0.00757575757576
Trinidad and Tobago,2.0,1996,0.00757575757576
Germany,14.0,1996,0.0530303030303
China,8.0,1996,0.030303030303
Spain,3.0,1996,0.0113636363636
Ukraine,6.0,1996,0.0227272727273
Poland,5.0,1996,0.0189393939394
Finland,4.0,1996,0.0151515151515
United States,54.0,1996,0.204545454545
Morocco,2.0,1996,0.00757575757576
Sweden,3.0,1996,0.0113636363636
Australia,4.0,1996,0.0151515151515
Namibia,4.0,1996,0.0151515151515
Hungary,3.0,1996,0.0113636363636
Syria,3.0,1996,0.0113636363636
Russia,22.0,1996,0.0833333333333
Bulgaria,3.0,1996,0.0113636363636
Jamaica,11.0,1996,0.0416666666667
Romania,2.0,1996,0.00757575757576
Portugal,3.0,1996,0.0113636363636
South Africa,5.0,1996,0.0189393939394
Mexico,1.0,1996,0.00378787878788
Austria,1.0,1996,0.00378787878788
Mozambique,1.0,1996,0.00378787878788
Uganda,1.0,1996,0.00378787878788
Greece,2.0,1996,0.00757575757576
Burundi,3.0,1996,0.0113636363636
Kenya,14.0,1996,0.0530303030303
South Korea,2.0,1996,0.00757575757576
Canada,6.0,1992,0.0232558139535
Qatar,1.0,1992,0.00387596899225
Italy,1.0,1992,0.00387596899225
Lithuania,3.0,1992,0.0116279069767
France,3.0,1992,0.0116279069767
Bahamas,1.0,1992,0.00387596899225
Ethiopia,5.0,1992,0.0193798449612
Great Britain,10.0,1992,0.0387596899225
Nigeria,3.0,1992,0.0116279069767
Australia,2.0,1992,0.0077519379845
Algeria,3.0,1992,0.0116279069767
Cuba,12.0,1992,0.046511627907
Czechoslovakia,6.0,1992,0.0232558139535
Germany,19.0,1992,0.0736434108527
China,7.0,1992,0.0271317829457
Spain,9.0,1992,0.0348837209302
Netherlands,3.0,1992,0.0116279069767
Finland,2.0,1992,0.0077519379845
United States,61.0,1992,0.236434108527
Morocco,5.0,1992,0.0193798449612
Sweden,2.0,1992,0.0077519379845
Namibia,4.0,1992,0.015503875969
Kenya,16.0,1992,0.062015503876
Unified Team,46.0,1992,0.178294573643
New Zealand,1.0,1992,0.00387596899225
Bulgaria,3.0,1992,0.0116279069767
Jamaica,7.0,1992,0.0271317829457
Romania,2.0,1992,0.0077519379845
Mexico,2.0,1992,0.0077519379845
South Africa,2.0,1992,0.0077519379845
Colombia,1.0,1992,0.00387596899225
Greece,3.0,1992,0.0116279069767
Japan,4.0,1992,0.015503875969
South Korea,3.0,1992,0.0116279069767
Brazil,3.0,1988,0.0119047619048
Canada,1.0,1988,0.00396825396825
Italy,6.0,1988,0.0238095238095
France,1.0,1988,0.00396825396825
Great Britain,14.0,1988,0.0555555555556
West Germany,5.0,1988,0.0198412698413
Australia,5.0,1988,0.0198412698413
Czechoslovakia,5.0,1988,0.0198412698413
East Germany,50.0,1988,0.198412698413
Djibouti,1.0,1988,0.00396825396825
China,1.0,1988,0.00396825396825
Soviet Union,51.0,1988,0.202380952381
Finland,4.0,1988,0.015873015873
United States,59.0,1988,0.234126984127
Morocco,4.0,1988,0.015873015873
Sweden,1.0,1988,0.00396825396825
Switzerland,1.0,1988,0.00396825396825
Bulgaria,9.0,1988,0.0357142857143
Jamaica,4.0,1988,0.015873015873
Romania,5.0,1988,0.0198412698413
Portugal,3.0,1988,0.0119047619048
Senegal,2.0,1988,0.00793650793651
Kenya,17.0,1988,0.0674603174603
Canada,7.0,1984,0.0284552845528
Brazil,3.0,1984,0.0121951219512
Italy,14.0,1984,0.0569105691057
Ireland,2.0,1984,0.00813008130081
France,7.0,1984,0.0284552845528
Great Britain,29.0,1984,0.117886178862
West Germany,21.0,1984,0.0853658536585
Nigeria,1.0,1984,0.00406504065041
Norway,2.0,1984,0.00813008130081
Cote d'Ivoire,2.0,1984,0.00813008130081
Australia,6.0,1984,0.0243902439024
China,1.0,1984,0.00406504065041
Spain,1.0,1984,0.00406504065041
Netherlands,3.0,1984,0.0121951219512
Finland,9.0,1984,0.0365853658537
United States,85.0,1984,0.345528455285
Morocco,6.0,1984,0.0243902439024
Sweden,5.0,1984,0.020325203252
Switzerland,2.0,1984,0.00813008130081
Jamaica,4.0,1984,0.0162601626016
Romania,19.0,1984,0.0772357723577
Portugal,5.0,1984,0.020325203252
Mexico,8.0,1984,0.0325203252033
Kenya,4.0,1984,0.0162601626016
Brazil,1.0,1980,0.00440528634361
Jamaica,2.0,1980,0.00881057268722
Netherlands,2.0,1980,0.00881057268722
Australia,2.0,1980,0.00881057268722
Italy,10.0,1980,0.0440528634361
Cuba,8.0,1980,0.0352422907489
Tanzania,4.0,1980,0.0176211453744
Finland,3.0,1980,0.0132158590308
East Germany,59.0,1980,0.259911894273
France,1.0,1980,0.00440528634361
Ethiopia,8.0,1980,0.0352422907489
Great Britain,20.0,1980,0.0881057268722
Czechoslovakia,4.0,1980,0.0176211453744
Bulgaria,3.0,1980,0.0132158590308
Poland,15.0,1980,0.0660792951542
Spain,2.0,1980,0.00881057268722
Soviet Union,83.0,1980,0.36563876652
Canada,2.0,1976,0.00900900900901
Brazil,1.0,1976,0.0045045045045
Italy,2.0,1976,0.00900900900901
France,3.0,1976,0.0135135135135
Great Britain,1.0,1976,0.0045045045045
West Germany,15.0,1976,0.0675675675676
Cuba,8.0,1976,0.036036036036
Czechoslovakia,1.0,1976,0.0045045045045
East Germany,56.0,1976,0.252252252252
Belgium,5.0,1976,0.0225225225225
Soviet Union,30.0,1976,0.135135135135
Poland,13.0,1976,0.0585585585586
Finland,10.0,1976,0.045045045045
United States,42.0,1976,0.189189189189
Trinidad and Tobago,3.0,1976,0.0135135135135
Sweden,3.0,1976,0.0135135135135
New Zealand,5.0,1976,0.0225225225225
Bulgaria,8.0,1976,0.036036036036
Jamaica,5.0,1976,0.0225225225225
Romania,1.0,1976,0.0045045045045
Portugal,2.0,1976,0.00900900900901
Mexico,3.0,1976,0.0135135135135
Hungary,3.0,1976,0.0135135135135
Brazil,1.0,1972,0.00438596491228
Italy,2.0,1972,0.00877192982456
France,3.0,1972,0.0131578947368
Ethiopia,2.0,1972,0.00877192982456
Great Britain,7.0,1972,0.030701754386
West Germany,26.0,1972,0.114035087719
Australia,4.0,1972,0.0175438596491
Cuba,2.0,1972,0.00877192982456
Czechoslovakia,4.0,1972,0.0175438596491
East Germany,43.0,1972,0.188596491228
Belgium,4.0,1972,0.0175438596491
Bulgaria,6.0,1972,0.0263157894737
Poland,5.0,1972,0.0219298245614
Finland,10.0,1972,0.0438596491228
United States,42.0,1972,0.184210526316
Sweden,1.0,1972,0.00438596491228
New Zealand,1.0,1972,0.00438596491228
Soviet Union,42.0,1972,0.184210526316
Jamaica,1.0,1972,0.00438596491228
Romania,4.0,1972,0.0175438596491
Tunisia,2.0,1972,0.00877192982456
Austria,1.0,1972,0.00438596491228
Uganda,3.0,1972,0.0131578947368
Kenya,12.0,1972,0.0526315789474
Brazil,2.0,1968,0.00925925925926
Italy,2.0,1968,0.00925925925926
Kenya,18.0,1968,0.0833333333333
France,4.0,1968,0.0185185185185
Ethiopia,5.0,1968,0.0231481481481
Great Britain,8.0,1968,0.037037037037
West Germany,14.0,1968,0.0648148148148
Australia,13.0,1968,0.0601851851852
Cuba,4.0,1968,0.0185185185185
Czechoslovakia,4.0,1968,0.0185185185185
East Germany,13.0,1968,0.0601851851852
Netherlands,1.0,1968,0.00462962962963
Poland,4.0,1968,0.0185185185185
Finland,2.0,1968,0.00925925925926
United States,64.0,1968,0.296296296296
Japan,2.0,1968,0.00925925925926
New Zealand,1.0,1968,0.00462962962963
Soviet Union,21.0,1968,0.0972222222222
Jamaica,2.0,1968,0.00925925925926
Romania,10.0,1968,0.0462962962963
Chinese Taipei,1.0,1968,0.00462962962963
Mexico,2.0,1968,0.00925925925926
Tunisia,4.0,1968,0.0185185185185
Austria,3.0,1968,0.0138888888889
Hungary,12.0,1968,0.0555555555556
Canada,3.0,1964,0.0138888888889
Italy,4.0,1964,0.0185185185185
Kenya,1.0,1964,0.00462962962963
France,3.0,1964,0.0138888888889
Ethiopia,3.0,1964,0.0138888888889
Great Britain,27.0,1964,0.125
Australia,9.0,1964,0.0416666666667
Cuba,2.0,1964,0.00925925925926
Czechoslovakia,4.0,1964,0.0185185185185
Germany,19.0,1964,0.087962962963
Belgium,3.0,1964,0.0138888888889
Poland,16.0,1964,0.0740740740741
Finland,3.0,1964,0.0138888888889
United States,59.0,1964,0.273148148148
Trinidad and Tobago,4.0,1964,0.0185185185185
Sweden,1.0,1964,0.00462962962963
Japan,1.0,1964,0.00462962962963
New Zealand,8.0,1964,0.037037037037
Soviet Union,30.0,1964,0.138888888889
Romania,7.0,1964,0.0324074074074
Tunisia,2.0,1964,0.00925925925926
Hungary,7.0,1964,0.0324074074074
Romania,4.0,1960,0.0197044334975
Australia,8.0,1960,0.0394088669951
Italy,5.0,1960,0.0246305418719
Chinese Taipei,2.0,1960,0.00985221674877
South Africa,1.0,1960,0.00492610837438
Ethiopia,3.0,1960,0.0147783251232
Poland,11.0,1960,0.0541871921182
Finland,1.0,1960,0.00492610837438
Morocco,2.0,1960,0.00985221674877
France,3.0,1960,0.0147783251232
United States,58.0,1960,0.285714285714
West Indies Federation,2.0,1960,0.00985221674877
Sweden,2.0,1960,0.00985221674877
Great Britain,13.0,1960,0.064039408867
Germany,25.0,1960,0.12315270936
Belgium,2.0,1960,0.00985221674877
Hungary,4.0,1960,0.0197044334975
New Zealand,7.0,1960,0.0344827586207
Czechoslovakia,2.0,1960,0.00985221674877
Soviet Union,48.0,1960,0.23645320197
Brazil,3.0,1956,0.0152284263959
Australia,22.0,1956,0.111675126904
Chile,2.0,1956,0.010152284264
Iceland,2.0,1956,0.010152284264
Czechoslovakia,4.0,1956,0.0203045685279
Finland,3.0,1956,0.0152284263959
Poland,5.0,1956,0.0253807106599
France,3.0,1956,0.0152284263959
United States,73.0,1956,0.370558375635
Sweden,1.0,1956,0.00507614213198
Great Britain,13.0,1956,0.0659898477157
Germany,12.0,1956,0.0609137055838
Ireland,3.0,1956,0.0152284263959
Greece,1.0,1956,0.00507614213198
Hungary,4.0,1956,0.0203045685279
New Zealand,3.0,1956,0.0152284263959
Norway,5.0,1956,0.0253807106599
Yugoslavia,2.0,1956,0.010152284264
Soviet Union,36.0,1956,0.182741116751
Brazil,4.0,1952,0.020202020202
Jamaica,12.0,1952,0.0606060606061
Netherlands,2.0,1952,0.010101010101
Australia,10.0,1952,0.0505050505051
Italy,5.0,1952,0.0252525252525
South Africa,5.0,1952,0.0252525252525
Czechoslovakia,14.0,1952,0.0707070707071
Finland,1.0,1952,0.00505050505051
Luxembourg,3.0,1952,0.0151515151515
France,4.0,1952,0.020202020202
United States,71.0,1952,0.358585858586
Sweden,5.0,1952,0.0252525252525
Great Britain,6.0,1952,0.030303030303
Germany,11.0,1952,0.0555555555556
Switzerland,2.0,1952,0.010101010101
Hungary,7.0,1952,0.0353535353535
Argentina,2.0,1952,0.010101010101
Venezuela,1.0,1952,0.00505050505051
New Zealand,4.0,1952,0.020202020202
Soviet Union,29.0,1952,0.146464646465
Turkey,1.0,1948,0.00505050505051
Canada,1.0,1948,0.00505050505051
Italy,10.0,1948,0.0505050505051
Panama,2.0,1948,0.010101010101
France,15.0,1948,0.0757575757576
Great Britain,13.0,1948,0.0656565656566
Argentina,5.0,1948,0.0252525252525
Norway,2.0,1948,0.010101010101
Australia,11.0,1948,0.0555555555556
Czechoslovakia,5.0,1948,0.0252525252525
Belgium,4.0,1948,0.020202020202
Netherlands,14.0,1948,0.0707070707071
Denmark,1.0,1948,0.00505050505051
Finland,7.0,1948,0.0353535353535
United States,56.0,1948,0.282828282828
Sweden,26.0,1948,0.131313131313
Switzerland,3.0,1948,0.0151515151515
Jamaica,7.0,1948,0.0353535353535
Austria,4.0,1948,0.020202020202
Yugoslavia,2.0,1948,0.010101010101
Sri Lanka,2.0,1948,0.010101010101
Hungary,7.0,1948,0.0353535353535
Canada,5.0,1936,0.0287356321839
Netherlands,2.0,1936,0.0114942528736
Italy,9.0,1936,0.051724137931
Australia,1.0,1936,0.00574712643678
Philippines,1.0,1936,0.00574712643678
Finland,21.0,1936,0.120689655172
Latvia,1.0,1936,0.00574712643678
United States,60.0,1936,0.344827586207
Sweden,2.0,1936,0.0114942528736
Great Britain,16.0,1936,0.0919540229885
Germany,30.0,1936,0.172413793103
Hungary,3.0,1936,0.0172413793103
Switzerland,2.0,1936,0.0114942528736
Japan,13.0,1936,0.0747126436782
New Zealand,3.0,1936,0.0172413793103
Poland,5.0,1936,0.0287356321839
Canada,14.0,1932,0.0804597701149
Italy,5.0,1932,0.0287356321839
South Africa,1.0,1932,0.00574712643678
Poland,7.0,1932,0.0402298850575
Finland,21.0,1932,0.120689655172
Latvia,2.0,1932,0.0114942528736
Czechoslovakia,1.0,1932,0.00574712643678
United States,80.0,1932,0.459770114943
Sweden,2.0,1932,0.0114942528736
Great Britain,16.0,1932,0.0919540229885
Germany,7.0,1932,0.0402298850575
Ireland,6.0,1932,0.0344827586207
Japan,7.0,1932,0.0402298850575
Argentina,3.0,1932,0.0172413793103
France,1.0,1932,0.00574712643678
Philippines,1.0,1932,0.00574712643678
Canada,18.0,1928,0.111111111111
Netherlands,2.0,1928,0.0123456790123
Ireland,3.0,1928,0.0185185185185
South Africa,3.0,1928,0.0185185185185
Poland,3.0,1928,0.0185185185185
Finland,29.0,1928,0.179012345679
France,6.0,1928,0.037037037037
United States,51.0,1928,0.314814814815
Sweden,11.0,1928,0.0679012345679
Great Britain,11.0,1928,0.0679012345679
Germany,13.0,1928,0.0802469135802
Chile,2.0,1928,0.0123456790123
Hungary,2.0,1928,0.0123456790123
Japan,5.0,1928,0.0308641975309
Haiti,2.0,1928,0.0123456790123
Norway,1.0,1928,0.00617283950617
Netherlands,1.0,1924,0.00617283950617
Italy,5.0,1924,0.0308641975309
Estonia,1.0,1924,0.00617283950617
South Africa,3.0,1924,0.0185185185185
Australia,3.0,1924,0.0185185185185
Finland,42.0,1924,0.259259259259
France,3.0,1924,0.0185185185185
United States,66.0,1924,0.407407407407
Sweden,8.0,1924,0.0493827160494
Great Britain,20.0,1924,0.123456790123
Switzerland,4.0,1924,0.0246913580247
Hungary,2.0,1924,0.0123456790123
New Zealand,1.0,1924,0.00617283950617
Norway,1.0,1924,0.00617283950617
Argentina,2.0,1924,0.0123456790123
Canada,3.0,1920,0.0172413793103
Australia,2.0,1920,0.0114942528736
Italy,8.0,1920,0.0459770114943
Estonia,2.0,1920,0.0114942528736
South Africa,6.0,1920,0.0344827586207
Denmark,2.0,1920,0.0114942528736
Finland,38.0,1920,0.218390804598
France,8.0,1920,0.0459770114943
United States,59.0,1920,0.33908045977
Sweden,19.0,1920,0.109195402299
Great Britain,24.0,1920,0.137931034483
Norway,3.0,1920,0.0172413793103
Canada,9.0,1912,0.0502793296089
Italy,1.0,1912,0.00558659217877
South Africa,5.0,1912,0.0279329608939
Finland,29.0,1912,0.162011173184
France,4.0,1912,0.0223463687151
United States,79.0,1912,0.441340782123
Sweden,27.0,1912,0.150837988827
Great Britain,13.0,1912,0.072625698324
Germany,4.0,1912,0.0223463687151
Greece,4.0,1912,0.0223463687151
Hungary,1.0,1912,0.00558659217877
Norway,3.0,1912,0.0167597765363
Canada,9.0,1908,0.0604026845638
Italy,2.0,1908,0.0134228187919
South Africa,5.0,1908,0.0335570469799
Finland,1.0,1908,0.00671140939597
France,3.0,1908,0.0201342281879
United States,70.0,1908,0.469798657718
Australasia,1.0,1908,0.00671140939597
Sweden,8.0,1908,0.0536912751678
Great Britain,36.0,1908,0.241610738255
Germany,3.0,1908,0.0201342281879
Greece,6.0,1908,0.0402684563758
Hungary,1.0,1908,0.00671140939597
Norway,4.0,1908,0.0268456375839
Canada,5.0,1906,0.04
Australia,2.0,1906,0.016
Finland,4.0,1906,0.032
France,3.0,1906,0.024
United States,46.0,1906,0.368
Sweden,19.0,1906,0.152
Great Britain,20.0,1906,0.16
Germany,3.0,1906,0.024
Greece,11.0,1906,0.088
Belgium,2.0,1906,0.016
Hungary,10.0,1906,0.08
Canada,3.0,1904,0.020979020979
Mixed team,2.0,1904,0.013986013986
France,2.0,1904,0.013986013986
United States,129.0,1904,0.902097902098
Great Britain,5.0,1904,0.034965034965
Germany,1.0,1904,0.00699300699301
Greece,1.0,1904,0.00699300699301
Canada,4.0,1900,0.029197080292
Bohemia,2.0,1900,0.014598540146
Australia,3.0,1900,0.021897810219
Denmark,1.0,1900,0.00729927007299
India,4.0,1900,0.029197080292
Luxembourg,3.0,1900,0.021897810219
France,10.0,1900,0.0729927007299
United States,84.0,1900,0.613138686131
Sweden,1.0,1900,0.00729927007299
Great Britain,17.0,1900,0.124087591241
Mixed team,3.0,1900,0.021897810219
Hungary,4.0,1900,0.029197080292
Norway,1.0,1900,0.00729927007299
Australia,6.0,1896,0.0857142857143
France,3.0,1896,0.0428571428571
United States,38.0,1896,0.542857142857
Great Britain,3.0,1896,0.0428571428571
Germany,2.0,1896,0.0285714285714
Greece,14.0,1896,0.2
Hungary,4.0,1896,0.0571428571429
