Event,Sport
Men's 10 kilometres Open Water,Swimming
Women's 50 metres Freestyle,Swimming
Women's 100 metres Freestyle,Swimming
Women's 200 metres Freestyle,Swimming
Women's 400 metres Freestyle,Swimming
Women's 800 metres Freestyle,Swimming
Women's 4 × 100 metres Freestyle Relay,Swimming
Women's 4 × 200 metres Freestyle Relay,Swimming
Women's 100 metres Backstroke,Swimming
Women's 200 metres Backstroke,Swimming
Women's 100 metres Breaststroke,Swimming
Women's 200 metres Breaststroke,Swimming
Women's 100 metres Butterfly,Swimming
Women's 200 metres Butterfly,Swimming
Women's 200 metres Individual Medley,Swimming
Women's 400 metres Individual Medley,Swimming
Women's 4 × 100 metres Medley Relay,Swimming
Women's 10 kilometres Open Water,Swimming
Women's Duet,Synchronized Swimming
Women's Team,Synchronized Swimming
Men's Singles,Table Tennis
Men's Team,Table Tennis
Women's Singles,Table Tennis
Women's Team,Table Tennis
Men's Flyweight,Taekwondo
Men's Featherweight,Taekwondo
Men's Welterweight,Taekwondo
Men's Heavyweight,Taekwondo
Women's Flyweight,Taekwondo
Women's Featherweight,Taekwondo
Women's Welterweight,Taekwondo
Women's Heavyweight,Taekwondo
Men's Singles,Tennis
Men's Doubles,Tennis
Mixed Doubles,Tennis
Women's Singles,Tennis
Women's Doubles,Tennis
Men's Individual,Trampolining
Women's Individual,Trampolining
Men's Olympic Distance,Triathlon
Women's Olympic Distance,Triathlon
Men's Volleyball,Volleyball
Women's Volleyball,Volleyball
Men's Water Polo,Water Polo
Women's Water Polo,Water Polo
Men's Bantamweight,Weightlifting
Men's Featherweight,Weightlifting
Men's Lightweight,Weightlifting
Men's Middleweight,Weightlifting
Men's Light-Heavyweight,Weightlifting
Men's Middle-Heavyweight,Weightlifting
Men's Heavyweight,Weightlifting
Men's Super-Heavyweight,Weightlifting
Women's Flyweight,Weightlifting
Women's Featherweight,Weightlifting
Women's Lightweight,Weightlifting
Women's Middleweight,Weightlifting
Women's Light-Heavyweight,Weightlifting
Women's Heavyweight,Weightlifting
Women's Super-Heavyweight,Weightlifting
"Men's Featherweight, Greco-Roman",Wrestling
"Men's Lightweight, Greco-Roman",Wrestling
"Men's Welterweight, Greco-Roman",Wrestling
"Men's Middleweight, Greco-Roman",Wrestling
"Men's Light-Heavyweight, Greco-Roman",Wrestling
"Men's Heavyweight, Greco-Roman",Wrestling
"Men's Super-Heavyweight, Greco-Roman",Wrestling
"Men's Featherweight, Freestyle",Wrestling
"Men's Lightweight, Freestyle",Wrestling
"Men's Welterweight, Freestyle",Wrestling
"Men's Middleweight, Freestyle",Wrestling
"Men's Light-Heavyweight, Freestyle",Wrestling
"Men's Heavyweight, Freestyle",Wrestling
"Men's Super-Heavyweight, Freestyle",Wrestling
"Women's Flyweight, Freestyle",Wrestling
"Women's Lightweight, Freestyle",Wrestling
"Women's Middleweight, Freestyle",Wrestling
"Women's Heavyweight, Freestyle",Wrestling
