category,target,people,title,shares,current,location,date
  Animals," of $6,000 goal",43,Campaign for Kuro, 274,"1,665","
                        ,  SEATTLE, WA                    ","Created August 8, 2016"
  Animals, of $900 goal,60,Donations for Nalahs' surgery, 131,938,"
                        ,  SAN ANTONIO, TX                    ","Created August 11, 2016"
  Animals, of £300 goal,269,Memorial for Leo , 4.6K,"2,430","
                        ,  Ironville and Riddings Ward, ENG                    ","Created August 12, 2016"
  Animals," of $4,000 goal",44,Odin's Surgery, 174,"1,785","
                        ,  GRAND RAPIDS, MI                    ","Created August 15, 2016"
  Animals," of $3,500 goal",53,Rescue Dog Ollie's Jaw Surgery, 183,"3,310","
                        ,  SCOTTSDALE, AZ                    ","Created August 14, 2016"
  Animals, of $10k goal,48,Help Hollie Lou Turek, 162,"2,850","
                        ,  WOODLAND HILLS, CA                    ","Created August 15, 2016"
  Animals," of $3,500 goal",51,The Accidental Cat Lady Project, 122,"1,423","
                        ,  BROOKLYN, NY                    ","Created August 15, 2016"
  Memorials, of $10k goal,126,Help the Yancey family , 1.0K,"13,745","
                        ,  SPANISH FORK, UT                    ","Created August 16, 2016"
  Memorials, of $22.5k goal,130,Emily Frederick Armstrong Memorial, 665,"14,810","
                        ,  COLUMBUS, OH                    ","Created August 17, 2016"
  Memorials, of $25k goal,130,"Joe ""Tireman"" Kelly Memorial Fund", 810,"8,920","
                        ,  AVON, OH                    ","Created August 16, 2016"
  Memorials," of $5,000 goal",132,In honor of Pete Ripp, 732,"6,725","
                        ,  DE FOREST, WI                    ","Created August 16, 2016"
  Memorials, of $25k goal,150,Help Kuber & Elizabeth Kaura's Kids, 1.0K,"16,540","
                        ,  NAPERVILLE, IL                    ","Created August 16, 2016"
  Memorials, of $10k goal,150,Kate Priddy Memorial Fund, 446,"13,537","
                        ,  TOPSFIELD, MA                    ","Created August 17, 2016"
  Memorials," of $8,000 goal",135,Saleem Morani Memorial Tribute Fund, 454,"15,125","
                        ,  DALLAS, TX                    ","Created August 15, 2016"
  Memorials, of $20k goal,161,Jesus Aldape Funeral Service, 1.2K,"9,890","
                        ,  FRISCO, TX                    ","Created August 17, 2016"
  Education, of $800 goal,26,Kindle Fires for Math Learning!, 105,955,"
                        ,  Chicago, IL                    ","Created August 14, 2016"
  Education," of $1,500 goal",26,College fees and expenses , 104,"1,265","
                        ,  TAMPA, FL                    ","Created August 15, 2016"
  Education," of $5,000 goal",28,My Education Fund, 49,"1,311","
                        ,  SEATTLE, WA                    ","Created August 15, 2016"
  Education," of $5,000 goal",30,Help Corey Navigate the World, 204,"2,325","
                        ,  DALLAS, TX                    ","Created August 14, 2016"
  Education," of $7,000 goal",38,Help Cody Stay at His School! , 107,"5,774","
                        ,  CARDIFF BY THE SEA, CA                    ","Created August 15, 2016"
  Education," of $4,710 goal",38,Give 5 for Freedom & Justus , 279,"2,060","
                        ,  NEW ORLEANS, LA                    ","Created August 14, 2016"
  Education," of $3,000 goal",46,#InvestinNativeYouth: Afton Delgado, 135,"2,810","
                        ,  MINNEAPOLIS, MN                    ","Created August 15, 2016"
  Education," of $4,270 goal",75,Howard Or Hopeless, 131,"2,620","
                        ,  TULSA, OK                    ","Created August 15, 2016"
  Education, of $18k goal,79,"Support for Caleb, Megan & Cambryia", 830,"5,660","
                        ,  BELLEFONTAINE, OH                    ","Created August 16, 2016"
  Memorials, of $20k goal,158,Kelly Poulos Fund, 711,"14,675","
                        ,  ISLIP, NY                    ","Created August 16, 2016"
  Sports," of $6,000 goal",27,All Stars are going to PLAYOFFS!, 125,"1,666","
                        ,  SAINT LOUIS, MO                    ","Created August 7, 2016"
  Sports," of $8,000 goal",17,Send coach to paralympics, 83,"1,045","
                        ,  SHIRLEY, NY                    ","Created August 9, 2016"
  Sports," of $5,000 goal",39,Healesville Fitness Ctr TriviaNight, 134,"1,475","
                        ,  Healesville, VIC                    ","Created July 29, 2016"
  Sports, of $20k goal,102,MPLL families need your help!, 527,"9,215","
                        ,  SAN ANTONIO, TX                    ","Created July 21, 2016"
,,,The SD Project,,,,
  Education," of $3,025 goal",29,READING  Help for Our NAVY Children, 290,"2,270","
                        ,  PONTE VEDRA BEACH, FL                    ","Created August 15, 2016"
  Volunteer," of $3,000 goal",10,3D Printing for the Community, 80,275,"
                        ,  DIXON, IL                    ","Created August 10, 2016"
  Sports," of $5,000 goal",66,TSL on the Road 2016, 202,"5,075","
                        ,  RUTHERFORD, NJ                    ","Created August 12, 2016"
  Sports," of $6,000 goal",38,Replace Timothy's Camera Equipment, 119,"3,525","
                        ,  NORFOLK, NE                    ","Created August 13, 2016"
  Volunteer," of $7,500 goal",29,Eagle Project for Students, 97,"2,517","
                        ,  STEPHENS CITY, VA                    ","Created August 2, 2016"
  Volunteer, of $750 goal,10,Louisiana Flood Recovery Efforts, 36,350,"
                        ,  BATON ROUGE, LA                    ","Created August 15, 2016"
  Volunteer, of $15k goal,43,Foundations for a New Beginning, 277,"4,215","
                        ,  DAVIDSON, NC                    ","Created August 7, 2016"
  Volunteer, of €1.234 goal,12,Alex's Trip to colorful India , 28,622,"
                        ,  München, BY, Germany                    ","Created August 16, 2016"
  Volunteer," of $2,700 goal",16,Nick's Habitat Trip to Malawi, 34,"1,970","
                        ,  JAMAICA PLAIN, MA                    ","Created July 31, 2016"
  Sports," of $2,800 goal",23,Support the dream!, 149,"3,040","
                        ,  LAS VEGAS, NV                    ","Created August 13, 2016"
  Volunteer," of $5,000 goal",26,VOLUNTEER LEGAL AID FOR REFUGEES, 92,"3,230","
                        ,  IDYLLWILD, CA                    ","Created August 13, 2016"
  Volunteer," of $5,000 goal",13,"""Help Youth lead Volunteer Project""", 67,205,"
                        ,  ELMHURST, NY                    ","Created August 13, 2016"
  Sports," of $7,500 goal",18,UNSW JUDO, 162,"1,730","
                        ,  Unsw Sydney, NSW                    ","Created August 9, 2016"
  Volunteer, of $600 goal,12,Victory Garden Eagle Scout Project, 77,355,"
                        ,  JAMESTOWN, NC                    ","Created August 15, 2016"
  Volunteer, of $10k goal,115,Esquire Legal Santa In The Summer , 451,"11,050","
                        ,  HOUSTON, TX                    ","Created July 25, 2016"
  Emergencies, of $20k goal,111,Kimberly Hays Flood Relief Fund, 93,"12,700","
                        ,  BONAIRE, GA                    ","Created August 15, 2016"
  Emergencies, of $30k goal,103,Helping Lindsey, 643,"11,513","
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
  Emergencies, of $50k goal,105,Support AECOM’s Louisiana employees, 81,"6,585","
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
  Emergencies," of $5,000 goal",110,Glass Key Photo Recovery Initiative, 651,"6,465","
                        ,  SAN FRANCISCO, CA                    ","Created August 16, 2016"
  Emergencies," of $7,500 goal",107,Taylor Morris Flood Relief, 432,"7,710","
                        ,  MEMPHIS, TN                    ","Created August 16, 2016"
  Emergencies, of $10k goal,111,Helping Logan, 238,"10,349","
                        ,  NEW YORK, NY                    ","Created August 15, 2016"
  Emergencies, of $10k goal,182,Jamie Tindle + Family Flood Relief, 462,"17,677","
                        ,  DENHAM SPRINGS, LA                    ","Created August 14, 2016"
  Emergencies, of $20k goal,111,Kelton Family Flood Relief Fund, 765,"10,740","
                        ,  CHICAGO, IL                    ","Created August 16, 2016"
  Education," of $3,500 goal",71,Stearns High School Girls Soccer, 349,"3,580","
                        ,  MILLINOCKET, ME                    ","Created August 8, 2016"
  Emergencies, of $15k goal,158,Jojo Corley's Track Chair, 1.2K,"16,659","
                        ,  WARRIOR, AL                    ","Created August 13, 2016"
  Education," of $8,000 goal",21,Jo's College Expenses, 99,"1,125","
                        ,  SYRACUSE, NY                    ","Created August 17, 2016"
  Education, of $10k goal,29,Lighthouse Literacy, 81,"3,175","
                        ,  HOLDEN, MA                    ","Created August 13, 2016"
  Emergencies, of $20k goal,118,John & Amanda Kay Flood Victim Fund, 321,"18,830","
                        ,  BATON ROUGE, LA                    ","Created August 15, 2016"
  Education," of $2,000 goal",33,Robert's Graduate Studies, 388,895,"
                        ,  PONCE, PR                    ","Created August 14, 2016"
  Education, of $100k goal,"1,016",We stand with Gaspar (Official), 3.3K,"40,406","
                        ,  LOS ANGELES, CA                    ","Created July 18, 2016"
  Education," of $5,000 goal",23,Help Maddie Continue at Clark Univ., 113,588,"
                        ,  MARIETTA, PA                    ","Created August 16, 2016"
  Emergencies, of $35k goal,180,Baton Rouge Flood - Jerry's Mom, 105,"3,515","
                        ,  BROOKLYN, NY                    ","Created August 16, 2016"
  Emergencies, of $25k goal,186,"Help Lisa, Paul & Drew Rebuild ", 588,"20,622","
                        ,  GLASTONBURY, CT                    ","Created August 15, 2016"
  Education, of £25k goal,24,Syed's Appeal for Education Funding, 777,440,"
                        ,  Yiewsley Ward, ENG                    ","Created August 15, 2016"
  Emergencies, of $20k goal,294,Help South Louisiana, 1.6K,"11,387","
                        ,  NEW ORLEANS, LA                    ","Created August 14, 2016"
,,,Dr.Umar's F.D.M.G St Paul's Fund,,,,
  Emergencies, of $30k goal,313,Bourdeau/Guthro Family House Fire , 738,"30,000","
                        ,  BOW, NH                    ","Created August 15, 2016"
  Education," of $1,100 goal",23,Jose's First College Payment, 203,"1,100","
                        ,  NEWARK, NJ                    ","Created August 15, 2016"
  Education," of $7,500 goal",93,Let's Find Parker His Voice, 1.2K,"3,785","
                        ,  Sunnybank, QLD                    ","Created July 19, 2016"
  Charity, of $25k goal,50,#LAFlood Relief by Lagniappe Rugby, 207,"3,305","
                        ,  BATON ROUGE, LA                    ","Created August 16, 2016"
  Charity," of $7,000 goal",66,The Danny Michels Foundation, 424,"5,880","
                        ,  NEW HOLLAND, PA                    ","Created August 14, 2016"
  Emergencies, of $15k goal,448,Creagan Family Fund, 3.3K,"32,150","
                        ,  WALLKILL, NY                    ","Created August 15, 2016"
  Charity, of £20k goal,38,SRN4 Hovercraft Restoration, 652,"1,085","
                        ,  Lee West Ward, ENG                    ","Created August 2, 2016"
  Charity, of $65k goal,180,Save HAPS- Protect SF Mental Health, 939,"22,016","
                        ,  SAN FRANCISCO, CA                    ","Created August 14, 2016"
  Charity, of $20k goal,43,Newcastle's Homeless Need You!, 862,"2,200","
                        ,  Newcastle, NSW                    ","Created August 12, 2016"
  Emergencies," of $5,000 goal","1,543",Baltimore mom House Fire, 3.2K,"57,160","
                        ,  BALTIMORE, MD                    ","Created August 15, 2016"
  Sports," of $5,000 goal",56,Elias' Athletics Fund, 299,"2,845","
                        ,  Sunbury, VIC                    ","Created August 12, 2016"
  Sports, of $25k goal,68,Gordie's Greatest Fight, 584,"11,218","
                        ,  Hamilton, ON                    ","Created August 13, 2016"
  Sports, of $20k goal,91,Warwick North Road to Williamsport, 941,"6,250","
                        ,  WARWICK, RI                    ","Created July 29, 2016"
  Sports," of $1,446 goal",21,PPMH VOLLEYBALL NETS, 79,"1,130","
                        ,  MIAMI, FL                    ","Created August 15, 2016"
  Sports, of $10k goal,115,This Mother Wishes for Wings, 208,"7,609","
                        ,  SAINT PAUL, MN                    ","Created August 12, 2016"
  Sports," of $8,000 goal",25,Corey Evers Rough Riders Team Fees, 78,"2,550","
                        ,  DENVER, CO                    ","Created August 15, 2016"
  Sports," of $1,900 goal",23,Public Court Kids to Nationals, 176,"1,230","
                        ,  JACKSONVILLE, FL                    ","Created August 15, 2016"
  Charity, of $75k goal,45,Life Tabernacle Flood, 856,"10,075","
                        ,  BATON ROUGE, LA                    ","Created August 15, 2016"
  Sports, of $15k goal,39,Help 12 Yr-Old Maxine Make History!, 126,"6,400","
                        ,  OAKLAND, CA                    ","Created August 12, 2016"
  Sports," of $3,000 goal",32,Tim To Rio To See His Son Compete!, 128,"1,425","
                        ,  DALLAS, TX                    ","Created August 15, 2016"
  Sports, of $19k goal,221,Brannigan's to Paralympics in Rio, 1.2K,"13,682","
                        ,  EAST NORTHPORT, NY                    ","Created August 13, 2016"
  Memorials, of $10k goal,193,Noah John, 862,"10,705","
                        ,  WOBURN, MA                    ","Created August 17, 2016"
  Memorials, of $20k goal,266,Borinstein Family Fund, 2.4K,"19,105","
                        ,  SHELBYVILLE, IN                    ","Created August 15, 2016"
  Memorials, of £10k goal,618,Bring George home ❤️, 3.6K,"13,728","
                        ,  Pound Hill North Ward , ENG                    ","Created August 14, 2016"
  Memorials, of $20k goal,192,Mark and Bill Oberschewen Burials, 1.3K,"17,055","
                        ,  ASBURY PARK, NJ                    ","Created August 16, 2016"
  Memorials," of $5,000 goal",241,Ellie's Memorial Labyrinth Fund, 531,"16,270","
                        ,  SEVERNA PARK, MD                    ","Created August 16, 2016"
  Memorials, of $20k goal,191,Donations for the Adkisons & Kings, 1.5K,"20,175","
                        ,  GARRISON, TX                    ","Created August 17, 2016"
  Memorials," of $6,000 goal",339,Support the Estoye Family, 712,"31,386","
                        ,  MAPLEWOOD, NJ                    ","Created August 16, 2016"
  Memorials, of $15k goal,356,Help with funeral, 1.0K,"24,928","
                        ,  SEAFORD, NY                    ","Created August 15, 2016"
  Medical," of $4,000 goal",182,Preston Family Help Fund, 925,"18,139","
                        ,  BOSTON, MA                    ","Created August 17, 2016"
  Memorials, of $10k goal,"3,498",Danny Fitzpatrick Memorial Fund , 12K,"127,949","
                        ,  BROOKLYN, NY                    ","Created August 12, 2016"
  Medical, of $10k goal,172,Flood & Recovery Marable Family, 895,"6,317","
                        ,  WALKER, LA                    ","Created August 15, 2016"
  Medical, of $10k goal,183,Nathan Previti's Medical Bill Fund, 1.4K,"12,725","
                        ,  VIENNA, VA                    ","Created August 16, 2016"
  Medical, of $100k goal,150,Brian Floyd's medical fund!, 1.0K,"22,220","
                        ,  SUN CITY, CA                    ","Created August 16, 2016"
  Medical, of $50k goal,152,Samantha's Recovery Road, 959,"11,550","
                        ,  BROOKLYN, NY                    ","Created August 15, 2016"
  Medical," of $7,000 goal",249,I almost died and now I'm broke, 524,"11,300","
                        ,  Montréal, QC                    ","Created July 24, 2016"
  Medical, of $30k goal,190,Love for Lewiston, 723,"25,800","
                        ,  Calgary, AB                    ","Created August 16, 2016"
  Medical, of $20k goal,197,"Help Marcela, Mariela and Milena", 1.9K,"17,226","
                        ,  SPRING, TX                    ","Created August 15, 2016"
  Volunteer," of $2,700 goal",77,Support my journey to the homeland!, 150,"2,717","
                        ,  OAKLAND, CA                    ","Created July 11, 2016"
  Medical," of $8,000 goal",197,Valencia road to recovery fund, 1.5K,"8,113","
                        ,  Runaway Bay, Australia                    ","Created August 15, 2016"
  Memorials, of $20k goal,509,"Terrence Paul McCrary, Jr. Memorial", 1.5K,"33,450","
                        ,  BERKELEY, CA                    ","Created August 15, 2016"
  Medical, of $20k goal,222,Mother in Financial/Medical Crisis, 398,"19,615","
                        ,  BEVERLY, MA                    ","Created August 14, 2016"
  Volunteer," of $5,000 goal",25,Help the McGinnis Family, 205,"1,740","
                        ,  SAN JOSE, CA                    ","Created August 16, 2016"
,,,MATW Africa Project with Ali Banat,,,,
  Medical, of $25k goal,243,Love for Scotty, 1.7K,"29,730","
                        ,  SAN DIEGO, CA                    ","Created August 16, 2016"
  Volunteer," of $9,000 goal",50,Suicide prevention assistance, 120,"5,350","
                        ,  PORTLAND, OR                    ","Created August 17, 2016"
  Medical, of $40k goal,298,Help For Finn and His Family, 1.0K,"28,208","
                        ,  CULVER CITY, CA                    ","Created August 15, 2016"
  Medical, of $40k goal,482,Ali Gabrielli's Brain Surgery Fund, 741,"32,150","
                        ,  SAN FRANCISCO, CA                    ","Created August 14, 2016"
  Medical, of $10k goal,243,Maria's Medical Expenses, 1.8K,"15,455","
                        ,  PEORIA, AZ                    ","Created August 14, 2016"
  Medical, of $35k goal,710,Help with Carol's Recovery, 3.5K,"30,071","
                        ,  SAVANNAH, GA                    ","Created August 14, 2016"
  Medical, of $150k goal,333,The Gallow Family Medical Fund, 3.0K,"22,522","
                        ,  HOUSTON, TX                    ","Created August 15, 2016"
  Medical, of $10k goal,264,Caroline Sine Medical Expenses, 1.6K,"11,950","
                        ,  SEMINOLE, FL                    ","Created August 14, 2016"
  Medical," of $4,000 goal",511,Noa Lealaogata, 4.4K,"33,430","
                        ,  Blackstone, QLD                    ","Created August 16, 2016"
  Medical, of $140k goal,"1,397",Ryan St.Lawrence's Recovery Fund, 3.4K,"135,291","
                        ,  NASHUA, NH                    ","Created August 14, 2016"
,,,Saving Eliza,,,,
,,,RUN Caito RUN,,,,
  Sports," of $3,000 goal",52,All-American Trip to London, 412,"3,025","
                        ,  BRADENTON, FL                    ","Created August 11, 2016"
  Sports," of $4,000 goal",55,2016 Punishers Playoffs, 412,"3,386","
                        ,  SACRAMENTO, CA                    ","Created July 23, 2016"
,,,HUDSON CATHOLIC GIRLS BASKETBALL ,,,,
  Education, of €690 goal,18,Andreea's Master Class Fund, 168,700,"
                        ,  Alsergrund, W, Austria                    ","Created August 14, 2016"
  Sports," of $2,910 goal",16,Coach Shirley's Wrestling Team, 184,"1,015","
                        ,  MEMPHIS, TN                    ","Created August 14, 2016"
  Sports," of $2,500 goal",12,Support Our Red Wolf!, 68,625,"
                        ,  INDIANAPOLIS, IN                    ","Created August 14, 2016"
  Emergencies, of $10k goal,79,Athletic Trainers Homes Flooded, 572,"5,605","
                        ,  GONZALES, LA                    ","Created August 15, 2016"
  Education," of $2,500 goal",18,Please Help Send Me  to Law School, 39,980,"
                        ,  MIDDLEBURG, FL                    ","Created August 15, 2016"
  Sports, of £80k goal,12,Charlie Rows | Atlantic Solo, 179,570,"
                        ,  424775                    ","Created August 11, 2016"
  Charity," of $1,500 goal",12,Supplies for La Flood Victims, 103,970,"
                        ,  KATY, TX                    ","Created August 16, 2016"
,,,Survival fight for my mom.,,,,
  Sports, of $16k goal,195,AP Supports Olympian Rudy Winkler, 955,"10,846","
                        ,  AVERILL PARK, NY                    ","Created July 14, 2016"
  Sports," of $8,000 goal",20,Fit Academy's Fund To Impact Lives, 108,"1,520","
                        ,  PHILADELPHIA, PA                    ","Created August 9, 2016"
  Sports, of $20k goal,13,Sean Elliott Professional Golf, 63,"2,225","
                        ,  DALTON, GA                    ","Created August 11, 2016"
  Volunteer, of $10k goal,63,Give a Voice to Casa DeLas Mercedes, 147,"1,805","
                        ,  SAN LUIS OBISPO, CA                    ","Created August 8, 2016"
  Animals, of $12k goal,40,Help Build The Hammonton Dog Park, 173,"6,158","
                        ,  HAMMONTON, NJ                    ","Created July 27, 2016"
  Memorials," of $5,000 goal",88,In Honor of Michael R. Cisneros Sr., 496,"4,065","
                        ,  CINCINNATI, OH                    ","Created August 15, 2016"
  Memorials, of $50k goal,90,IN MEMORY OF LEIGH-ANN HARDY, 363,"11,695","
                        ,  Vancouver, BC                    ","Created August 15, 2016"
  Memorials, of $10k goal,143,Drew Dulebohn Memorial , 1.4K,"8,150","
                        ,  LIMA, OH                    ","Created August 14, 2016"
  Memorials, of $30k goal,91,In Memory of Frank Cheng , 215,"15,035","
                        ,  SUNNYVALE, CA                    ","Created August 16, 2016"
  Memorials, of $15k goal,94,Teacher Alvart's Grieving Aid , 356,"9,495","
                        ,  NORTH HOLLYWOOD, CA                    ","Created August 15, 2016"
  Memorials, of $10k goal,92,Makhi's Funeral Fund, 1.4K,"4,141","
                        ,  GALES FERRY, CT                    ","Created August 14, 2016"
  Memorials, of $25k goal,260,Hollie Renninger Guzman Family Fund, 1.4K,"21,385","
                        ,  BRECKSVILLE, OH                    ","Created August 14, 2016"
  Memorials, of $10k goal,102,We love you Braxton! , 1.2K,"8,040","
                        ,  OWENTON, KY                    ","Created August 15, 2016"
  Medical, of $100k goal,748,#SeanStrong, 2.3K,"74,047","
                        ,  MIDDLE VILLAGE, NY                    ","Created August 7, 2016"
  Medical," of $7,500 goal",158,Tommy's Recovery Fund, 469,"7,561","
                        ,  SAN FRANCISCO, CA                    ","Created August 13, 2016"
  Medical, of $15k goal,88,In Honor Of Maciek, 626,"7,347","
                        ,  Melton West, VIC                    ","Created August 16, 2016"
  Medical, of $10k goal,89,Ed Stone Fund, 254,"7,715","
                        ,  BETHESDA, MD                    ","Created August 15, 2016"
  Medical," of $7,500 goal",89,Aunt Mary's In Trouble, 426,"7,140","
                        ,  LINCOLN CITY, OR                    ","Created August 16, 2016"
  Medical, of $15k goal,91,Mimi Wang's medical expense fund, 491,"13,343","
                        ,  CUPERTINO, CA                    ","Created August 15, 2016"
  Medical," of $9,000 goal",107,Samantha Lynch Medical Fund, 494,"12,615","
                        ,  MONTGOMERY, NY                    ","Created August 14, 2016"
  Medical, of $100k goal,274,Prayers for Stephen, 1.3K,"45,961","
                        ,  ATLANTA, GA                    ","Created August 3, 2016"
  Medical, of $10k goal,92,Kristen Schade Anderson, 440,"6,077","
                        ,  BARRON, WI                    ","Created August 16, 2016"
  Medical, of $20k goal,93,Fund Raise For Ranjit, 370,"13,985","
                        ,  Brampton, ON                    ","Created August 15, 2016"
  Memorials, of $12k goal,143,Fund raise for Chito (Cruz Ruiz), 861,"15,721","
                        ,  HAYWARD, CA                    ","Created August 14, 2016"
