"","PreK_Type","Borough","LocName","phone","address","Email","Website","lat","lon","zip","Seats","Length","Meal_Plan","Playspace","Extended_Day_Care","Priority"
"22","DOE","Brooklyn","P.S. 032 Samuel Mills Sprole","718-222-6400","317 Hoyt St","dflorio@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k032",40.6804309,-73.9917041,11231,30,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Contact agency","None"
"23","DOE","Brooklyn","P.S. 034 Oliver H Perry","718-389-5842","131 Norman Ave","casselt@schools.nyc.gov","http://ps34.org",40.7263917,-73.9498398,11222,18,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"24","DOE","Brooklyn","P.S. 038 The Pacific","718-330-9305","450 Pacific St","yramire4@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k038",40.6849644,-73.9828242,11217,126,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"25","DOE","Brooklyn","P.S. 039 Henry Bristow","718-330-9310","417 6 Ave","","http://ps39.org",40.6686657,-73.9829124,11215,36,"Full Day","Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"26","DOE","Brooklyn","P.S. 040 George W Carver","718-574-2353","265 Ralph Ave","lhibber@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k040",40.6802016,-73.9214653,11233,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"27","DOE","Brooklyn","P.S. 044 Marcus Garvey","718-834-6939","432 Monroe St","rjames6@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k044",40.6862075,-73.9409238,11221,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"28","DOE","Brooklyn","P.S. 045 Horace E Greene","718-642-5360","84 Schaefer St","tlott-davis@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k045",40.6866584,-73.910178,11207,54,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"29","DOE","Brooklyn","P.S. 046 Edward C Blum","718-834-7694","100 Clermont Ave","knicholson@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k046",40.6944248,-73.9716268,11205,54,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"30","DOE","Brooklyn","P.S. 048 Mapleton","718-232-3873","6015 18 Ave","jmagenta@schools.nyc.gov","http://schools.nyc.gov/schoolportals/20/k048",40.6215553,-73.987279,11204,18,"Full Day","Contact agency","Contact agency","Contact agency","None"
"31","DOE","Brooklyn","P.S. 052 Sheepshead Bay","718-648-0882","2675 East 29 St","ralvare4@schools.nyc.gov","http://schools.nyc.gov/schoolportals/22/k052",40.5874041,-73.9402515,11235,72,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"32","DOE","Brooklyn","P.S. 054 Samuel C Barnes","718-834-6752","195 Sanford St","lkhan@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k054",40.6926969,-73.952501,11205,46,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"33","DOE","Brooklyn","P.S. 056 Lewis H Latimer","718-857-3149","170 Gates Ave","dclarkj@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k056",40.6843355,-73.9605487,11238,18,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"34","DOE","Brooklyn","P.S. 058 The Carroll","718-330-9322","330 Smith St","kdellostritto2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k058",40.6804297,-73.99566,11231,54,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"35","DOE","Brooklyn","P.S. 059 William Floyd","718-443-3600","211 Throop Ave","dbest2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k059",40.6977036,-73.9433424,11206,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"36","DOE","Brooklyn","P.S. 66","718-922-3505","845 East 96 St","ljackso17@schools.nyc.gov","http://schools.nyc.gov/schoolportals/18/k066",40.6486462,-73.9068507,11236,18,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"37","DOE","Brooklyn","P.S. 067 Charles A Dorsey","718-834-6756","51 Saint Edwards St","gsolomon3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k067",40.6951434,-73.9778888,11205,18,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"38","DOE","Brooklyn","P.S. 075 Mayda Cortiella","718-574-0244","95 Grv St","ywillia@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k075",40.693254,-73.921321,11221,54,"Full Day","Breakfast/Lunch","Indoor","Contact agency","None"
"39","DOE","Brooklyn","P.S. 081 Thaddeus Stevens","718-574-2365","990 Dekalb Ave","CAultBarker@schools.nyc.gov","http://schools.nyc.gov/schoolportals/16/k081",40.6929267,-73.9347953,11221,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"40","DOE","Brooklyn","P.S. 084 Jose De Diego","718-384-8063","250 Berry St","srodrig12@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k084",40.7148218,-73.9635161,11211,72,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"41","DOE","Brooklyn","P.S. 089 Cypress Hills","718-964-1180","265 Warwick St","vrodrig4@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k089",40.6777766,-73.8866986,11207,18,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Contact agency","None"
"42","DOE","Brooklyn","P.S. 90 Edna Cohen School","718-787-3333","2840 West 12 St","ghawkins@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k090",40.5781983,-73.9801505,11224,90,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"43","DOE","Brooklyn","P.S. 091 The Albany Avenue School","718-756-0243","532 Albany Ave","talleyn2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k091",40.6617922,-73.9404619,11203,72,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"44","DOE","Brooklyn","P.S. 092 Adrian Hegeman","718-462-2087","601 Parkside Ave","drahmaa@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k092",40.6562705,-73.9541456,11226,54,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"45","DOE","Brooklyn","P.S. 093 William H Prescott","718-604-7363","31 New York Ave","sphilip@schools.nyc.gov","http://schools.nyc.gov/schoolportals/13/k093",40.6789073,-73.9465004,11216,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"46","DOE","Brooklyn","P.S. 095 The Gravesend","718-449-5050","345 Van Sicklen St","jndzibah@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k095",40.5957112,-73.9751732,11223,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"47","DOE","Brooklyn","P.S. 97 The Highlawn","718-372-1800","1855 Stillwell Ave","icabello@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k097",40.6012111,-73.9856403,11223,54,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"48","DOE","Brooklyn","P.S. 099 Isaac Asimov","718-338-9201","1120 East 10 St","gpirrag@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k099",40.6214924,-73.9660062,11230,36,"Full Day","Breakfast/Lunch","Indoor","Contact agency","None"
"49","DOE","Brooklyn","P.S. 100 The Coney Island School","718-266-9477","2951 West 3 St","ctozzi@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k100",40.5775643,-73.970807,11224,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"50","DOE","Brooklyn","P.S. 106 Edward Everett Hale","718-574-0261","1328 Putnam Ave","rflores@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k106",40.693691,-73.9132345,11221,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"51","DOE","Brooklyn","P.S. 108 Sal Abbracciamento","718-277-7010","200 Linwood St","chahn3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k108",40.681272,-73.8843465,11208,108,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"52","DOE","Brooklyn","P.S. 109","718-693-3426","1001 East 45 St","dchase2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/22/k109",40.6360513,-73.9330797,11203,54,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"53","DOE","Brooklyn","P.S. 110 The Monitor","718-383-7600","124 Monitor St","tatson@schools.nyc.gov","http://ps110k.org",40.7236698,-73.9419847,11222,90,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"54","DOE","Brooklyn","P.S. 112 Lefferts Park","718-232-0685","7301 15 Ave","LVerdem@schools.nyc.gov","http://schools.nyc.gov/schoolportals/20/k112",40.6185893,-74.0018134,11228,20,"Full Day","Contact agency","Contact agency","Contact agency","None"
"55","DOE","Brooklyn","P.S. 114 Ryder Elementary","718-257-4428","1077 Remsen Ave","dsmith6@schools.nyc.gov","http://schools.nyc.gov/schoolportals/18/k114",40.6425436,-73.9080304,11236,54,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"56","DOE","Brooklyn","P.S. 115 Daniel Mucatel School","718-241-1000","1500 East 92 St","lborgese@schools.nyc.gov","http://schools.nyc.gov/schoolportals/18/k115",40.6348511,-73.8978947,11236,108,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"57","DOE","Brooklyn","The Maurice Sendak Community School","718-840-5660","211 8th St","wgarraway@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k118",40.6710166,-73.9877222,11215,66,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"58","DOE","Brooklyn","P.S. 119 Amersfort","718-377-7696","3829 Ave K","lfernan5@schools.nyc.gov","http://schools.nyc.gov/schoolportals/22/k119",40.6260353,-73.9387875,11210,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"59","DOE","Brooklyn","P.S. 120 Carlos Tapia","718-455-1000","18 Beaver St","lcaraba@schools.nyc.gov","http://schools.nyc.gov/schoolportals/14/k120",40.7006574,-73.9376928,11206,90,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"60","DOE","Brooklyn","P.S. 121 Nelson A Rockefeller","718-377-8845","5301 20 Ave","cmagrone@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k121",40.6228761,-73.9787743,11204,18,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"61","DOE","Brooklyn","P.S. 123 Suydam","718-821-4810","100 Irving Ave","aparach@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k123",40.7039048,-73.9225744,11237,36,"Full Day","Breakfast/Lunch","Indoor","Contact agency","None"
"62","DOE","Brooklyn","P.S. 124 Silas B Dutcher","718-788-0246","515 4 Ave","aburrell2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k124",40.6674919,-73.990697,11215,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"63","Charter","Brooklyn","Success Academy Charter School - Cobble Hill Pre - Kindergarten","718-704-1460","284 Baltic St","SACH.MainOffice@saschools.org","http://successacademies.org/schools/cobble-hill/",40.685159,-73.9936336,11201,18,"Full Day","Contact agency","Contact agency","Contact agency","None"
"64","DOE","Brooklyn","P.S. 130 The Parkside","718-686-1940","70 Ocean Pkwy","mnunzia@schools.nyc.gov","http://ps130brooklyn.com",40.648959,-73.9758479,11218,72,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Contact agency","None"
"65","DOE","Brooklyn","P.S. 131 Brooklyn","718-431-1960","4305 Ft Hamilton Pkwy","rquiles2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k131",40.6407837,-73.9933473,11219,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"66","DOE","Brooklyn","P.S. 132 The Conselyea School","718-599-7301","320 Manhattan Ave","blubeck@schools.nyc.gov","http://ps132andyou.net",40.7147927,-73.9457079,11211,72,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"67","DOE","Brooklyn","P.S. 133 William A Butler","718-398-5320","610 Baltic St","adickerson@schools.nyc.gov","http://ps133brooklyn.org",40.6800879,-73.9805771,11217,64,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","Two-thirds seats for District 15, One-third seats for District 13 (35% for English learners and students in child welfare system)"
"68","DOE","Brooklyn","P.S. 135 Sheldon A Brookner","718-693-4363","684 Linden Blvd","tmcrae2@schools.nyc.gov","http://schools.nyc.gov/schoolportals/18/k135",40.6532579,-73.9329753,11203,36,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Contact agency","None"
"69","DOE","Brooklyn","P.S. / I.S. 137 Rachel Jean Mitchell","718-453-2926","121 Saratoga Ave","zcooper@schools.nyc.gov","http://schools.nyc.gov/schoolportals/23/k137",40.6822466,-73.9166957,11233,18,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"70","DOE","Brooklyn","P.S. 138 Brooklyn","718-467-0800","760 Prospect Pl","mchauve@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k138",40.6739449,-73.9513952,11216,72,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"71","DOE","Brooklyn","P.S. 139 Alexine A Fenty","718-282-5254","330 Rugby Rd","mmcdona10@schools.nyc.gov","http://schools.nyc.gov/schoolportals/22/k139",40.641322,-73.9658288,11226,54,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Contact agency","None"
"72","DOE","Brooklyn","P.S. 145 Andrew Jackson","718-821-4823","100 Noll St","LMalloy@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k145",40.7014459,-73.9323011,11206,90,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Contact agency","None"
"73","DOE","Brooklyn","P.S. 146","718-923-4750","610 Henry St","amysumner@bns146.org","http://bns146.org",40.6794323,-74.0019427,11231,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","Free and Reduced Lunch students after siblings"
"74","DOE","Brooklyn","P.S. 147 Isaac Remsen","718-497-0326","325 Bushwick Ave","snoyola@schools.nyc.gov","http://ps147brooklyn.org/",40.7050231,-73.9387071,11206,54,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"75","DOE","Brooklyn","P.S. 149 Danny Kaye","718-385-8666","700 Sutter Ave","yschoff@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k149",40.6693524,-73.8927603,11207,90,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Offered","None"
"76","DOE","Brooklyn","P.S. 151 Lyndon B Johnson","718-326-6360","763 Knickerbocker Ave","jhunt@schools.nyc.gov","http://schools.nyc.gov/schoolportals/32/k151",40.6933707,-73.9082333,11207,18,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"77","DOE","Brooklyn","School Of Science & Technology","718-434-5222","725 East 23 St","csheldr@schools.nyc.gov","http://schools.nyc.gov/schoolportals/22/k152",40.6327087,-73.9545697,11210,18,"Full Day","Breakfast/Lunch","Outdoor (onsite)","Contact agency","None"
"78","DOE","Brooklyn","P.S. 153 Homecrest","718-375-4484","1970 Homecrest Ave","csanta@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k153",40.6011737,-73.9600314,11229,64,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"79","DOE","Brooklyn","P.S. / I.S. 155 Nicholas Herkimer","718-495-7751","1355 Herkimer St","ncortes3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/23/k155",40.6776416,-73.9086945,11233,36,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Contact agency","None"
"80","DOE","Brooklyn","P.S. 156 Waverly","718-498-2811","104 Sutter Ave","23k156@schools.nyc.gov","http://156k.org",40.6652972,-73.9178843,11212,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"81","DOE","Brooklyn","P.S. 157 Benjamin Franklin","718-622-9285","850 Kent Ave","ps157@outlook.com","http://schools.nyc.gov/schoolportals/14/k157",40.6953971,-73.9600053,11205,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"82","DOE","Brooklyn","P.S. 158 Warwick","718-277-6116","400 Ashford St","awilson3@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k158",40.6725882,-73.8851972,11207,72,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"83","DOE","Brooklyn","P.S. 161 The Crown","718-756-3100","330 Crown St","mjohnso10@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k161",40.6659051,-73.9492002,11225,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"84","DOE","Brooklyn","P.S. 164 Caesar Rodney","718-854-4100","4211 14 Ave","esteinberg@schools.nyc.gov","http://schools.nyc.gov/schoolportals/20/k164",40.6371733,-73.985845,11219,46,"Full Day","Breakfast/Lunch/Snacks","Outdoor (onsite)","Contact agency","None"
"85","DOE","Brooklyn","P.S. 165 Ida Posner","718-495-7759","76 Lott Ave","fellers@schools.nyc.gov","http://schools.nyc.gov/schoolportals/23/k165",40.6571963,-73.9109443,11212,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"86","DOE","Brooklyn","P.S. 172 Beacon School Of Excellence","718-965-4200","825 4 Ave","jspatol@schools.nyc.gov","http://schools.nyc.gov/schoolportals/15/k172",40.6575977,-74.0000943,11232,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"87","DOE","Brooklyn","P.S. 177 The Marlboro","718-375-9506","346 Ave P","scaleca@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k177",40.6084307,-73.9744123,11204,36,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"88","DOE","Brooklyn","P.S. 178 St. Clair Mckelway","718-495-7768","2163 Dean St","jhenry1@schools.nyc.gov","http://schools.nyc.gov/schoolportals/23/k178",40.6752336,-73.9153064,11233,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"89","DOE","Brooklyn","P.S. 179 Kensington","718-438-4010","202 Ave C","bamato@schools.nyc.gov","http://ps179kensington.com",40.6402201,-73.9772671,11218,80,"Full Day","Contact agency","Contact agency","Contact agency","None"
"90","DOE","Brooklyn","The Seeall Academy","718-851-8070","5601 16 Ave","20k180@schools.nyc.gov","http://seeallacademy.com",40.6265896,-73.9894638,11204,38,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"91","DOE","Brooklyn","P.S. 181 Brooklyn","718-462-5298","1023 New York Ave","kgrady@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k181",40.6480901,-73.9459114,11203,28,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"92","Charter","Brooklyn","Success Academy Charter School - Williamsburg Pre - Kindergarten","718-704-1419","183 South 3rd St","SAWB.MainOffice@saschools.org","http://successacademies.org/schools/williamsburg/",40.7118634,-73.9600489,11211,18,"Full Day","Contact agency","Contact agency","Contact agency","None"
"93","DOE","Brooklyn","P.S. 184 Newport","718-495-7775","273 Newport St","llinder@schools.nyc.gov","http://schools.nyc.gov/schoolportals/23/k184",40.6602284,-73.9049467,11212,72,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"94","DOE","Brooklyn","P.S. 186 Dr. Irving A Gladstone","718-236-7071","7601 19 Ave","bcadotte@schools.nyc.gov","http://ps186.com",40.6111062,-73.9945926,11214,18,"Full Day","Contact agency","Contact agency","Contact agency","None"
"95","DOE","Brooklyn","P.S. 188 Michael E Berdy","718-265-7580","3314 Neptune Ave","agreen31@schools.nyc.gov","http://schools.nyc.gov/schoolportals/21/k188",40.5767764,-74.0005389,11224,36,"Full Day","Breakfast/Lunch/Snacks","Indoor/Outdoor (onsite) ","Contact agency","None"
"96","DOE","Brooklyn","P.S. 190 Sheffield","718-346-8780","590 Sheffield Ave","ssantiago11@schools.nyc.gov","http://schools.nyc.gov/schoolportals/19/k190",40.662265,-73.894749,11207,18,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
"97","DOE","Brooklyn","P.S. 191 Paul Robeson","718-756-1206","1600 Park Pl","ecapolo@schools.nyc.gov","http://schools.nyc.gov/schoolportals/17/k191",40.6718115,-73.9241962,11233,18,"Full Day","Breakfast/Lunch","Indoor/Outdoor (onsite) ","Contact agency","None"
