LOCCODE,PreK_Type,Borough,LocName,NOTE,phone,address,zip,Day_Length,Seats,X,Y,Email,Website,MEALS,INDOOR_OUTDOOR,EXTENDED_DAY,SEMS_CODE
K044,DOE,K,P.S. 044 Marcus Garvey,,718-834-6939,432 Monroe St,11221,1,36,1000624,189327,rjames6@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k044,2,3,3,13K044
K045,DOE,K,P.S. 045 Horace E Greene,,718-642-5360,84 Schaefer St,11207,1,54,1009081,189447,tlott-davis@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k045,2,3,3,32K045
K046,DOE,K,P.S. 046 Edward C Blum,,718-834-7694,100 Clermont Ave,11205,1,54,992161,192247,knicholson@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k046,2,3,3,13K046
K048,DOE,K,P.S. 048 Mapleton,,718-232-3873,6015 18 Ave,11204,1,18,987776,165729,jmagenta@schools.nyc.gov,http://schools.nyc.gov/schoolportals/20/k048,5,9,3,20K048
K052,DOE,K,P.S. 052 Sheepshead Bay,,718-648-0882,2675 East 29 St,11235,1,72,1000858,153397,ralvare4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k052,3,3,3,22K052
K054,DOE,K,P.S. 054 Samuel C Barnes,,718-834-6752,195 Sanford St,11205,1,46,997373,191615,lkhan@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k054,2,3,3,13K054
K056,DOE,K,P.S. 056 Lewis H Latimer,,718-857-3149,170 Gates Ave,11238,1,18,995211,188782,dclarkj@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k056,3,3,3,13K056
K058,DOE,K,P.S. 058 The Carroll,,718-330-9322,330 Smith St,11231,1,54,985512,187171,kdellostritto2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k058,2,3,3,15K058
K059,DOE,K,P.S. 059 William Floyd,,718-443-3600,211 Throop Ave,11206,1,36,999930,193336,dbest2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k059,3,3,3,14K059
K066,DOE,K,P.S. 66,,718-922-3505,845 East 96 St,11236,1,18,1010047,175668,ljackso17@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k066,3,3,3,18K066
K067,DOE,K,P.S. 067 Charles A Dorsey,,718-834-6756,51 Saint Edwards St,11205,1,18,990385,192610,gsolomon3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k067,3,3,3,13K067
K075,DOE,K,P.S. 075 Mayda Cortiella,,718-574-0244,95 Grv St,11221,1,54,1006134,191822,ywillia@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k075,2,1,3,32K075
K081,DOE,K,P.S. 081 Thaddeus Stevens,,718-574-2365,990 Dekalb Ave,11221,1,36,1002239,191774,CAultBarker@schools.nyc.gov,http://schools.nyc.gov/schoolportals/16/k081,3,3,1,16K081
K084,DOE,K,P.S. 084 Jose De Diego,,718-384-8063,250 Berry St,11211,1,72,994436,199724,srodrig12@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k084,2,3,3,14K084
K089,DOE,K,P.S. 089 Cypress Hills,,718-964-1180,265 Warwick St,11207,1,18,1015669,186210,vrodrig4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k089,2,7,3,19K089
K090,DOE,K,P.S. 90 Edna Cohen School,,718-787-3333,2840 West 12 St,11224,1,90,989819,149880,ghawkins@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k090,3,3,3,21K090
K091,DOE,K,P.S. 091 The Albany Avenue School,,718-756-0243,532 Albany Ave,11203,1,72,1000834,180404,talleyn2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k091,2,3,3,17K091
K092,DOE,K,P.S. 092 Adrian Hegeman,,718-462-2087,601 Parkside Ave,11226,1,54,996990,178353,drahmaa@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k092,2,3,3,17K092
K093,DOE,K,P.S. 093 William H Prescott,,718-604-7363,31 New York Ave,11216,1,36,999087,186633,sphilip@schools.nyc.gov,http://schools.nyc.gov/schoolportals/13/k093,2,3,3,13K093
K095,DOE,K,P.S. 095 The Gravesend,,718-449-5050,345 Van Sicklen St,11223,1,36,991224,156323,jndzibah@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k095,2,3,3,21K095
K097,DOE,K,P.S. 97 The Highlawn,,718-372-1800,1855 Stillwell Ave,11223,1,54,988205,158329,icabello@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k097,3,3,3,21K097
K099,DOE,K,P.S. 099 Isaac Asimov,,718-338-9201,1120 East 10 St,11230,1,36,993722,165704,gpirrag@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k099,2,1,3,21K099
K100,DOE,K,P.S. 100 The Coney Island School,,718-266-9477,2951 West 3 St,11224,1,36,992317,149702,ctozzi@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k100,2,3,3,21K100
K106,DOE,K,P.S. 106 Edward Everett Hale,,718-574-0261,1328 Putnam Ave,11221,1,36,1008466,192021,rflores@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k106,2,3,3,32K106
K108,DOE,K,P.S. 108 Sal Abbracciamento,,718-277-7010,200 Linwood St,11208,1,108,1016343,187503,chahn3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k108,2,3,3,19K108
K109,DOE,K,P.S. 109,,718-693-3426,1001 East 45 St,11203,1,54,1002852,171265,dchase2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k109,2,3,3,22K109
K110,DOE,K,P.S. 110 The Monitor,,718-383-7600,124 Monitor St,11222,1,90,1000314,202930,tatson@schools.nyc.gov,http://ps110k.org,2,3,3,14K110
K112,DOE,K,P.S. 112 Lefferts Park,,718-232-0685,7301 15 Ave,11228,1,20,983812,164596,LVerdem@schools.nyc.gov,http://schools.nyc.gov/schoolportals/20/k112,5,9,3,20K112
K114,DOE,K,P.S. 114 Ryder Elementary,,718-257-4428,1077 Remsen Ave,11236,1,54,1009741,173411,dsmith6@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k114,3,3,3,18K114
K115,DOE,K,P.S. 115 Daniel Mucatel School,,718-241-1000,1500 East 92 St,11236,1,108,1012677,170592,lborgese@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k115,2,3,3,18K115
K118,DOE,K,The Maurice Sendak Community School,,718-840-5660,211 8th St,11215,1,66,987659,183768,wgarraway@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k118,3,3,3,15K118
K119,DOE,K,P.S. 119 Amersfort,,718-377-7696,3829 Ave K,11210,1,36,1001254,167364,lfernan5@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k119,3,3,3,22K119
K120,DOE,K,P.S. 120 Carlos Tapia,,718-455-1000,18 Beaver St,11206,1,90,1001511,194534,lcaraba@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k120,3,3,1,14K120
K121,DOE,K,P.S. 121 Nelson A Rockefeller,,718-377-8845,5301 20 Ave,11204,1,18,990132,166212,cmagrone@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k121,2,3,3,21K121
K123,DOE,K,P.S. 123 Suydam,,718-821-4810,100 Irving Ave,11237,1,36,1005736,195753,aparach@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k123,2,1,3,32K123
K124,DOE,K,P.S. 124 Silas B Dutcher,,718-788-0246,515 4 Ave,11215,1,36,986830,182462,aburrell2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k124,2,3,3,15K124
K129,CHARTER,K,Success Academy Charter School - Cobble Hill Pre - Kindergarten,,718-704-1460,284 Baltic St,11201,1,18,986088,188932,SACH.MainOffice@saschools.org,http://successacademies.org/schools/cobble-hill/,5,9,3,15K129
K130,DOE,K,P.S. 130 The Parkside,,718-686-1940,70 Ocean Pkwy,11218,1,72,990932,175699,mnunzia@schools.nyc.gov,http://ps130brooklyn.com,2,7,3,15K130
K131,DOE,K,P.S. 131 Brooklyn,,718-431-1960,4305 Ft Hamilton Pkwy,11219,1,36,986096,172731,rquiles2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k131,2,3,3,15K131
K132,DOE,K,P.S. 132 The Conselyea School,,718-599-7301,320 Manhattan Ave,11211,1,72,999251,199688,blubeck@schools.nyc.gov,http://ps132andyou.net,2,3,3,14K132
K133,DOE,K,P.S. 133 William A Butler,"<P> <Strong>Note:</strong> Students in District 15 are prioritized for two-thirds of seats and students in District 13 are prioritized for the remaining third. Within each district group, students who qualify for Free and Reduced Lunch and/or are English Language Learners will have priority for 35% of those seats. </P>",718-398-5320,610 Baltic St,11217,1,64,989651,187141,adickerson@schools.nyc.gov,http://ps133brooklyn.org,2,3,3,13K133
K135,DOE,K,P.S. 135 Sheldon A Brookner,,718-693-4363,684 Linden Blvd,11203,1,36,1002848,177315,tmcrae2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k135,2,7,3,18K135
K137,DOE,K,P.S. / I.S. 137 Rachel Jean Mitchell,,718-453-2926,121 Saratoga Ave,11233,1,18,1007348,187847,zcooper@schools.nyc.gov,http://schools.nyc.gov/schoolportals/23/k137,3,3,3,23K137
K138,DOE,K,P.S. 138 Brooklyn,,718-467-0800,760 Prospect Pl,11216,1,72,997749,184891,mchauve@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k138,2,3,3,17K138
K139,DOE,K,P.S. 139 Alexine A Fenty,,718-282-5254,330 Rugby Rd,11226,1,54,993758,172958,mmcdona10@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k139,2,7,3,22K139
K145,DOE,K,P.S. 145 Andrew Jackson,,718-821-4823,100 Noll St,11206,1,90,1003047,194870,LMalloy@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k145,2,7,3,32K145
K146,DOE,K,P.S. 146,<P><Strong>Note:</strong> Students who qualify for Free and Reduced Lunch have priority after siblings.</p>,718-923-4750,610 Henry St,11231,1,36,983782,186982,amysumner@bns146.org,http://bns146.org,3,3,1,15K146
K147,DOE,K,P.S. 147 Isaac Remsen,,718-497-0326,325 Bushwick Ave,11206,1,54,1001203,196190,snoyola@schools.nyc.gov,http://ps147brooklyn.org/,3,3,3,14K147
K149,DOE,K,P.S. 149 Danny Kaye,,718-385-8666,700 Sutter Ave,11207,1,90,1013999,183181,yschoff@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k149,3,3,1,19K149
K151,DOE,K,P.S. 151 Lyndon B Johnson,,718-326-6360,763 Knickerbocker Ave,11207,1,18,1009676,191905,jhunt@schools.nyc.gov,http://schools.nyc.gov/schoolportals/32/k151,2,3,3,32K151
K152,DOE,K,School Of Science & Technology,,718-434-5222,725 East 23 St,11210,1,18,996920,169771,csheldr@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k152,2,7,3,22K152
K153,DOE,K,P.S. 153 Homecrest,,718-375-4484,1970 Homecrest Ave,11229,1,64,995364,158309,csanta@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k153,2,3,3,21K153
K155,DOE,K,P.S. / I.S. 155 Nicholas Herkimer,,718-495-7751,1355 Herkimer St,11233,1,36,1009570,186160,ncortes3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/23/k155,3,7,3,23K155
K156,DOE,K,P.S. 156 Waverly,,718-498-2811,104 Sutter Ave,11212,1,36,1006944,181831,23k156@schools.nyc.gov,http://156k.org,2,3,3,23K156
K157,DOE,K,P.S. 157 Benjamin Franklin,,718-622-9285,850 Kent Ave,11205,1,36,995355,192637,ps157@outlook.com,http://schools.nyc.gov/schoolportals/14/k157,3,3,3,14K157
K158,DOE,K,P.S. 158 Warwick,,718-277-6116,400 Ashford St,11207,1,72,1016131,184337,awilson3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k158,3,3,3,19K158
K161,DOE,K,P.S. 161 The Crown,,718-756-3100,330 Crown St,11225,1,36,998338,181915,mjohnso10@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k161,2,3,3,17K161
K164,DOE,K,P.S. 164 Caesar Rodney,,718-854-4100,4211 14 Ave,11219,1,46,988177,171416,esteinberg@schools.nyc.gov,http://schools.nyc.gov/schoolportals/20/k164,3,7,3,20K164
K165,DOE,K,P.S. 165 Ida Posner,,718-495-7759,76 Lott Ave,11212,1,36,1008949,178732,fellers@schools.nyc.gov,http://schools.nyc.gov/schoolportals/23/k165,2,3,3,23K165
K172,DOE,K,P.S. 172 Beacon School Of Excellence,,718-965-4200,825 4 Ave,11232,1,36,984158,178921,jspatol@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k172,2,3,3,15K172
K177,DOE,K,P.S. 177 The Marlboro,,718-375-9506,346 Ave P,11204,1,36,991336,160937,scaleca@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k177,2,3,3,21K177
K178,DOE,K,P.S. 178 St. Clair Mckelway,,718-495-7768,2163 Dean St,11233,1,36,1007728,185292,jhenry1@schools.nyc.gov,http://schools.nyc.gov/schoolportals/23/k178,3,3,3,23K178
K179,DOE,K,P.S. 179 Kensington,,718-438-4010,202 Ave C,11218,1,80,990551,172548,bamato@schools.nyc.gov,http://ps179kensington.com,5,9,3,20K179
K180,DOE,K,The Seeall Academy,,718-851-8070,5601 16 Ave,11204,1,38,987136,167594,20k180@schools.nyc.gov,http://seeallacademy.com,2,3,3,20K180
K181,DOE,K,P.S. 181 Brooklyn,,718-462-5298,1023 New York Ave,11203,1,28,999237,175436,kgrady@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k181,3,3,3,17K181
K182,CHARTER,K,Success Academy Charter School - Williamsburg Pre - Kindergarten,,718-704-1419,183 South 3rd St,11211,1,18,995368,198597,SAWB.MainOffice@saschools.org,http://successacademies.org/schools/williamsburg/,5,9,3,14K182
K184,DOE,K,P.S. 184 Newport,,718-495-7775,273 Newport St,11212,1,72,1010622,179822,llinder@schools.nyc.gov,http://schools.nyc.gov/schoolportals/23/k184,2,3,3,23K184
K186,DOE,K,P.S. 186 Dr. Irving A Gladstone,,718-236-7071,7601 19 Ave,11214,1,18,985747,161927,bcadotte@schools.nyc.gov,http://ps186.com,5,9,3,20K186
K188,DOE,K,P.S. 188 Michael E Berdy,,718-265-7580,3314 Neptune Ave,11224,1,36,984106,149472,agreen31@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k188,3,3,3,21K188
K190,DOE,K,P.S. 190 Sheffield,,718-346-8780,590 Sheffield Ave,11207,1,18,1013461,180625,ssantiago11@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k190,2,3,3,19K190
K191,DOE,K,P.S. 191 Paul Robeson,,718-756-1206,1600 Park Pl,11233,1,18,1005274,184040,ecapolo@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k191,2,3,3,17K191
K192,DOE,K,P.S. 192 - The Magnet School For Math And Science Inquiry,,718-633-3061,4715 18 Ave,11204,1,46,989832,168445,lisaac@schools.nyc.gov,http://ps-is192.org/,3,3,3,20K192
K193,DOE,K,P.S. 193 Gil Hodges,,718-338-9011,2515 Ave L,11210,1,18,998056,165816,TBackof@schools.nyc.gov,http://gilhodgesschool.wix.com/ps193,3,3,3,22K193
K194,DOE,K,P.S. 194 Raoul Wallenberg,,718-648-8804,3117 Ave W,11229,1,36,1002569,156858,mzissle@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k194,2,3,3,22K194
K195,DOE,K,P.S. 195 Manhattan Beach,,718-648-9102,131 Irwin St,11235,1,18,999917,150530,btoomey@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k195,2,1,3,22K195
K196,DOE,K,P.S. 196 Ten Eyck,,718-497-0139,207 Bushwick Ave,11206,1,46,1000961,197506,mrodriguez3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/14/k196,3,3,3,14K196
K197,DOE,K,P.S. 197 - The Kings Highway Academy,,718-377-7890,1599 East 22 St,11210,1,72,997690,162462,rnicole@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k197,2,3,3,22K197
K198,DOE,K,P.S. 198 Brooklyn,,718-282-4920,4105 Farragut Rd,11210,1,36,1001725,171434,jmorgan2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k198,2,3,3,22K198
K199,DOE,K,P.S. 199 Frederick Wachtel,,718-339-1422,1100 Elm Ave,11230,1,36,994497,163891,21k199@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k199,2,3,3,21K199
K200,DOE,K,P.S. 200 Benson School,,718-236-5466,1940 Benson Ave,11214,1,36,983788,158980,jmuniz@schools.nyc.gov,http://schools.nyc.gov/schoolportals/20/k200,2,1,3,20K200
K202,DOE,K,P.S. 202 Ernest S Jenkyns,,718-649-7880,982 Hegeman Ave,11208,1,54,1018510,181996,mspence6@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k202,2,3,3,19K202
KABC,NYCEEC,K,Bais Sarah School,,718-871-7571,6101 16 Ave,11204,1,60,986288,166574,baissarahupk@verizon.net,,5,9,3,20KABC
K203,DOE,K,P.S. 203 Floyd Bennett School,,718-241-8488,5101 Ave M,11234,1,126,1004878,165792,lesposi3@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k203,2,3,3,22K203
K204,DOE,K,P.S. 204 Vince Lombardi,,718-236-2906,8101 15 Ave,11228,1,36,982425,162902,jlogosso@schools.nyc.gov,http://schools.nyc.gov/schoolportals/20/k204,5,9,3,20K204
K205,DOE,K,P.S. 205 Clarion,,718-236-2380,6701 20 Ave,11204,1,54,987836,163315,bgrater@schools.nyc.gov,http://schools.nyc.gov/schoolportals/20/k205,2,3,3,20K205
K206,DOE,K,P.S. 206 Joseph F Lamb,,718-743-5598,2200 Gravesend Nck Rd,11229,1,36,998543,156874,jhom42@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k206,2,3,3,22K206
K207,DOE,K,P.S. 207 Elizabeth G Leary,,718-645-8667,4011 Fillmore Ave,11234,1,36,1003637,162866,mbosco@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k207,2,3,3,22K207
K208,DOE,K,P.S. 208 Elsa Ebeling,,718-629-1670,4801 Ave D,11203,1,36,1003436,173291,NRenville@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k208,2,3,3,18K208
K209,DOE,K,P.S. 209 Margaret Mead,,718-743-1954,2609 East 7 St,11235,1,36,994897,153044,flocurc@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k209,2,3,3,21K209
K212,DOE,K,P.S. 212 Lady Deborah Moody,,718-266-4841,87 Bay 49 St,11214,1,54,988250,153341,jmarsel@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k212,2,3,3,21K212
K213,DOE,K,P.S. 213 New Lots,,718-257-4034,580 Hegeman Ave,11207,1,54,1014692,179849,smoise2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k213,3,3,3,19K213
K214,DOE,K,P.S. 214 Michael Friedsam,,718-647-1740,2944 Pitkin Ave,11208,1,108,1022233,185689,SMahabi@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k214,3,3,3,19K214
K215,DOE,K,P.S. 215 Morris H Weiss,,718-339-2464,415 Ave S,11223,1,54,992559,158723,above@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k215,2,3,3,21K215
K216,DOE,K,P.S. 216 Arturo Toscanini,,718-645-2862,350 Ave X,11223,1,102,992663,154348,DNeglia@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k216,2,3,3,21K216
K217,DOE,K,P.S. 217 Colonel David Marcus School,,718-434-6960,1100 Newkirk Ave,11230,1,54,993573,170160,fconti@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k217,2,1,3,22K217
K219,DOE,K,P.S. 219 Kennedy - King,,718-342-0493,1060 Clarkson Ave,11212,1,72,1005716,179426,wsmith4@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k219,2,2,3,18K219
K221,DOE,K,P.S. 221 Toussaint L'Ouverture,,718-756-0122,791 Empire Blvd,11213,1,54,1001983,181168,cmoodie@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k221,2,3,3,17K221
K222,DOE,K,P.S. 222 Katherine R Snyder,,718-998-4298,3301 Quentin Rd,11234,1,36,1001227,162862,tolivie@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k222,2,3,3,22K222
K224,DOE,K,P.S. 224 Hale A Woodruff,,718-235-3600,757 Wortman Ave,11208,1,54,1021434,181544,gandrews@schools.nyc.gov,http://schools.nyc.gov/schoolportals/19/k224,3,3,3,19K224
K225,DOE,K,P.S. K225 - The Eileen E Zaglin,,718-743-9793,1075 Ocean Vw Ave,11235,1,66,996443,150554,MCosmai@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k225,3,2,3,21K225
K226,DOE,K,P.S. 226 Alfred De Bmason,,718-234-4940,6006 23 Ave,11204,1,54,990693,163416,stannen2@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k226,3,7,3,21K226
K229,DOE,K,P.S. 229 Dyker,,718-236-5447,1400 Benson Ave,11228,1,30,980558,161737,rzappul@schools.nyc.gov,http://ps229.org,2,3,3,20K229
K230,DOE,K,P.S. 230 Doris L Cohen,,718-437-6135,1 Albemarle Rd,11218,1,72,989675,174378,mdellaragione@schools.nyc.gov,http://schools.nyc.gov/schoolportals/15/k230,3,2,3,15K230
K233,DOE,K,P.S. 233 Langston Hughes,,718-346-8103,9301 Ave B,11236,1,72,1008110,176607,tallen10@schools.nyc.gov,http://ps233-k12-et.schoolloop.com,2,3,3,18K233
K235,DOE,K,P.S. 235 Lenox School,,718-773-4869,525 Lenox Rd,11203,1,36,1000654,177895,llord@schools.nyc.gov,http://schools.nyc.gov/schoolportals/18/k235,2,3,3,18K235
K236,DOE,K,P.S. 236 Mill Basin,,718-444-6969,6302 Ave U,11234,1,54,1008520,163671,alabella@schools.nyc.gov,http://schools.nyc.gov/schoolportals/22/k236,2,3,3,22K236
K238,DOE,K,P.S. 238 Anne Sullivan,,718-339-4355,1633 East 8 St,11223,1,102,994024,161069,hmusoff@schools.nyc.gov,http://schools.nyc.gov/schoolportals/21/k238,3,3,3,21K238
K241,DOE,K,P.S. 241 Emma L Johnston,,718-636-4725,976 President St,11225,1,72,995237,183023,flucius@schools.nyc.gov,http://schools.nyc.gov/schoolportals/17/k241,2,7,3,17K241
