,Address,Description,FeatureCount,Fee,Langtitude,Latitude,LengthOfVisit,MuseumName,PhoneNum,Rank,Rating,ReviewCount,TotalThingsToDo
12,"2001 N Colorado Blvd, Denver, CO 80205-5798","The Denver Museum of Nature & Science is the Rocky Mountain regions leading resource for informal science education. A variety of exhibitions, programs, and activities help Museum visitors experience the natural wonders of Colorado, Earth, and the universe.",0,NA,-104.94102,39.76918939999999,NA,Denver Museum of Nature & Science,303-370-6000,4,4.5,"2,564",231
13,"111 S Michigan Ave, Chicago, IL 60603-6488","This Classical Renaissance structure, guarded by two bronze lions at its entrance, boasts one of the world's great art collections, including the trademark ""American Gothic.""",5,Yes ,-87.6237238,41.8795473,More than 3 hours ,Art Institute of Chicago,312 443 3600,1,5.0,"15,532",614
14,"Bygdoeynesveien 39, Oslo 0286, Norway","The Fram Museum is located at Bygdy, a short distance from the centre of Oslo and is easily reached by bus or, in the summer season, by ferry from the City Hall quayside. Our closest neighbours are the Kon-Tiki Museum and the Norwegian Maritime Museum. The Viking Ship Museum and the Norwegian Folk Museum are within 15 minutes walk. The Bygdy peninsula is therefore popularly known as the museum peninsula. Bygdy is one of Oslos main places to go.",2,NA,10.6979172,59.90297,1-2 hours ,Fram Polar Ship Museum,+47 23 28 29 50,3,4.5,"3,332",386
15,"Maria-Theresien-Platz | 1010 Vienna, Vienna 1010, Austria","Experience one of the world's foremost museums! Let yourself be enchanted by works spanning five millennia, from Ancient Egypt to the modern era. Experience unique major works by Drer, Raphael, Titian and Velzquez as well as the world's largest collection of Bruegel paintings, all in a magnificent setting. The Kunstkammer Vienna, featuring the famous Saliera by Benvenuto Cellini, is a veritable universe of art and beauty guaranteed to transform any visit into an unforgettable experience. Included in the ticket are the collections at the Neue Burg on the opposite side of Vienna's Ringstrasse. Here you will see the instruments used by the great composers and be transported back to chivalrous times when knights held sway and tourneys and hunting shaped courtly life.",2,Yes ,16.3607757,48.2045547,1-2 hours ,Kunsthistorisches Museum,+43 1 525240,3,4.5,"5,663",513
16,"180 Greenwich St, World Trade Center, New York City, NY 10007-0089","The National September 11 Memorial & Museum is a place of remembrance honoring those who perished in the terrorist attacks of September 11, 2001 and February 26, 1993. ",5,No ,-74.0124786,40.7114147,1-2 hours ,The National 9/11 Memorial & Museum,+1 212-312-8800,3,4.5,"48,438","1,028"
17,"13089 Berlin, Germany",NA,11,NA,13.442009,52.5686844,More than 3 hours ,Museum Island,+49 (0) 30 / 266424242,10,4.5,"5,727",722
18,"Cromwell Road | South Kensington, London SW7 2RL, England","The world's greatest museum of art and design.The V&A's collections are unrivalled in their diversity. Explore historical and contemporary art and design, including works of art from many of the world's richest cultures. Admission free.",9,No ,-0.1828325,51.4950805,2-3 hours ,V&A - Victoria and Albert Museum,020 7942 2000 ,3,4.5,"18,030","1,443"
19,"465 Huntington Ave, Avenue of the Arts, Boston, MA 02115-5597","Boston's oldest, largest and best-known art institution, the MFA houses one of the world's most comprehensive art collections and is renowned for its Impressionist paintings, Asian and Egyptian collections and early American art.",4,Yes ,-71.0850239,42.3428415,2-3 hours ,Museum of Fine Arts,617-267-9300,2,4.5,"5,480",371
20,"Chambers Street, Edinburgh EH1 1JF, Scotland","Explore the diversity of the natural world, world cultures, science and technology, art, design and fashion, and Scottish history, all under one roof.",14,No ,-3.1884344,55.9476897,More than 3 hours ,National Museum of Scotland,443001236789,5,4.5,"10,641",374
21,"1400 S Lake Shore Dr, Chicago, IL 60605-2827","One of America's premier natural history museums, the Field's ""Live over Time"" exhibit now houses ""Sue,"" the largest and most complete Tyrannosaurus rex ever discovered.",4,Yes ,-87.61698620000001,41.8661733,More than 3 hours ,The Field Museum,312 922 9410,9,4.5,"5,500",614
22,"Wierdijk 12-22 | 1601 la Enkhuizen, 1601 LA Enkhuizen, The Netherlands",,0,NA,5.2972236,52.7037766,NA,Zuiderzee Museum (Zuiderzeemuseum),+31 228 351 111,1,4.5,562,15
23,"99 rue de Rivoli, 75039 Paris, France","Home to Leonardo da Vinci's Mona Lisa, the Louvre is considered the world's greatest art museum, with an unparalleled collection of items covering the full spectrum of art through the ages.",13,Yes ,2.3358527,48.8610105,More than 3 hours ,Musee du Louvre,33 01 40 20 50 50,3,4.5,"63,112","1,004"
24,"Dantes Plads 7, Copenhagen 1556, Denmark","NY CARLSBERG GLYPTOTEK - EXPLORE 6000 YEARS OF ART This beautiful museum, founded in 1888, invites you to discover Northern Europe's largest collection of Ancient Mediterranean art and visit the leading collection of French Impressionist paintings in Denmark. The wonderful buildings are filled with atmosphere and every corner offers a new experience. The heart of the museum is the classic 1906 sub-tropical winter garden with tall palm trees, a fountain and a fish pool. The museum was founded by the renowned brewing magnate Carl Jacobsen, who made Carlsberg beer known world wide. Address:Ny Carlsberg Glyptotek,Dantes Plads 7,1556 Copenhagen V",4,NA,12.57343,55.67356710000001,NA,Ny Carlsberg Glyptotek,+45 33 41 81 41,5,4.5,"2,743",325
25,"Museumsinsel 1, 80538, Munich, Bavaria, Germany","One of the world's largest science museums, visitors can to this famous institution can easily get lost among the endless floors of interesting exhibits, including a fascinating exhibit on mining.",5,Yes ,11.5844567,48.1310638,More than 3 hours ,Deutsches Museum,49 0 89 2179-1 ,11,4.5,"5,273",293
26,"10th Street and Constitution Ave, Washington DC, DC 20560","Established in 1910 and located on the National Mall, this prestigious museum, part of the Smithsonian Institution, holds the world's most extensive collection of natural history specimens and human artifacts including the remains of dinosaurs and tools used by early man.",7,No ,-77.02596129999999,38.89210370000001,2-3 hours ,Smithsonian National Museum of Natural History,202 633-1000,12,4.5,"7,640",398
27,"Via Accademia delle Scienze, 6 | Aperto Anche il Lunedi Mattina, 10123 Turin, Italy","The Museo delle Antichit Egizie is the only museum other than the Cairo Museum that is dedicated solely to Egyptian art and culture. Many international scholars, since the decipherer of Egyptian hieroglyphs Jean-Franois Champollion, who came to Turin in 1824, spend much time pouring over the collections. It was Champollion who famously wrote, The road to Memphis and Thebes passes through Turin.The collections that make up todays Museum, were enlarged by the excavations conducted in Egypt by the Museums archaeological mission between 1900 and 1935 (a period when finds were divided between the excavators and Egypt).The Egyptian Museum in Turin has begun 2009 an important project which wants to widen spaces in order to enhance the collections through modern museographical and museological criteria. The Museum will be open all over the period of restoration and the New Egyptian Museum inauguration is scheduled for the year 2015.",1,NA,7.6894974,45.0629159,NA,Egyptian Museum of Turin,39 11 561 7776,1,4.5,"11,412",276
28,"6th and Independence Ave., SW, Washington DC, DC 20560",The most popular of the Smithsonian museums features the Wright Brothers' 1903 Flyer and Lindbergh's Spirit of St. Louis.,10,No ,-77.01990479999999,38.8875682,2-3 hours ,Smithsonian National Air and Space Museum,2026331000,3,4.5,"14,493",398
29,"79th Street and Central Park West, New York City, NY 10024","Interactive, modernized exhibits and an IMAX theater help bring this museum, dedicated to understanding the past, into the 21st century.",11,Yes ,-73.9717106,40.7820454,More than 3 hours ,American Museum of Natural History,212-769-5100,32,4.5,"13,992","1,028"
30,"Paseo del Prado 8, 28014 Madrid, Spain","The Thyssen-Bornemisza Museum offers visitors an overview of art from the 13th century to the late 20th century. In the nearly one thousand works on display, visitors can contemplate the major periods and pictorial schools of western art such as the Renaissance, Mannerism, the Baroque, Rococo, Romanticism and the art of the 19th and 20th centuries up to Pop Art. The museum also features works from some movements not represented in state-owned collections, such as Impressionism, Fauvism, German Expressionism and the experimental avant-garde movements of the early 20th century. In addition, it boasts an important collection of 19th-century American painting not found in any other European museum institutions.",7,Yes ,-3.6949425,40.4160397,More than 3 hours ,Thyssen-Bornemisza Museum (Museo Thyssen-Bornemisza),34917911370,3,4.5,"9,278",705
31,"Cromwell Road | South Kensington, London SW7 5BD, England","A center of scientific excellence in the discovery of taxonomy and biodiversity, this world-famous museum promotes the discovery and enjoyment of the natural world through such exciting exhibits as the Life and Earth Galleries, wildlife garden and geological collections.",5,No ,-0.1828325,51.4950805,More than 3 hours ,Natural History Museum,020-7938-9123,11,4.5,"18,879","1,443"
32,"5700 S. Lake Shore Drive, Chicago, IL 60637-2093","The largest science museum in the Western Hemisphere! Housed in the only remaining building from the 1893 Worlds Fair, MSI is a Chicago must-see. Youll experience 14 acres of hands-on exhibits and have the chance to stand before a 40-foot tornado; climb aboard a World War II German submarine; take a run in a human-sized hamster wheel; descend into an Illinois coal mine; tour a fully functioning eco-friendly home; board a 727 hanging from the ceiling; transmit your pulse to a 13-foot, 3-D beating heart; and much more! MSI is not a place where you walk around quietly and observe. No way! You get involved in the funand learnby doing. Just a few miles from downtown with convenient underground parking.",3,Yes ,-87.5830586,41.7906088,More than 3 hours ,Museum of Science and Industry,773-684-1414,6,4.5,"6,867",614
33,"1-4-1, Yokoami, Sumida 130-0015, Tokyo Prefecture",This fascinating museum displays artifacts and architecture that tell a tale of Tokyo's history. Exhibits include replicas of an ancient Kabuki theatre and the original Edo Castle.,0,Yes ,NA,NA,2-3 hours ,Edo-Tokyo Museum,+81 3-3626-9974,2,4.5,"1,235",103
34,"12 Fredsgatan, Stockholm 111 52, Sweden","Nationalmuseum is Sweden's premier museum of art and design. Due to renovation, Nationalmuseum's regular museum building is closed until 2018. Visit our temporary exhibition space at Konstakademien (The Royal Swedish Academy of Fine Arts) in Stockholm on Fredsgatan 12. We also have an exhibition space at floor 4 in Kulturhuset Stadsteatern called Nationalmuseum Design.",0,Yes ,18.0644109,59.3286798,2-3 hours ,Nationalmuseum,+46 8 519 543 00,67,4.0,225,284
35,"Bovington, Wareham BH20 6JG, England","The Tank Museum brings history to life, with the world's best collection of tanks and explosive live displays. ",0,NA,-2.2434364,50.6943709,NA,The Tank Museum,+44 1929 405096,1,4.5,"2,253",1
36,"Avenida Paseo de la Reforma | Chapultepec Polanco, Mexico City 11560, Mexico","Considered one of the world's most comprehensive natural history museums, this famous institution houses four square kilometers of exhibits in 23 exhibition halls.",6,NA,-99.20024509999999,19.427238,NA,National Museum of Anthropology (Museo Nacional de Antropologia),05 553 6266,1,5.0,"10,557",463
37,"2-25-6 Kabukicho | Eiwa Dairoku Bldg 1F, Shinjuku 160-0021, Tokyo Prefecture","Urban entertainment museum centrally located in the Kabukicho district of Tokyo's Shinjuku ward. Displayed under dramatic lighting are more than 70 examples of samurai armor, kabuto helmets and weapons gathered here from Japanese and foreign collections. Detailed descriptions for each display are given in English, Chinese and Korean so that foreign visitors can easily understand and appreciate the artifacts. The Samurai Photo-Shooting corner where you can take your picture wearing armor and helmet is super popular with visitors from overseas. The museum also offers a full range of original Samurai gift items for sale.",0,NA,NA,NA,<1 hour ,Samurai Museum,+81 364576411,3,4.5,457,218
38,"100 Queen's Pk | At Bloor St., Toronto, Ontario M5S 2C6, Canada","The Royal Ontario Museum (ROM) is among the worlds leading museums of natural history and world cultures. In combining a universal museum of cultures with that of natural history, the ROM offers an unusual breadth of experience to our audiences from around the world. We realize more acutely now that nature and humanity are intertwined, and the ROM offers many examples in its collections and programs of these fundamental relationships.",0,Yes ,-79.3946785,43.6676765,More than 3 hours ,Royal Ontario Museum,14165868000,5,4.5,"4,867",472
39,"Schaumainkai 63, 60596 Frankfurt, Hesse, Germany","Considered the city's finest art museum, the Stdel holds a fantastic collection of works from the 14th century through the present day.",0,Yes ,8.673028,50.103243,2-3 hours ,Staedel Museum,+49 69 605098200,1,4.5,"1,317",387
40,"1 E. 70th St., Fifth Ave., New York City, NY 10021-4994","Henry Frick once resided in this 18th-century French-style mansion; now its the home of his impressive art collection, which includes Titian, Vermeer, Rembrandt, El Greco, Goya, Whistler and more. ",3,NA,-73.966075,40.7737839,NA,Frick Collection,212-288-0700,10,4.5,"6,747","1,028"
41,"Mercedesstrasse 100, 70372 Stuttgart, Baden-Wurttemberg, Germany",NA,0,NA,9.2337622,48.7883496,NA,Mercedes-Benz Museum,490 711 17 30 000,1,5.0,"4,589",129
42,"1750 Radford Blvd, NAS Pensacola, Pensacola, FL 32508-5400","Experience the magic of flight at the National Naval Aviation Museum! See over 4,000 artifacts and 150 aircraft representing Navy, Marine Corps and Coast Guard Aviation. Ride the flight simulators or catch all the drama and power of amazing IMAX films. Dine in the authentic Cubi Bar Cafe and take home the spirit of Naval Aviation with a unique memento from the Flight Deck Store. Spend a cool day inside the Museum and experience Hands-on-History! New Naval Air Station Entrance: All visitors to the National Naval Aviation Museum, Fort Barrancas and Pensacola Lighthouse who do not possess a Department of Defense identification card or are unescorted by the holder of a Department of Defense identification card, will be required to enter the installation via the West Gate located off Blue Angel Parkway.",0,NA,-87.2866995,30.355867,More than 3 hours ,National Naval Aviation Museum,18003275002,1,5.0,"4,057",103
43,"28 Vo Van Tan St, District 3, Ho Chi Minh City 70000, Vietnam","War Remnants Museum is a unit under the Department of Culture, Sports and Tourism Ho Chi Minh City. Located in the museum system of Vietnam, the museum for world peace and a member of the World Council of Museums (ICOM), the War Remnants Museum, the Museum of thematic research, collection , storage, preservation and display of the material, photographs, artifacts on the evidence of the crime and the consequences of the war that the invasion force has caused to Vietnam.Museum store more than 20,000 documents, exhibits and films, in which more than 1,500 documents, artifacts, films have been applied to introduce in eight thematic exhibition frequently. In 35 years, the Museum has welcomed over 15 million visitors at home and abroad. Currently with about 500,000 visitors each year, the War Remnants Museum is one of the only cultural tourism to attract high public credibility at home and abroad.",10,Yes ,106.6921474,10.779394,1-2 hours ,War Remnants Museum,+84 8 829 0325,5,4.5,"16,188",214
44,"350 E 3rd St, Port of Dubuque, Dubuque, IA 52001-2302","The National Mississippi River Museum & Aquarium features the culture, creatures and history of our the Mississippi and all our nation's rivers through dynamic exhibits and twelve large aquariums housed in two main centers. The impressive 14-acre riverfront campus includes a connecting plaza, a 3D/4D theater, boatyard, on-site dining options, and more! DIVE IN for a visit to the Museum & Aquarium, where fun & learning flow together!",0,NA,-90.661378,42.496887,2-3 hours ,National Mississippi River Museum & Aquarium,+1 800-226-3369,2,4.5,"1,036",62
45,"Haskoy Cad. No: 5 | Beyoglu, Haskoy, Istanbul 34445 , Turkey","The Rahmi M Ko Museum is the first major museum in Turkey dedicated to the history of Transport, Industry and Communications. Housed in magnificent buildings - themselves prime examples of industrial archaeology - on the shore of the historic Golden Horn, the collection contains thousands of items from gramophone needles to full size ships and aircraft.",5,Yes ,28.951875,41.039887,1-2 hours ,Rahmi M. Koc Museum,0-212-369-66-00,11,4.5,"1,009",998
46,"Museumsplatz 1, Vienna 1070, Austria","90,000 m, 60 cultural institutions - the MuseumsQuartier Wien is a place of art and crea tivity. You'll find renowned museums here, as wellas small cultural initiatives, classics of modernism and young artists of the current century. The spectrum ranges from the visual arts to architecture, music, fashion, theater, dance, literature and children's culture, to game culture, street art, design and photography. Innumerable cultural events also take place throughout the year in the courtyards of the MQ, featuring everything from dance performances, exhibition projects and film festivals to literary readings and even DJ line-ups.",3,NA,16.3591175,48.2034986,NA,MuseumsQuartier Wien,+43 1 5235881,14,4.5,"2,603",513
47,"150 London Wall, London EC2Y 5HN, England","Step inside the Museum of London for an unforgettable journey through the capitals turbulent past. Discover prehistoric London, see how the city changed under Romans and Saxons, wonder at medieval London and examine the tumultuous years when London was ravaged by civil wars, plague and fire. Then venture into the Galleries of Modern London where you can walk the streets of Victorian London, take a stroll in recreated pleasure gardens and marvel at the magnificent Lord Mayors Coach.Free entry. Open Monday to Sunday, 10am - 6pm. Closed 24-26 December.",4,No ,-0.0970381,51.5177584,2-3 hours ,Museum of London,44 0 20 7001 9844,46,4.5,"3,718","1,443"
48,"6 Place Paul Painleve | 5th arrondissement, 75005 Paris, France","This museum, located in a spacious former hotel, houses a collection of medieval art, including jewelry, tapestries and sculptures.",3,NA,2.3439212,48.8503245,NA,Musee de Cluny - Musee National du Moyen Age,+33 01 53 73 78 00,36,4.5,"2,075","1,004"
49,"63 W Chocolate Ave, Hershey, PA 17033-1502","Hershey starts here! How did Milton Hershey go from bankruptcy to brilliance, transforming chocolate from a luxury to an everyday treat? How did he invent a community? Why did he give away his fortune? That's the Hershey story. Enjoy a 45-minute, hands on class in the Chocolate Lab and sample warm drinking chocolate from around the world at Tastings. Grab a delicious treat from the Pantry Caf and find a unique assortment of keepsakes and chocolate at Museum Shop.",0,NA,-76.65212989999999,40.2852523,NA,The Hershey Story,+1 717-534-8939,4,4.5,"1,127",32
50,"2600 Benjamin Franklin Pkwy, Philadelphia, PA 19130-2399","As one of the largest museums in the United States, the Philadelphia Museum of Art invites visitors from around the world to explore its renowned collections, acclaimed special exhibitions, and enriching programs, both in person and online. Rising majestically at the end of the Benjamin Franklin Parkway, the Philadelphia Museum of Art stands as one of the great art institutions of the world. In the over 125 years since its founding, it has grown far beyond the limits originally set for it. Today, the Museum houses over 225,000 works of art encompassing some of the greatest achievements of human creativity, and offers a wealth of exhibitions and educational programs for a public of all ages.",7,Yes ,-75.18116160000001,39.9658015,1-2 hours ,Philadelphia Museum of Art,12157638100,1,4.5,"4,713",423
51,"Viale Vaticano, 00120 Vatican City, Italy","With more than five miles of corridors, this vast complex of museums chronicles the history and accomplishments of mankind over the last 2000 years, featuring classic masterpieces such as Rodin's ""Thinker"" and the Sistine Chapel.",0,Yes ,12.4492859,41.9053174,More than 3 hours ,Vatican Museums,+39 06 69884676,7,4.5,"19,347",35
52,"Huk Aveny 35, Oslo 0287, Norway",The Viking Ship Museum houses best preserved Viking ship in the world. These ocean-going vessels were drawn on shore and used at burial ships. The Museum also displays some of the fantastic gifts that were given to the deceased to use in the afterlife. ,1,NA,10.6849079,59.904593,NA,The Viking Ship Museum,+47 22 13 52 80,9,4.5,"5,076",386
53,"Avenida Bolivar 1515 | Pueblo Libre, Lima Lima 21, Peru","MUSEO LARCO OPENS FROM 9AM TO 10PM, DAILY. The Museo Larco is housed in an exquisite 18th century vice-royal mansion, built over a 7th century pre-Columbian pyramid and surrounded by beautiful gardens. The museums galleries exhibit the finest and most magnificent gold and jewelry treasures from Ancient Peru and the renowned erotic collection, one of Perus most celebrated attractions. Founded in 1926 and located in Lima, the Museo Larco holds the largest and most important archaeological collection of Ancient Peru in the world. Peru is known worldwide thanks to the legendary Inca Empire on the Andes Mountains; however few are aware that this society existed only for the last 100 years before the arrival of the Spanish conquistadores. The Museo Larco portrays to the visitor an engaging narrative, recounting 5000 years in the development of Perus pre-Columbian history; thus becoming the ideal means to understand and enjoy Ancient Peru. On the Museums terraces overlooking its vibrant and stunning gardens, find Museo Larcos Caf restaurant, where one can savour the best of Peruvian and International cuisine.All in all, its accurate to say that to become fascinated by Peruvian history, the journey begins at Museo Larco!",4,Yes ,-77.07097639999999,-12.0720564,2-3 hours ,Museo Larco,+51 1 4611312,1,4.5,"6,463",307
54,"Kaispeicher B | Koreastrasse 1, 20457 Hamburg, Germany","Learn about the history and future of shipping, and Hamburgs importance, at this tremendous museum. Artifacts include ship models, paintings, uniforms and nautical devices.",1,Yes ,9.9997942,53.5433332,More than 3 hours ,International Maritime Museum,494030092300,10,4.5,641,280
55,"Dvortsovaya Square, 2, St. Petersburg 190000, Russia","One of the most famous art museums in the world, this museum is housed in the Winter Palace, and contains over 2.7 million exhibits including some of the world's greatest works of art.",8,Yes ,30.331431,59.9465403,More than 3 hours ,State Hermitage Museum and Winter Palace,+7 (812) 710-90-79,2,5.0,"14,695","1,595"
56,"129 rue de Grenelle | Hotel National des Invalides, 75007 Paris, France",Nearly every weapon and instrument of war imaginable can be found in this comprehensive collection of military equipment.,2,NA,2.3138127,48.8593608,1-2 hours ,Army Museum,33 (0)1 44 42 43 87,29,4.5,"4,480","1,004"
57,"Am Olympiapark 2, 80809, Munich, Bavaria, Germany",Hundreds of thousands of people visit BMW's four-cilinder BMW tower and the bowl-shaped museum next to it each year. The museum showcases the technical development of cars and motorcycles and also has some exhibits about the history of the company. Many old cars and motorcycles are on display along a spiral ramp that curls along the inside of the bowl-shaped building.,4,Yes ,11.556706,48.176741,More than 3 hours ,BMW Museum,+49-89-125016001,4,4.5,"5,865",293
58,"5401 Bay Shore Rd, Sarasota, FL 34243-2161","The Ringling is located in Sarasota, Florida and preserves the legacy of John and Mable Ringling. It is home to a Museum of Art, the historic Ca' d'Zan Mansion, Bayfront Gardens, an Art Library, the Circus Museums and the Historic Asolo Theater.",2,NA,-82.5645578,27.382924,NA,The Ringling,+1 941-359-5700,1,4.5,"4,450",131
59,"1549 El Prado, San Diego, CA 92101-1660","One of the most popular urban parks in the United States, this bucolic paradise is packed with an array of attractions, including the world-famous San Diego Zoo.",3,No ,-117.1495479,32.7311048,More than 3 hours ,Balboa Park,619-239-0512,3,4.5,"7,453",408
60,"555 Pennsylvania Ave NW, Washington DC, DC 20001-2114","Find out for yourself why everyone is calling the Newseum the best experience Washington, D.C. has to offer. Each of the seven levels in this magnificent building is packed with interactive exhibits that explore free expression and the five freedoms of the First Amendment: religion, speech, press, assembly and petition. Whether you have just a few hours or want to spend all day, you'll find something for everyone in the family in the Newseum's 15 theaters and 15 galleries.",3,Yes ,-77.0192351,38.8931385,2-3 hours ,Newseum,+1 888-639-7386,8,4.5,"6,309",398
61,"Great Russell Street, London WC1B 3DG, England","A museum of the world, for the world. Discover over two million years of human history and culture. Some of the world-famous objects include the Rosetta Stone, the Parthenon sculptures and Egyptian mummies.",6,No ,-0.1268526,51.5179811,2-3 hours ,British Museum,+44 (0)20 7323 8299,1,4.5,"41,296","1,443"
62,"Museumstraat 1, 1071 XX Amsterdam, The Netherlands","The Rijksmuseum is the museum of the Netherlands. The completely renovated Rijksmuseum tells the story of the Netherlands from the Middle Ages to the 20th century. Including works by Rembrandt, Vermeer, Frans Hals, and more! Most famous is Rembrandt's masterpiece the Night Watch. A new display of the collection, a renewed building, new public facilities, a revamped garden and a new Asian Pavilion. Open daily from 9 am to 5 pm.",12,Yes ,4.8851853,52.3600072,More than 3 hours ,Rijksmuseum,+31 20 674 7000,1,4.5,"25,042",451
63,"1000 5th Ave, New York City, NY 10028-0198","At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.",12,Yes ,-73.9629278,40.7791655,2-3 hours ,The Metropolitan Museum of Art,1 212-535-7710,2,5.0,"36,628","1,028"
64,"1, Rue de la Legion d'Honneur, 75007 Paris, France","This beautiful museum, once a railroad station, now houses a staggering collection of Impressionist art, as well as other items created between 1848 and 1914. In 2011, the museum is running a renovation of the top floor (impressionist gallery). Only ground and medium floor are accessible. The top floor will re-open on the 20th of October. Meanwhile, some impressionist masterpieces are not visible.",11,Yes ,2.3259283,48.86019779999999,More than 3 hours ,Musee d'Orsay,+33 1 40 49 48 14,1,4.5,"43,037","1,004"
65,"Bodestrasse 1-3, 10178 Berlin, Germany","This internationally renowned ancient history museum contains several fantastic artifacts, including the huge Altar of Zeus and the famous Ishtar Gate from Babylon.",7,Yes ,13.3988335,52.5194895,2-3 hours ,Pergamon Museum,30-2090 5577,9,4.5,"13,459",722
66,"Museumplein 6, 1071 DJ Amsterdam, The Netherlands","Discover the world's largest collection of works by Dutch painter Vincent van Gogh at the Van Gogh Museum in Amsterdam, featuring masterpieces such as Sunflowers, The Potato Eaters, Almond Blossom and The Bedroom.",12,Yes ,4.8815794,52.3584328,1-2 hours ,Van Gogh Museum,+31 20 570 5200,3,4.5,"33,383",451
