,Address,Description,FeatureCount,Fee,Langtitude,Latitude,LengthOfVisit,MuseumName,PhoneNum,Rank,Rating,ReviewCount,TotalThingsToDo
10,"79th Street and Central Park West, New York City, NY 10024","Interactive, modernized exhibits and an IMAX theater help bring this museum, dedicated to understanding the past, into the 21st century.",11,Yes ,-73.9717106,40.7820454,More than 3 hours ,American Museum of Natural History,212-769-5100,32,4.5,"13,992","1,028"
11,"5700 S. Lake Shore Drive, Chicago, IL 60637-2093","The largest science museum in the Western Hemisphere! Housed in the only remaining building from the 1893 Worlds Fair, MSI is a Chicago must-see. Youll experience 14 acres of hands-on exhibits and have the chance to stand before a 40-foot tornado; climb aboard a World War II German submarine; take a run in a human-sized hamster wheel; descend into an Illinois coal mine; tour a fully functioning eco-friendly home; board a 727 hanging from the ceiling; transmit your pulse to a 13-foot, 3-D beating heart; and much more! MSI is not a place where you walk around quietly and observe. No way! You get involved in the funand learnby doing. Just a few miles from downtown with convenient underground parking.",3,Yes ,-87.5830586,41.7906088,More than 3 hours ,Museum of Science and Industry,773-684-1414,6,4.5,"6,867",614
12,"1 E. 70th St., Fifth Ave., New York City, NY 10021-4994","Henry Frick once resided in this 18th-century French-style mansion; now its the home of his impressive art collection, which includes Titian, Vermeer, Rembrandt, El Greco, Goya, Whistler and more. ",3,NA,-73.966075,40.7737839,NA,Frick Collection,212-288-0700,10,4.5,"6,746","1,028"
13,"1750 Radford Blvd, NAS Pensacola, Pensacola, FL 32508-5400","Experience the magic of flight at the National Naval Aviation Museum! See over 4,000 artifacts and 150 aircraft representing Navy, Marine Corps and Coast Guard Aviation. Ride the flight simulators or catch all the drama and power of amazing IMAX films. Dine in the authentic Cubi Bar Cafe and take home the spirit of Naval Aviation with a unique memento from the Flight Deck Store. Spend a cool day inside the Museum and experience Hands-on-History! New Naval Air Station Entrance: All visitors to the National Naval Aviation Museum, Fort Barrancas and Pensacola Lighthouse who do not possess a Department of Defense identification card or are unescorted by the holder of a Department of Defense identification card, will be required to enter the installation via the West Gate located off Blue Angel Parkway.",0,NA,-87.2866995,30.355867,More than 3 hours ,National Naval Aviation Museum,18003275002,1,5.0,"4,057",103
14,"350 E 3rd St, Port of Dubuque, Dubuque, IA 52001-2302","The National Mississippi River Museum & Aquarium features the culture, creatures and history of our the Mississippi and all our nation's rivers through dynamic exhibits and twelve large aquariums housed in two main centers. The impressive 14-acre riverfront campus includes a connecting plaza, a 3D/4D theater, boatyard, on-site dining options, and more! DIVE IN for a visit to the Museum & Aquarium, where fun & learning flow together!",0,NA,-90.661378,42.496887,2-3 hours ,National Mississippi River Museum & Aquarium,+1 800-226-3369,2,4.5,"1,036",62
15,"63 W Chocolate Ave, Hershey, PA 17033-1502","Hershey starts here! How did Milton Hershey go from bankruptcy to brilliance, transforming chocolate from a luxury to an everyday treat? How did he invent a community? Why did he give away his fortune? That's the Hershey story. Enjoy a 45-minute, hands on class in the Chocolate Lab and sample warm drinking chocolate from around the world at Tastings. Grab a delicious treat from the Pantry Caf and find a unique assortment of keepsakes and chocolate at Museum Shop.",0,NA,-76.65212989999999,40.2852523,NA,The Hershey Story,+1 717-534-8939,4,4.5,"1,127",32
16,"2600 Benjamin Franklin Pkwy, Philadelphia, PA 19130-2399","As one of the largest museums in the United States, the Philadelphia Museum of Art invites visitors from around the world to explore its renowned collections, acclaimed special exhibitions, and enriching programs, both in person and online. Rising majestically at the end of the Benjamin Franklin Parkway, the Philadelphia Museum of Art stands as one of the great art institutions of the world. In the over 125 years since its founding, it has grown far beyond the limits originally set for it. Today, the Museum houses over 225,000 works of art encompassing some of the greatest achievements of human creativity, and offers a wealth of exhibitions and educational programs for a public of all ages.",7,Yes ,-75.18116160000001,39.9658015,1-2 hours ,Philadelphia Museum of Art,12157638100,1,4.5,"4,713",423
17,"5401 Bay Shore Rd, Sarasota, FL 34243-2161","The Ringling is located in Sarasota, Florida and preserves the legacy of John and Mable Ringling. It is home to a Museum of Art, the historic Ca' d'Zan Mansion, Bayfront Gardens, an Art Library, the Circus Museums and the Historic Asolo Theater.",2,NA,-82.5645578,27.382924,NA,The Ringling,+1 941-359-5700,1,4.5,"4,450",131
18,"1549 El Prado, San Diego, CA 92101-1660","One of the most popular urban parks in the United States, this bucolic paradise is packed with an array of attractions, including the world-famous San Diego Zoo.",3,No ,-117.1495479,32.7311048,More than 3 hours ,Balboa Park,619-239-0512,3,4.5,"7,453",408
19,"1200 Getty Center Dr, Los Angeles, CA 90049-1657","Spectacular museum boasts a most impressive collection by such luminaries as Van Gogh, Monet and Cezanne, along with the architectural triumph of its six buildings and gardens.",5,Yes ,-118.4751057,34.0790329,2-3 hours ,The Getty Center,13104407300,1,5.0,"9,418",502
20,"5555 Hermann Park Dr, Houston, TX 77030-1718","This outstanding science museum has a spectacular collection of mineral specimens, a dinosaur skeleton, space-station models, a planetarium, IMAX theater and a six-story butterfly center in which these beautiful creatures land delicately on outstretched arms.",1,Yes ,-95.38926149999999,29.7215988,More than 3 hours ,The Houston Museum of Natural Science,17136394629,1,4.5,"3,070",261
21,"100 Raoul Wallenberg Plaza SW, Washington DC, DC 20024-2126",A memorial and museum detailing the rise of Hitler's Germany and the horrors of World War II.,8,NA,-77.0326078,38.8867068,NA,United States Holocaust Memorial Museum,202-488-0400,5,4.5,"7,031",398
22,"300 Stewart Avenue, Las Vegas, NV 89101-2956",NA,3,NA,-115.1412426,36.1728147,2-3 hours ,The Mob Museum,17022292734,12,4.5,"5,115",447
23,"5905 Wilshire Blvd, Los Angeles, CA 90036-4597","Since its inception in 1965, the Los Angeles County Museum of Art (LACMA) has been devoted to collecting works of art that span both history and geography, in addition to representing Los Angeles's uniquely diverse population.",5,Yes ,-118.3588851,34.0637913,2-3 hours ,Los Angeles County Museum of Art,+1 323-857-6000,9,4.5,"1,855",502
24,"119 3rd Ave S, Nashville, TN 37201-2032","The Johnny Cash Museum features the world's largest collection of Johnny Cash artifacts and memorabilia in the world. Walk through the life of the Man in Black depicted in interactive exhibits, films and much more. We feature a Bongo Java Coffee Shop and Museum Cafe. Officially endorsed by the Cash Family. The museum recently received the coveted AAA GEM rating; the highest bestowed on an attraction. We are one of only six attractions in Nashville to have this distinction.",2,NA,-86.7758352,36.1608755,<1 hour ,The Johnny Cash Museum,+1 615-256-1777,8,4.5,"3,130",238
25,"9404 East Marginal Way South, Seattle, WA 98108-4046","Walk the aisle of JFK's Air Force One and climb aboard the West Coast's only Concorde. Revel in the history and heroics of WWI and WWII. Barrel-roll a Mustang, land on the moon, and soar over Puget Sound in a simulator. Experience the excitement of the space race and sit at the controls of the world's fastest jet. From the Wright brothers to the exploration of Mars, you'll find it at The Museum of Flight!",1,Yes ,-122.2966729,47.5182137,2-3 hours ,The Museum of Flight,1 2067645700,2,4.5,"4,356",423
26,"2201 N Field St, Dallas, TX 75201-1704",NA,3,NA,-96.80661579999999,32.7869275,NA,Perot Museum of Nature and Science,+1 214-428-5555,5,4.5,"2,242",224
27,"2021 N Kinney Rd, Tucson, AZ 85743-9719","This renowned combination zoo, natural history museum, botanical garden and art gallery reflects the diverse flora and fauna of the Sonoran Desert, featuring wildlife such as coyotes, bears and mountain lions in their natural settings and two aviaries; one for hummingbirds and the other for varied desert birds.",0,NA,-111.1681062,32.2440117,More than 3 hours ,Arizona-Sonora Desert Museum,15208832702,1,5.0,"5,590",265
28,"325 5th Ave N, Seattle Center, Seattle, WA 98109-4630","Visit a museum like no other on earth. EMP Museum, located next to Seattles historic Space Needle, houses some of the worlds most legendary pop culture artifacts. Test your DJ skills in Sound Lab, take over the spotlight in On Stage, and get the scoop on the worlds most mesmerizing producers of pop culture. Hands-on experiences, iconic artifacts, and award-winning exhibitions featuring luminaries in the fields of music, literature, television, and film make EMP a destination unlike any other.",0,NA,-122.3345508,47.6105075,NA,EMP Museum,12067702700,16,4.0,"4,067",423
29,"104 Montgomery St, The Presidio, San Francisco, CA 94129-1718",NA,1,NA,-122.4585992,37.8013387,NA,Walt Disney Family Museum,415 345 6800,15,4.5,"1,894",522
30,"770 Las Vegas Blvd N, Las Vegas, NV 89101-2010","Founded in 1996, the Neon Museum is a non-profit 501 (c) 3 organization dedicated to collecting, preserving, studying and exhibiting iconic Las Vegas signs for educational, historic and cultural enrichment. In addition to an approximately two-acre Neon Museum campus, which includes the outdoor exhibition space known as the Neon Boneyard, the museum also encompasses a visitors center housed inside the former La Concha Motel.Guided tours are available seven days a week every half hour starting at 10 a.m. and run all day with the final tour departing at 8:30 p.m. The Fall/Winter Night Tour showcases our restored signs within the Neon Boneyard along with our recently installed illumination for our unrestored collection.",6,Yes ,-115.135146,36.176947,1-2 hours ,The Neon Museum,17023876366,20,4.5,"2,507",447
31,"11 West 53rd Street, New York City, NY 10019","Located in the heart of midtown Manhattan, The Museum of Modern Art is home to the world's greatest collection of modern and contemporary art. The collection includes Vincent van Gogh's ""The Starry Night"" and Andy Warhol's ""Gold Marilyn Monroe,"" along with works by Jackson Pollock, Jasper Johns, Cindy Sherman, Elizabeth Murray, and many other great artists of our time. MoMA's collection also showcases photography, film, architecture, design, media, and performance art. Visitors can also enjoy shopping and fine and casual dining options.",5,Yes ,-73.9771203,40.761417,2-3 hours ,The Museum of Modern Art (MoMA),+1 212-708-9400,28,4.5,"10,591","1,028"
32,"St. Joseph's Indian School, Exit 263 off I-90, Chamberlain, SD 57325","Visit the Akta Lakota Museum to experience a living lesson on the Native American way of life, past and present. Each year we receive thousands of visitors from all over the globe that want to deepen their appreciation of Lakota culture. As an outreach program of St. Joseph's Indian School we pride ourselves on not just providing that experience but creating an atmosphere conducive to learning and healing into the hearts of our students as well as our visitors. What makes our museum such a wonderful experience is our focus. We have an outstanding collection of cultural, historical and artistic works that relate specifically to the Northern Plains Indian Tribes, the ancestry of the students served at St. Joseph's. Our historical collection honors the past while our contemporary collection represents the creative spirit of today's world. We work closely with Indian artist and artisans to present contemporary artwork that builds on cultural traditions while expressing itself in new ways. What you take away from your visit is the understanding that Lakota culture is not just a thing of the past. It's alive and thriving today.",0,NA,-99.3306556,43.810828,NA,Akta Lakota Museum,+1 605-234-3452,1,5.0,147,7
33,"4725 E. Mayo Blvd, Phoenix, AZ 85050-6920","The World's Only Global Musical Instrument Museum. Home of the MIM Music Theater--a 300-seat acoustically superb performance space--as well as the award-winning Caf Allegro (open 11 am - 2 pm daily) and the MIM Museum Store. The average guest spends nearly four hours at MIM. Please allow plenty of time to fully enjoy MIM's galleries and exhibits. Open daily, 9 am - 5 pm; Closed Thanksgiving; Open Christmas, 11 am - 5 pm. General Admission: $20; Teens (ages 13-19): $15; Children (ages 4-12): $10; Children 3 and under: Free. Hours and prices are subject to change.",2,NA,-111.9783828,33.6676191,More than 3 hours ,Musical Instrument Museum,+1 480-478-6000,1,5.0,"3,553",218
34,"1 Dali Blvd, St. Petersburg, FL 33701-4901",NA,0,NA,-82.6314787,27.7659759,NA,The Dali Museum,1-727-823-3767,1,4.5,"5,110",120
35,"411 Elm St, Dallas, TX 75202-3301","Located on the sixth floor of the Dallas County Administration Building (formerly the Texas School Book Depository) from which Oswald fired those infamous shots, this historic exhibition chronicles the life, times, assassination and legacy of President John F. Kennedy. Online ticketing is now available through our website.",3,Yes ,-96.8084731,32.7798567,2-3 hours ,The Sixth Floor Museum/Texas School Book Depository,214-747-6660,2,4.5,"5,628",224
36,"450 Mulberry St, Memphis, TN 38103-4214","At the place of Dr. Martin Luther King, Jr.'S death in 1968 in Memphis, TN, the National Civil Rights Museum is a renowned educational and cultural institution. The Museum chronicles the American Civil Rights Movement with compelling presentations of iconic exhibits, oral histories of lesser-known civil rights foot soldiers, and visceral, in-the-moment experiences. Visitors will learn through emotionally charged, multi-user, multi-touch interactives, and a visually engaging, contemporary exhibit design that guides you through five centuries of history. Bring the whole family.",3,NA,-90.0575008,35.1346041,NA,National Civil Rights Museum - Lorraine Motel,+1 901-521-9699,1,4.5,"4,682",147
37,"5801 Wilshire Blvd, Los Angeles, CA 90036-4539 (Formerly Page Museum at the La Brea Tar Pits)","Explore the world's only active, urban Ice Age excavation site. Inside the Page Museum is where we showcase the best fossils, animals, and plants that have been discovered here - mammoths, saber-toothed cats, dire wolves, and more. Experience the Ice Age come to life with our Ice Age Encounters show.",3,Yes ,-118.3554627,34.0638208,1-2 hours ,La Brea Tar Pits and Museum,+1 213-763-3499,15,4.5,"1,878",502
38,"6000 E Valencia Rd, Davis-Monthan Air Force Base, Tucson, AZ 85756-9403","Be amazed at one of the world's largest aircraft collections: including 2+ hangars of World War II planes, supersonic spyplanes, the world's smallest bi-plane, plus many other unique private, military and commercial air & spacecraft documenting the evolution of flight. Friendly docents augment your visit. Only Pima Air & Space offers the bus tour of the ""Boneyard""/AMARG (M-F only, no holidays) plus offers its own tram tour of the museum's 80 acres of one-of-a kind planes daily (additional fees). You can actually touch ""aviation history"" including ""Freedom One"" (that flew the American 444-days-in-Iran hostages home), presidential crafts, planes that launched astronauts, delivered life-saving food/fuel, etc. and others with wingspans the length of a football field... Ogle helicopters, MiGs, an Oscar, a rare German buzz bomb, a moon rock and much more. 300 aircraft, 80 acres, 5 indoor air-cooled hangars. Just plane awesome!",0,NA,-110.8681253,32.1614426,NA,Pima Air & Space Museum,520-574-0462,3,4.5,"2,861",265
39,"2134 Parkway, Pigeon Forge, TN 37863-2995",...,4,NA,-83.5789351,35.82055,NA,Titanic Museum Attraction,+1 800-381-7670,1,4.5,"6,212",86
40,"800 F St NW, Washington DC, DC 20004-1505","Opened in 2002, the International Spy Museum provides interactive exhibits and contains the most extensive collection of spy artifacts ever displayed.",4,Yes ,-77.02348529999999,38.8969085,2-3 hours ,International Spy Museum,12023937798,46,4.0,"3,553",398
41,"900 Exposition Blvd, Exposition Park, Los Angeles, CA 90007-4057","Discover your world past and present. See dinosaurs in our new Dinosaur Hall, including the worlds only Tyrannosaurus rex growth series. Get the behind- the- scenes look at how scientists work on fossils at our Dino Lab. See 240 specimens, including skeletons from mastodons to whales, animal dioramas from North American and Africa, and more.Stroll through our extensive Nature Gardens, and discover true stories about plants and animals in our Nature Lab. See and touch more than 2,000 spectacular specimens displayed in our Gem and Mineral Hall, and enter into the vault to view diamonds, rubies, sapphires, and other exquisite gems. Our Butterfly and Spider Pavilions are open seasonally. Here you can wander through the changing ecosystem with over 30 species of fluttering butterflies all around you, or witness arachnids up close and personal.",4,Yes ,-118.2861256,34.0171157,More than 3 hours ,Natural History Museum of Los Angeles County,+1 213-763-3466,11,4.5,886,502
42,"800 W Main St, Louisville, KY 40202-2620","Batter up! It takes a special place to craft the #1 Bat in Major League Baseball. At Louisville Slugger Museum & Factory, experience history-in-the-making as you stroll through the actual factory where world-famous Louisville Slugger bats are created. ",4,NA,-85.7639901,38.2570582,1-2 hours ,Louisville Slugger Museum & Factory,+1 877-775-8443,2,4.5,"3,766",160
43,"2301 N Central Ave, Phoenix, AZ 85004-1323","The foremost showcase of Native American art and culture in the U.S., the Heard Museum reveals the cultures of tribes in the region through exhibits, demonstrations and live performances and displays the work of contemporary Native American artists. Artists demonstrate their work during the week and musicians perform on most weekends.",1,NA,-112.0722009,33.4724737,NA,Heard Museum,602-252-8848,3,4.5,"1,698",218
44,"420 W 14th St, Floor 2, New York City, NY 10014-1064","Ground Zero Museum Workshop: Images & Artifacts from the Recovery, in the Meatpacking District near Chelsea Market and the High Line Park. A 5-Star Rated Tour. Want to feel what it was like to be with FDNY Firefighters on the front lines after the 9/11 attacks? Want to educate your kids about this tough subject in a gentle and non-threatening way? Experience the Stunning Images of Official Ground Zero Photographer Gary Marlon Suson. ""Rare Photos"" (New York Times) are displayed, some in lifelike 3D installations, as well as artifacts & rare video. Rated in Trip Advisor's ""Top 25 Museums in the USA"" for 2013 and 2014 and in Trip Advisor's ""Hall of Fame."" ",1,NA,-74.00670099999999,40.7412308,1-2 hours ,Ground Zero Museum Workshop,12129241040,19,5.0,"2,588","1,028"
45,"6060 Wilshire Blvd, Los Angeles, CA 90036-3605","The Petersen Automotive Museum is dedicated to the exploration and presentation of the automobile and its impact on American life and culture using Los Angeles as the prime example. Encompassing more than 300,000 square feet, its exhibits and lifelike dioramas feature more than 150 rare and classic cars, trucks and motorcycles. Covering four floors, the facility features permanent exhibits on the first floor that trace the history of the automobile. Visitors are invited to walk through, not by, exhibits and dioramas and experience settings of early Los Angeles where the worlds first shopping district was designed. The second floor presents five rotating galleries with state-of-the-art displays of race cars, classic cars, vintage motorcycles, concept cars, celebrity and movie cars, and auto design and technology. The May Family Discovery Center is located on the third floor. Designed to spark interest in science by way of the automobile, the 6,500 square-foot, interactive ""hands-on"" learning center teaches children basic scientific principles by explaining the fundamental functions of a car. A spectacular all-glass penthouse conference center, Founders Lounge and kitchen, comprise the fourth floor, which is available for special events and functions. The Petersen Automotive Museum Foundation is a nonprofit 501(c)(3) organization, governed by a Board of Directors. ",2,Yes ,-118.3614346,34.0619358,1-2 hours ,Petersen Automotive Museum,+1 323-930-2277,10,4.5,"1,018",502
46,"100 W 26th St, Kansas City, MO 64108-4616","The National World War I Museum and Memorial is America's leading institution dedicated to remembering, interpreting and understanding the Great War and its enduring impact on the global community. The Museum holds the most diverse collection of World War I objects and documents in the world and is the second-oldest public museum dedicated to preserving the objects, history and experiences of the war. The Museum takes visitors of all ages on an epic journey through a transformative period and shares deeply personal stories of courage, honor, patriotism and sacrifice. Designated by Congress as America's official World War I Museum and Memorial and located in downtown Kansas City, Mo., the National World War I Museum and Memorial inspires thought, dialogue and learning to make the experiences of the Great War era meaningful and relevant for present and future generations.",0,NA,-94.5859443,39.0810093,NA,National World War I Museum and Memorial,+1 816-888-8100,1,5.0,"3,163",147
47,"1525 Bernice St, Honolulu, Oahu, HI 96817-2704","Bishop Museum was founded in 1889 by Charles Reed Bishop in honor of his late wife, Princess Bernice Pauahi Bishop, the last descendant of the royal Kamehameha family. The Museum was established to house the extensive collection of Hawaiian artifacts and royal family heirlooms of the Princess, and has expanded to include millions of artifacts, documents and photographs about Hawai'i and other Pacific island cultures. Today, Bishop Museum is the largest museum in the state and the premier natural and cultural history institution in the Pacific, recognized throughout the world for its cultural collections, research projects, consulting services and public educational programs. It also has one of the largest natural history specimen collections in the world. Serving and representing the interests of Native Hawaiians is a primary purpose of the Museum. The Museum also operates the Amy B.H. Greenwell Ethnobotanical Garden on the island of Hawai'i.",8,Yes ,NA,NA,1-2 hours ,Bishop Museum,18088473511,15,4.5,"1,817",311
48,"910 N. Harbor Drive, San Diego, CA 92101-5811","The USS Midway Museum is San Diegos newest visitor attraction, this real naval aircraft carrier offers a once in a lifetime opportunity for everyone. Guests of all ages can enjoy a self-guided audio tour featuring 60 exhibits highlighting this city at sea and 25 restored aircrafts. Explore galleys, officers country and sleeping quarters of a 69,000 ton ship, naturally located in Navy Town USA, a visit to the Midway is uniquely San Diego!",3,Yes ,-117.175658,32.7137622,More than 3 hours ,USS Midway Museum,619-544-9600,1,4.5,"15,105",408
49,"701 N 15th St, Saint Louis, MO 63103-1925","Don't take the name so literally. We're about fun. Not your white walls, walk around, and be quiet museum. If you want to climb around, get active with your kids or are a big kid at heart, we're the place. If you get freaked out easily, you might not want to come. We're four floors filled with miles of tunnels, a full cave system, over 30 slides, a circus, an arts area, a large outdoor climbing space, Architectural Museum, a Cabin that serves adult beverages, a Museum of Mayhem, Mirth and Mystery, and a ton more. Also, there's the roof with a Ferris Wheel and a bus hanging off its edge.",0,NA,-90.2004238,38.6335758,NA,City Museum,+1 314-231-2489,4,4.5,"4,331",242
50,"34th Avenue & Clement Street, Lincoln Park, San Francisco, CA 94121",An outstanding collection of European art in a gorgeous hilltop museum setting.,4,NA,-122.497668,37.7813454,NA,Legion of Honor,415.750.3600,16,4.5,"1,431",522
51,"13th Avenue between Broadway and Bannock Streets, Denver, CO 80204","Known for its wide range of Native American art, this museum also contains the only major Asian art collection in the Rocky Mountains.",0,NA,-104.9902678,39.7313797,NA,Denver Art Museum,720-865-5000,5,4.5,"2,084",231
52,"11150 East Blvd, Cleveland, OH 44106-1797","The Cleveland Museum of Art was founded in 1913 ""for the benefit of all the people forever."" ",0,NA,-81.6119252,41.5090158,NA,Cleveland Museum of Art,+1 216-421-7340,1,5.0,"2,076",165
53,"3000 N Meridian St, Indianapolis, IN 46208-4716","The largest children's museum in the world urges children to dig in and touch everything as they explore the physical and natural sciences, history, world cultures and the arts through exciting interactive exhibits on five floors. There's also a theater with children's plays and live entertainment.",4,NA,-86.1579106,39.8107901,NA,Children's Museum of Indianapolis,+1 317-334-4000,1,4.5,"2,694",157
54,"20900 Oakwood Blvd, Dearborn, MI 48124-5029","Trace the history of the auto and our fascination with it along with other American inventions through the staggering collection of Henry Fords estate, which includes such memorabilia as the chair Abraham Lincoln sat in when he was assassinated and the limo in which John F. Kennedy was shot.",0,NA,-83.2333161,42.3002415,NA,The Henry Ford,+1 313-982-6001,1,5.0,"2,884",20
55,"50 Hagiwara Tea Garden Dr, Golden Gate Park, San Francisco, CA 94118-4502","The de Young, designed by Herzog & de Meuron and located in Golden Gate Park, is the nations fifth most visited art museum. It showcases American art from the seventeenth through the twenty-first centuries, international textile arts and costumes, and art from the Americas, the Pacific, and Africa.",4,NA,-122.4686651,37.7714658,NA,de Young Museum,415.750.3600,26,4.5,"1,417",522
56,"4801 E Fowler Ave, Tampa, FL 33617-2099","Explore a World of Possibilities at Tampas Museum of Science & Industry with more than 450 hands-on activities, plus Floridas only IMAX DOME Theatre, five-stories-tall and offering a higher resolution than any other theater in Tampa; It is more than a movie, it is an experience. Brave extreme weather conditions inside Disasterville, featuring Bay News 9 WeatherQuest, and explore the stages of life in The Amazing You exhibition. Gaze into the starry night sky in MOSIs Saunders Planetarium, and dont miss exploring the outdoors in the BioWorks Butterfly Garden and MOSI Backwoods. Kids get to run the show at MOSIs Kids In Charge!, the largest childrens science center in nation, while kids of all ages get a rush from MOSIs Sky Trail Ropes Course and Zip Line.",2,NA,-82.4039417,28.0535966,NA,Museum of Science and Industry,813-987-6000,29,3.5,991,186
57,"1660 Park Ave, San Jose, CA 95126-2126","Architecturally inspired by the Temple of Amon at Karnak, it houses the largest collection of Egyptian artifacts on exhibit in western North America, including objects from pre dynastic times through Egypt's early Islamic era.",0,NA,-121.9225245,37.3327179,NA,Rosicrucian Egyptian Museum,408-947-3635,2,4.5,516,125
58,"Science Park, Boston, MA 02114","Spend a couple of hours or the whole day at this hands-on museum that has something exciting for everyone. Touch a lizard, watch chickens hatching, see lightning being created and enjoy hundreds of other exhibits, where you can't help but learn something new about science and technology. Hold onto the edge of your seat at the IMAX movie theater, which costs extra.",2,Yes ,-71.0646337,42.3652917,2-3 hours ,Museum of Science,617 723 2500,21,4.5,"2,328",371
59,"Constitution Ave NW, Between 12th and 14th Street, Washington DC, DC 20001","One of the Smithsonian museums along the Mall, this one has more than 3 million artifacts in its collectionfrom gowns to locomotivesthat reflect and preserve a record of Americas past.",8,No ,-76.9855034,38.8947822,2-3 hours ,National Museum of American History,202-633-1000,32,4.5,"3,161",398
60,"4525 Oak St, Kansas City, MO 64111-1818",NA,0,NA,-94.5806233,39.0445698,NA,Nelson-Atkins Museum of Art,816 751 1278,2,5.0,"1,984",147
61,"1700 NE 63rd St, Oklahoma City, OK 73111-7906",NA,0,NA,-97.48334899999999,35.535713,NA,National Cowboy & Western Heritage Museum,405-478-2250,2,4.5,"1,278",118
62,"3235 W 76 Country Blvd, Branson, MO 65616-3551","You've seen the movie and understand that it took 3 years to build the Titanic and only 2 hours and 40 minutes to lose Her forever. But, did you know there were 16 millionaires on board? Did you know that Titanic's maiden voyage was Captain Smith's last trip before retirement? Did you know that famous American silent film actress Dorothy Gibson was onboard?",5,NA,-93.2800426,36.6383418,NA,Titanic Museum,+1 800-381-7670,6,4.5,"3,899",168
