,Address,Description,FeatureCount,Fee,Langtitude,Latitude,LengthOfVisit,MuseumName,PhoneNum,Rank,Rating,ReviewCount,TotalThingsToDo,Country,State,RankPercentage,Ancient Ruins,Architectural Buildings,Arenas & Stadiums,Art Galleries,Art Museums,Auto Race Tracks,Ballets,Battlefields,Biking Trails,Bodies of Water,Bridges,Castles,Cemeteries,Children's Museums,City Tours,Classes & Workshops,Coffeehouses,Concerts & Shows,Cultural Tours,Educational sites,Factory Tours,Flea & Street Markets,Food & Drink,Fun & Games,Gardens,Geologic Formations,Gift & Specialty Shops,Government Buildings,Historic Sites,Historic Walking Areas,Historical & Heritage Tours,History Museums,Islands,Lessons & Workshops,Libraries,Lighthouses,"Literary, Art & Music Tours",Lookouts,Military Bases & Facilities,Military Museums,Mines,Monuments & Statues,Movie Theaters,Museums,National Parks,Natural History Museums,Nature & Parks,Nature & Wildlife Areas,Neighborhoods,Night Tours,Nightlife,Observation Decks & Towers,Observatories & Planetariums,Other Fun & Games,Other Outdoor Activities,Outdoor Activities,Piers & Boardwalks,Playgrounds,Points of Interest & Landmarks,Private Tours,Sacred & Religious Sites,Scenic Railroads,Scenic Walking Areas,Science Museums,Self-Guided Tours & Rentals,Ships,Shopping,Sights & Landmarks,Specialty Museums,Sports Complexes,State Parks,Theaters,Tours,Tramways,Transportation,Traveler Resources,Valleys,Visitor Centers,Volcanos,Walking Tours,Wineries & Vineyards,Zipline & Aerial Adventure Parks,Zoos & Aquariums,on display,gift shop,rainy day,couple of hours,all ages,special exhibits,few hours,two hours,exhibits,well worth a visit,permanent collection,worth a visit,free admission,audio guide,beautiful building,great collection,information,interesting exhibits,entrance fee,great for kids,interactive exhibits,hands on activities,great exhibits,great place to visit,interactive displays,guided tour,well worth the visit,whole family,kids and adults,traveling exhibits,his life,local history,amazing collection,free entry,worth the trip,great history,civil war,take your time,nice collection,interesting place,great museum,for sale,art lovers,artifacts,van gogh,audio tour,history,galleries,works of art,natural history,self guided tour,private collection,own pace,sculpture garden,moving experience,three hours,lots of history,modern art,history buff,admission,small museum,step back in time,worth a stop,short film,stuffed animals,walk around,entry fee,great displays,world war,scavenger hunt,across the street,museums,top floor,a lot of fun,history lesson,large collection,eye opening,american history,interesting artifacts,early days,rotating exhibits,extensive collection,three floors,we spent hours,displays,changing exhibits,second floor,collection,old masters,great place to learn,learn something,special exhibitions,suggested donation,old west,chronological order,enjoyed our visit,take pictures,third floor,the lower level,life size,Families_Count,Couples_Count,Solo_Count,Business_Count,Friends_Count,PreciseRating,quote_pol_var,quote_pol_mean,quote_pol_max,quote_pol_min,quote_sub_var,quote_sub_mean,quote_sub_max,quote_sub_min,review_pol_var,review_pol_mean,review_pol_max,review_pol_min,review_sub_var,review_sub_mean,review_sub_max,review_sub_min,descri_pol,descri_sub
386,"400 College Ave, Lancaster, PA 17603-3393","Since 1953, the North Museum of Nature and Science has been Lancasters place to discover science, nature, and culturesfrom a turtles webbed feet to the dirty chunks of ice that form a comet. For generations of visitors, a trip to the North has sparked their curiosity, leading to a journey of lifelong learning.",0.0,,-76.3201486,40.0435536,,North Museum of Nature and Science,+1 717-291-3941,30.0,4.0,58.0,65.0,USA,CA,46.1538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,30.0,7.0,1.0,0.0,4.0,4.24137931034,0.124244180664,0.27478125,0.9,-0.25,0.0882567777778,0.604888888889,1.0,0.0,0.0217561083315,0.334024012804,0.6,0.121428571429,0.00949810121834,0.518350243231,0.65,0.325274725275,-0.35,0.7
387,"1250 Bannock St, Denver, CO 80204-3631","The canvas was his ally. The paint and the trowel were his weapons. And the Art World was his enemy. Discover an American Master at the Clyfford Still Museum, home to the world's most intact public collection of a major American artist. From October 14, 2016 to January 15, 2017, the Clyfford Still Museum will display more than 260 of Clyfford Still's works on paper in the Museum's largest exhibition to date. With very few exceptions, paintings will not be on view in the Museum during this time.",0.0,,-104.9898273,39.7362853,,Clyfford Still Museum,17203544880,26.0,4.5,271.0,231.0,USA,GA,11.2554112554,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,70.0,42.0,20.0,56.0,4.53461538462,0.152525,0.34,1.0,0.0,0.1865,0.55,1.0,0.0,0.0249862433017,0.354044011544,0.595833333333,0.075,0.0220893349075,0.587586580087,0.830357142857,0.283333333333,0.114642857143,0.242380952381
388,"200 Lexington Rd, Route 2A, Concord, MA 01742-3711",,0.0,,-71.342264,42.457713,,Concord Museum,978 369 9763,6.0,4.5,159.0,30.0,USA,OK,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,48.0,14.0,2.0,23.0,4.43137254902,0.02875,0.1,0.5,0.0,0.043125,0.125,0.5,0.0,0.00930851892743,0.307301751279,0.5,0.15,0.0127502731454,0.507850255805,0.7,0.288095238095,,
389,"121 Barnard St, Savannah, GA 31401-3612","Designed by British architectural prodigy William Jay in the neoclassical Regency style, the Telfair Academy is a former mansion built in 1819 for Alexander Telfair, son of Revolutionary War patriot and Georgia governor Edward Telfair.In 1875, Alexanders sister Mary  heir to the family fortune and last to bear the Telfair name  bequeathed the house and its furnishings to the Georgia Historical Society to be opened as a museum. After significant renovation by German-born architect Detlef Lienau, whose adaptations included the addition of the Sculpture Gallery and the Rotunda, the building opened to the public in 1886 as the Telfair Academy of Arts and Sciences.",1.0,Yes ,-81.0953088,32.0789345,1-2 hours ,Telfair Museums Telfair Academy,912 790 8800,35.0,4.0,381.0,202.0,USA,PA,17.3267326733,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.0,167.0,20.0,4.0,53.0,4.10106382979,0.121976318027,0.333452380952,1.0,0.0,0.123662712585,0.470595238095,1.0,0.0,0.0234127625706,0.400330543531,0.603571428571,-0.15,0.0266612367184,0.552942219817,0.8,0.35,0.0625,0.168055555556
390,"21 Edwards St, Springfield, MA 01103-1548","The Springfield Museums, located in the heart of downtown Springfield, Massachusetts, is comprised of four world-class museums covering art, history, and science, plus the Dr. Seuss National Memorial Sculpture Garden.",0.0,,-72.5863412,42.103713,More than 3 hours ,Springfield Museums,+1 413-263-6800,2.0,4.5,291.0,40.0,USA,FL,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94.0,48.0,22.0,4.0,32.0,4.44405594406,0.144284607438,0.289772727273,1.0,-0.15,0.149214876033,0.368181818182,1.0,0.0,0.0267937207058,0.32167887957,0.72,0.0848958333333,0.0192498063636,0.494869010876,0.7,0.233333333333,0.0,0.0
391,"100 W 11th St, Roswell, NM 88201-4910","Founded in 1937, the Roswell Museum and Art Center is home to an extensive collection of southwestern art, the equipment and workshop of pioneering rocketeer Robert H. Goddard, and the Rogers Aston Collection of the American West, which encompasses historical southwestern artifacts spanning from the sixteenth through the twentieth centuries.",0.0,,-104.5278856,33.4043631,1-2 hours ,Roswell Museum & Art Center,+1 575-624-6744,3.0,4.5,213.0,24.0,USA,TN,12.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,79.0,16.0,6.0,19.0,4.50724637681,0.107626717969,0.389807162534,1.0,-0.166666666667,0.0964839738482,0.613650137741,1.0,0.2,0.0210582805991,0.324070575889,0.65625,0.09375,0.0340215107361,0.533046700774,0.76,0.025,-0.025,0.108333333333
392,"67 Grove St, Sandwich, MA 02563-2110 (Formerly Heritage Plantation)",You can enjoy more than 70 acres of gardens after visiting the art and history museums at the Heritage.,0.0,,-70.5075672,41.7494461,,Heritage Museums & Gardens,508 888 3300,1.0,4.5,609.0,37.0,USA,MD,2.7027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.0,222.0,21.0,0.0,92.0,4.65217391304,0.116046188517,0.274391534392,0.8,-0.228571428571,0.0980992455418,0.353624338624,1.0,0.0,0.0238722386756,0.357331977787,0.642857142857,0.126308539945,0.00650946244338,0.553978900355,0.683333333333,0.402341597796,0.45,0.5
393,"600 N Carson St, Carson City, NV 89701-4004","This museum focuses on the rich natural and cultural heritage of the ""Silver State."" Visit to learn about local wildlife, see the bones of pre-historic creatures found in the area and the Ichthyosaur Shonisaurus popularis, Nevada's state fossil.",0.0,,-119.767407,39.167732,,Nevada State Museum,(775) 687-4810,1.0,4.5,253.0,42.0,USA,NM,2.38095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,61.0,93.0,24.0,3.0,31.0,4.54980079681,0.23298553719,0.484090909091,1.0,-0.6,0.110454545455,0.6,1.0,0.0,0.0495934002742,0.311193181818,0.68,0.0,0.0534253646237,0.450296717172,0.7,0.0,0.14375,0.3125
394,"Battery Park and Liberty Island, New York City, NY 10017",,2.0,,-74.0167676,40.7034555,,Ellis Island Immigration Museum,212-883-1986,54.0,4.5,1830.0,1028.0,USA,OK,5.25291828794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240.0,312.0,50.0,9.0,143.0,4.38356164384,0.0620790809328,0.201296296296,0.7,0.0,0.14498648834,0.348703703704,1.0,0.0,0.0271144023267,0.215034845205,0.5125,-0.159375,0.0214264960711,0.478976780795,0.7,0.2375,,
395,"600 Main St, Hartford, CT 06103-2911","The first public art museum in the United States features 50,000 pieces ranging from ancient to contemporary, the largest collection of Hudson River School paintings in the world, an impressive array of Pilgrim-era furnishings and European and American art.",0.0,,-72.6731884,41.7634891,,Wadsworth Atheneum Museum of Art,860-278-2670,2.0,4.5,337.0,58.0,USA,MN,3.44827586207,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,49.0,84.0,33.0,19.0,48.0,4.66666666667,0.13069214876,0.626515151515,1.0,0.0,0.148636363636,0.75,1.0,0.0,0.0180794005073,0.342156381555,0.508333333333,0.05,0.017865887979,0.57101584022,0.75,0.244444444444,0.236111111111,0.261111111111
396,"2000 Reverend Abraham Woods Jr Blvd, Birmingham, AL 35203-2278","This three-story museum houses an eclectic selection of art, including Wedgewood pottery, the largest collection of Asian art in the Southeast, Native American and African art, impressionism, contemporary art and American landscapes.",0.0,,-86.8100693,33.5222197,,Birmingham Museum of Art,205 254 2565,4.0,4.5,342.0,85.0,USA,FL,4.70588235294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0,78.0,34.0,25.0,37.0,4.61424332344,0.150041322314,0.463636363636,1.0,0.0,0.14616620753,0.671212121212,1.0,0.0,0.0285118065198,0.359227955967,0.680208333333,0.147883597884,0.0387051170892,0.551472954655,0.82,0.293915343915,0.0333333333333,0.0333333333333
397,"8441 International Dr, Suite 250, Orlando, FL 32819-9314","Skeletons: Animals Unveiled is a first-of-its-kind attraction that is located under the Orlando Eye in Orlando, Florida. Skeletons features over 500 skeletons of animals found all over the world.",0.0,,-81.4691025,28.4425971,1-2 hours ,SKELETONS: Animals Unveiled,+1 407-203-6999,31.0,4.5,396.0,412.0,USA,TX,7.52427184466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.0,98.0,15.0,7.0,47.0,4.68587896254,0.0893871061467,0.203693181818,0.8,-0.166666666667,0.0755437901745,0.444318181818,0.75,0.0,0.052827451368,0.316159767316,0.633333333333,-0.333333333333,0.0182814331725,0.553184238649,0.759722222222,0.243181818182,0.0,0.0
398,"1900 N Chaparral St, Corpus Christi, TX 78401-1114","Popular with families, the museum focuses on the history and culture of South Texas with something for everyone, including relics from a 1554 shipwreck, recreations of two of the three ships used for Columbus's voyage to the New World, an interactive weather station, a children's section with marine activities and numerous artifacts.",0.0,,-97.3953071,27.810128,,Corpus Christi Museum of Science and History,361-826-4667 ,9.0,4.0,190.0,70.0,USA,WA,12.8571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.0,42.0,4.0,6.0,17.0,4.18947368421,0.0882128099174,0.434090909091,0.9,0.0,0.0975160697888,0.45303030303,1.0,0.0,0.00857670398139,0.167335694608,0.318138528139,0.05625,0.021529427892,0.487779836606,0.712698412698,0.242857142857,0.245454545455,0.618181818182
399,"56.5 Chena Hot Springs Road, Chena Hot Springs Resort, Fairbanks, AK 99711",,0.0,,-147.72,64.84,,The Aurora Ice Museum,907-451-8104,7.0,4.0,599.0,92.0,USA,FL,7.60869565217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,132.0,204.0,35.0,7.0,106.0,4.16201117318,0.0679829114618,0.241688034188,0.91,-0.175,0.108900712251,0.584444444444,1.0,0.0,0.0538760076464,0.315094415133,0.666666666667,-0.208333333333,0.0204880624426,0.639368686869,0.833333333333,0.417777777778,,
400,"75 Main St, Bennington, VT 05201-2885","Celebrating Vermont art, culture, and history with the largest collection of Grandma Moses paintings and 19th-century Bennington Pottery, Battle of Bennington memorabilia and weaponry, and more. New in 2013 - Gilded Age Vermont Gallery highlights the industrial and cultural innovation of the late 1800s to the 1920s through objects that were made or owned in Bennington and the surrounding region, or created by artists with connections to the area. The items on view, all from the Bennington Museum's collection,include the 1924 Wasp Touring Car, elaborate Renaissance Revival furnishings, a stylish parlor organ manufactured by the Estey Organ Company of Brattleboro, Vermont, Frederick MacMonnies' sumptuous portrait of May Suydam Palmer, and paintings by William Morris Hunt. Glass and metal works by Lewis Comfort Tiffany add to the gallery. The art found in the new Bennington Modernism Gallery celebrates the art created from the early 1950s through the mid-1970s, a group of avant-garde artists working in and around Bennington who led the nation in artistic thought and innovation. Among the artists of national and international stature with local ties were Pat Adams, Willard Boepple, Anthony Caro, Paul Feeley, Helen Frankenthaler, Patricia Johanson, Vincent Longo, Kenneth Noland, Jules Olitski, Dan Shapiro, David Smith and Tony Smith. Changing exhibits all year.",0.0,,-73.2099937,42.8831606,,Bennington Museum,802-447-1571,3.0,4.5,199.0,23.0,USA,IL,13.0434782609,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,111.0,15.0,1.0,25.0,4.46428571429,0.0579049586777,0.291363636364,0.8,0.0,0.074097107438,0.342272727273,0.75,0.0,0.0226678496486,0.342984618414,0.6375,0.0625,0.0142982289071,0.589017540566,0.788333333333,0.3875,0.182369146006,0.49173553719
401,"7125 Maddox Blvd, Chincoteague Island, VA 23336-2104","Located at the entrance of Chincoteague National Wildlife Refuge, this museum chronicles the island's history and of the oystering and seafood business that was a major force in shaping the island's economy.",0.0,,-75.352668,37.922997,,Museum of Chincoteague,+1 757-336-6117,3.0,4.5,329.0,29.0,USA,LA,10.3448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,146.0,88.0,18.0,2.0,44.0,4.65243902439,0.126745867769,0.361363636364,0.975,-0.2,0.144917355372,0.409090909091,1.0,0.0,0.0356055304465,0.339343434343,0.75,0.0854166666667,0.0155710887282,0.572196969697,0.834444444444,0.4,0.0625,0.5
402,"100 Ivan Allen Jr Blvd NW, Atlanta, GA 30308-3003","The Center for Civil and Human Rights in downtown Atlanta is an engaging cultural attraction that connects The American Civil Rights Movement to today's Global Human Rights Movements. The Center features four immersive and thought-provoking exhibit spaces, including a continually rotating gallery of items from The Morehouse College Martin Luther King, Jr. Collection, where visitors can view the personal papers and items of Dr. King. The Center also provides designated event spaces and educational programs inspiring visitors to join the ongoing dialogue about contemporary movements for human rights around the world. The Center for Civil and Human Rights is open 7 days a week. Regular Hours: Closed Monday, Tuesday - Saturday, 10 AM to 5 PM (Last admittance at 4:00 PM) Sunday, 12 PM to 5 PM(Last admittance at 4:00 p.M.) Closed on Thanksgiving Day and Christmas Day.",2.0,,-84.3930512,33.764055,1-2 hours ,Center for Civil and Human Rights,+1 678-999-8990,5.0,4.5,954.0,268.0,USA,WI,1.86567164179,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.0,215.0,101.0,93.0,191.0,4.76072234763,0.0140236686391,0.0538461538462,0.3,-0.05,0.101094674556,0.192307692308,1.0,0.0,0.0341731511023,0.276146912851,0.625,0.1,0.0290647575175,0.525994359176,0.85,0.2,0.055303030303,0.202738927739
