"Date"	"All"	"Men"	"Women"	"All"	"Men"	"Women"
"1997-01-01"	"9.79"	"10.39"	"9.07"	"15.86"	"16.19"	"15.60"
"1997-02-01"	"9.77"	"10.32"	"9.13"	"15.75"	"16.21"	"15.42"
"1997-03-01"	"9.73"	"10.30"	"9.08"	"15.92"	"16.60"	"15.40"
"1997-04-01"	"9.78"	"10.38"	"9.12"	"16.00"	"16.74"	"15.45"
"1997-05-01"	"9.84"	"10.45"	"9.17"	"16.08"	"16.84"	"15.51"
"1997-06-01"	"10.00"	"10.65"	"9.27"	"16.21"	"16.96"	"15.66"
"1997-07-01"	"10.02"	"10.66"	"9.28"	"16.29"	"17.16"	"15.67"
"1997-08-01"	"10.01"	"10.64"	"9.31"	"16.14"	"17.12"	"15.43"
"1997-09-01"	"9.97"	"10.66"	"9.17"	"16.28"	"17.26"	"15.57"
"1997-10-01"	"10.03"	"10.71"	"9.24"	"16.35"	"17.28"	"15.65"
"1997-11-01"	"10.02"	"10.70"	"9.23"	"16.40"	"17.39"	"15.65"
"1997-12-01"	"10.00"	"10.61"	"9.29"	"16.46"	"17.60"	"15.63"
"1998-01-01"	"10.04"	"10.70"	"9.26"	"16.54"	"17.74"	"15.67"
"1998-02-01"	"10.05"	"10.72"	"9.26"	"16.78"	"18.09"	"15.81"
"1998-03-01"	"10.07"	"10.72"	"9.28"	"16.72"	"18.22"	"15.65"
"1998-04-01"	"10.09"	"10.71"	"9.34"	"16.91"	"18.63"	"15.75"
"1998-05-01"	"10.12"	"10.71"	"9.41"	"17.15"	"18.82"	"16.03"
"1998-06-01"	"10.07"	"10.56"	"9.48"	"17.18"	"18.85"	"16.05"
"1998-07-01"	"10.15"	"10.64"	"9.58"	"17.18"	"18.74"	"16.11"
"1998-08-01"	"10.24"	"10.77"	"9.64"	"17.59"	"19.71"	"16.09"
"1998-09-01"	"10.26"	"10.77"	"9.67"	"17.81"	"20.04"	"16.13"
"1998-10-01"	"10.30"	"10.81"	"9.73"	"17.96"	"20.14"	"16.33"
"1998-11-01"	"10.37"	"10.88"	"9.78"	"18.17"	"20.39"	"16.51"
"1998-12-01"	"10.46"	"11.00"	"9.86"	"18.28"	"20.49"	"16.63"
"1999-01-01"	"10.52"	"11.06"	"9.91"	"18.47"	"20.46"	"17.03"
"1999-02-01"	"10.54"	"11.07"	"9.91"	"18.47"	"20.41"	"17.05"
"1999-03-01"	"10.61"	"11.13"	"9.98"	"18.45"	"20.08"	"17.24"
"1999-04-01"	"10.64"	"11.17"	"10.01"	"18.23"	"19.47"	"17.23"
"1999-05-01"	"10.65"	"11.22"	"9.98"	"18.17"	"19.67"	"17.02"
"1999-06-01"	"10.62"	"11.21"	"9.90"	"18.29"	"19.95"	"17.07"
"1999-07-01"	"10.69"	"11.26"	"9.98"	"18.57"	"20.11"	"17.43"
"1999-08-01"	"10.69"	"11.25"	"10.00"	"18.28"	"19.19"	"17.65"
"1999-09-01"	"10.75"	"11.32"	"10.03"	"18.07"	"18.84"	"17.63"
"1999-10-01"	"10.78"	"11.41"	"9.96"	"18.17"	"19.02"	"17.68"
"1999-11-01"	"10.89"	"11.59"	"10.00"	"18.12"	"18.94"	"17.68"
"1999-12-01"	"10.85"	"11.59"	"9.91"	"18.37"	"19.14"	"17.93"
"2000-01-01"	"10.85"	"11.60"	"9.89"	"18.36"	"19.41"	"17.67"
"2000-02-01"	"10.92"	"11.69"	"9.94"	"18.37"	"19.35"	"17.75"
"2000-03-01"	"11.01"	"11.78"	"10.05"	"18.41"	"19.44"	"17.74"
"2000-04-01"	"11.06"	"11.90"	"10.01"	"18.53"	"19.85"	"17.71"
"2000-05-01"	"11.14"	"11.98"	"10.10"	"18.45"	"19.66"	"17.67"
"2000-06-01"	"11.22"	"12.09"	"10.16"	"18.60"	"19.62"	"17.92"
"2000-07-01"	"11.21"	"12.13"	"10.11"	"18.48"	"19.63"	"17.68"
"2000-08-01"	"11.19"	"12.09"	"10.10"	"18.54"	"19.68"	"17.75"
"2000-09-01"	"11.22"	"12.14"	"10.11"	"18.67"	"19.70"	"17.94"
"2000-10-01"	"11.23"	"12.09"	"10.21"	"18.70"	"19.72"	"17.99"
"2000-11-01"	"11.23"	"12.03"	"10.28"	"18.70"	"19.57"	"18.06"
"2000-12-01"	"11.23"	"12.02"	"10.30"	"18.67"	"19.54"	"18.04"
"2001-01-01"	"11.27"	"12.08"	"10.32"	"18.53"	"19.36"	"17.95"
"2001-02-01"	"11.22"	"12.07"	"10.21"	"18.59"	"19.37"	"18.03"
"2001-03-01"	"11.13"	"11.96"	"10.13"	"18.80"	"19.81"	"18.14"
"2001-04-01"	"11.14"	"11.92"	"10.21"	"18.86"	"19.96"	"18.10"
"2001-05-01"	"11.09"	"11.91"	"10.14"	"19.11"	"20.31"	"18.27"
"2001-06-01"	"11.09"	"11.80"	"10.26"	"18.94"	"20.23"	"18.07"
"2001-07-01"	"11.08"	"11.77"	"10.26"	"19.00"	"20.15"	"18.23"
"2001-08-01"	"11.12"	"11.82"	"10.29"	"18.98"	"20.29"	"18.04"
"2001-09-01"	"11.16"	"11.80"	"10.42"	"19.14"	"20.73"	"18.01"
"2001-10-01"	"11.13"	"11.83"	"10.34"	"19.08"	"20.62"	"17.98"
"2001-11-01"	"11.09"	"11.82"	"10.28"	"19.06"	"20.58"	"17.98"
"2001-12-01"	"11.12"	"11.81"	"10.32"	"18.85"	"20.38"	"17.76"
"2002-01-01"	"11.10"	"11.74"	"10.35"	"19.01"	"20.56"	"17.93"
"2002-02-01"	"11.14"	"11.73"	"10.48"	"19.18"	"20.83"	"18.05"
"2002-03-01"	"11.22"	"11.84"	"10.50"	"18.85"	"20.31"	"17.80"
"2002-04-01"	"11.21"	"11.87"	"10.46"	"18.79"	"19.94"	"17.95"
"2002-05-01"	"11.23"	"11.84"	"10.52"	"18.61"	"19.64"	"17.88"
"2002-06-01"	"11.18"	"11.86"	"10.40"	"18.64"	"19.74"	"17.86"
"2002-07-01"	"11.15"	"11.80"	"10.42"	"18.50"	"19.72"	"17.63"
"2002-08-01"	"11.16"	"11.83"	"10.36"	"18.46"	"19.65"	"17.65"
"2002-09-01"	"11.07"	"11.83"	"10.18"	"18.45"	"19.74"	"17.60"
"2002-10-01"	"11.05"	"11.80"	"10.16"	"18.48"	"19.80"	"17.61"
"2002-11-01"	"11.01"	"11.74"	"10.14"	"18.64"	"20.04"	"17.69"
"2002-12-01"	"10.99"	"11.74"	"10.09"	"18.66"	"20.14"	"17.69"
"2003-01-01"	"11.01"	"11.77"	"10.09"	"18.68"	"20.11"	"17.75"
"2003-02-01"	"10.94"	"11.73"	"9.97"	"18.44"	"19.75"	"17.58"
"2003-03-01"	"10.85"	"11.63"	"9.92"	"18.45"	"19.60"	"17.70"
"2003-04-01"	"10.83"	"11.57"	"9.93"	"18.46"	"19.63"	"17.69"
"2003-05-01"	"10.81"	"11.52"	"9.94"	"18.47"	"19.72"	"17.66"
"2003-06-01"	"10.82"	"11.55"	"9.89"	"18.45"	"19.60"	"17.70"
"2003-07-01"	"10.83"	"11.58"	"9.89"	"18.36"	"19.42"	"17.68"
"2003-08-01"	"10.84"	"11.57"	"9.95"	"18.32"	"19.43"	"17.59"
"2003-09-01"	"10.98"	"11.74"	"10.03"	"18.15"	"19.16"	"17.48"
"2003-10-01"	"10.99"	"11.73"	"10.06"	"18.20"	"19.37"	"17.42"
"2003-11-01"	"11.06"	"11.72"	"10.24"	"18.02"	"19.19"	"17.25"
"2003-12-01"	"11.08"	"11.70"	"10.30"	"17.99"	"18.85"	"17.43"
"2004-01-01"	"11.04"	"11.66"	"10.27"	"17.79"	"18.43"	"17.39"
"2004-02-01"	"11.12"	"11.69"	"10.40"	"17.87"	"18.67"	"17.35"
"2004-03-01"	"11.16"	"11.74"	"10.45"	"17.95"	"18.84"	"17.38"
"2004-04-01"	"11.16"	"11.68"	"10.49"	"18.18"	"18.94"	"17.68"
"2004-05-01"	"11.29"	"11.94"	"10.44"	"18.27"	"18.96"	"17.80"
"2004-06-01"	"11.31"	"11.95"	"10.47"	"18.13"	"18.96"	"17.57"
"2004-07-01"	"11.25"	"11.94"	"10.36"	"18.34"	"19.09"	"17.82"
"2004-08-01"	"11.21"	"11.89"	"10.34"	"18.31"	"18.99"	"17.86"
"2004-09-01"	"11.09"	"11.69"	"10.31"	"18.36"	"19.17"	"17.78"
"2004-10-01"	"11.03"	"11.58"	"10.29"	"18.32"	"18.87"	"17.92"
"2004-11-01"	"10.95"	"11.54"	"10.18"	"18.27"	"19.00"	"17.74"
"2004-12-01"	"11.06"	"11.86"	"10.10"	"18.26"	"19.12"	"17.61"
"2005-01-01"	"11.02"	"11.81"	"10.06"	"18.39"	"19.47"	"17.58"
"2005-02-01"	"10.99"	"11.80"	"10.00"	"18.25"	"19.12"	"17.58"
"2005-03-01"	"10.90"	"11.73"	"9.91"	"18.14"	"19.10"	"17.41"
"2005-04-01"	"10.84"	"11.70"	"9.81"	"17.96"	"19.19"	"17.04"
"2005-05-01"	"10.73"	"11.49"	"9.83"	"18.01"	"19.57"	"16.82"
"2005-06-01"	"10.75"	"11.55"	"9.81"	"18.15"	"19.77"	"16.93"
"2005-07-01"	"10.81"	"11.62"	"9.88"	"18.06"	"19.88"	"16.72"
"2005-08-01"	"10.82"	"11.65"	"9.83"	"18.19"	"20.11"	"16.76"
"2005-09-01"	"10.83"	"11.67"	"9.82"	"18.06"	"19.71"	"16.86"
"2005-10-01"	"10.95"	"11.92"	"9.80"	"17.97"	"19.64"	"16.76"
"2005-11-01"	"10.92"	"11.93"	"9.74"	"18.04"	"19.48"	"17.00"
"2005-12-01"	"10.76"	"11.60"	"9.74"	"17.95"	"19.37"	"16.93"
"2006-01-01"	"10.84"	"11.67"	"9.83"	"17.82"	"19.25"	"16.78"
"2006-02-01"	"10.81"	"11.66"	"9.75"	"18.10"	"19.53"	"17.07"
"2006-03-01"	"10.87"	"11.74"	"9.76"	"18.17"	"19.63"	"17.14"
"2006-04-01"	"10.92"	"11.79"	"9.79"	"18.13"	"19.38"	"17.25"
"2006-05-01"	"10.89"	"11.78"	"9.76"	"17.95"	"18.81"	"17.37"
"2006-06-01"	"10.86"	"11.79"	"9.71"	"17.85"	"18.69"	"17.27"
"2006-07-01"	"10.83"	"11.70"	"9.74"	"18.03"	"18.77"	"17.52"
"2006-08-01"	"10.79"	"11.67"	"9.68"	"17.81"	"18.37"	"17.42"
"2006-09-01"	"10.83"	"11.71"	"9.72"	"17.87"	"18.47"	"17.45"
"2006-10-01"	"10.73"	"11.53"	"9.70"	"17.98"	"18.69"	"17.48"
"2006-11-01"	"10.75"	"11.57"	"9.68"	"18.01"	"18.86"	"17.41"
"2006-12-01"	"10.79"	"11.60"	"9.72"	"18.08"	"19.05"	"17.40"
"2007-01-01"	"10.77"	"11.62"	"9.66"	"18.16"	"19.21"	"17.41"
"2007-02-01"	"10.84"	"11.67"	"9.75"	"18.30"	"19.60"	"17.37"
"2007-03-01"	"10.93"	"11.69"	"9.95"	"18.31"	"19.61"	"17.33"
"2007-04-01"	"11.02"	"11.74"	"10.09"	"18.37"	"19.94"	"17.25"
"2007-05-01"	"11.06"	"11.77"	"10.13"	"18.39"	"20.00"	"17.23"
"2007-06-01"	"11.03"	"11.70"	"10.11"	"18.44"	"20.19"	"17.19"
"2007-07-01"	"11.01"	"11.71"	"10.06"	"18.26"	"20.29"	"16.82"
"2007-08-01"	"11.05"	"11.74"	"10.10"	"18.48"	"20.56"	"17.00"
"2007-09-01"	"11.01"	"11.74"	"10.03"	"18.64"	"20.64"	"17.22"
"2007-10-01"	"11.08"	"11.85"	"10.05"	"18.59"	"20.74"	"17.10"
"2007-11-01"	"11.05"	"11.79"	"10.06"	"18.60"	"20.60"	"17.20"
"2007-12-01"	"11.14"	"11.99"	"10.05"	"18.56"	"20.34"	"17.33"
"2008-01-01"	"11.12"	"12.00"	"10.02"	"18.46"	"19.92"	"17.46"
"2008-02-01"	"11.06"	"11.91"	"9.98"	"18.16"	"19.35"	"17.36"
"2008-03-01"	"10.94"	"11.79"	"9.84"	"18.27"	"19.43"	"17.52"
"2008-04-01"	"10.89"	"11.73"	"9.80"	"18.27"	"19.34"	"17.51"
"2008-05-01"	"10.86"	"11.74"	"9.73"	"18.28"	"19.26"	"17.58"
"2008-06-01"	"10.83"	"11.69"	"9.78"	"18.34"	"19.05"	"17.83"
"2008-07-01"	"10.78"	"11.61"	"9.74"	"18.26"	"18.80"	"17.84"
"2008-08-01"	"10.76"	"11.58"	"9.74"	"18.25"	"19.02"	"17.72"
"2008-09-01"	"10.70"	"11.50"	"9.70"	"18.07"	"18.94"	"17.47"
"2008-10-01"	"10.67"	"11.43"	"9.73"	"18.05"	"18.64"	"17.63"
"2008-11-01"	"10.86"	"11.67"	"9.80"	"18.02"	"18.66"	"17.55"
"2008-12-01"	"10.76"	"11.46"	"9.79"	"18.17"	"18.86"	"17.66"
"2009-01-01"	"10.74"	"11.39"	"9.84"	"18.29"	"19.15"	"17.65"
"2009-02-01"	"10.73"	"11.38"	"9.82"	"18.24"	"19.26"	"17.51"
"2009-03-01"	"10.74"	"11.43"	"9.79"	"18.16"	"19.14"	"17.48"
"2009-04-01"	"10.69"	"11.44"	"9.68"	"18.16"	"19.19"	"17.49"
"2009-05-01"	"10.71"	"11.51"	"9.68"	"18.18"	"19.44"	"17.34"
"2009-06-01"	"10.70"	"11.47"	"9.68"	"18.29"	"19.69"	"17.32"
"2009-07-01"	"10.75"	"11.53"	"9.72"	"18.65"	"20.35"	"17.54"
"2009-08-01"	"10.80"	"11.49"	"9.89"	"18.59"	"20.19"	"17.52"
"2009-09-01"	"10.79"	"11.48"	"9.88"	"18.63"	"20.03"	"17.72"
"2009-10-01"	"10.67"	"11.31"	"9.82"	"18.45"	"19.86"	"17.52"
"2009-11-01"	"10.47"	"11.04"	"9.72"	"18.78"	"20.90"	"17.40"
"2009-12-01"	"10.46"	"11.09"	"9.66"	"18.60"	"20.85"	"17.13"
"2010-01-01"	"10.45"	"11.12"	"9.58"	"18.56"	"20.91"	"17.05"
"2010-02-01"	"10.46"	"11.08"	"9.65"	"18.51"	"20.91"	"16.94"
"2010-03-01"	"10.40"	"11.05"	"9.58"	"18.59"	"21.20"	"16.85"
"2010-04-01"	"10.36"	"11.00"	"9.51"	"18.73"	"21.43"	"16.84"
"2010-05-01"	"10.32"	"10.90"	"9.53"	"18.47"	"21.12"	"16.64"
"2010-06-01"	"10.38"	"10.97"	"9.55"	"18.22"	"20.66"	"16.57"
"2010-07-01"	"10.38"	"10.99"	"9.53"	"17.84"	"19.73"	"16.50"
"2010-08-01"	"10.27"	"10.93"	"9.38"	"17.89"	"19.69"	"16.61"
"2010-09-01"	"10.34"	"10.95"	"9.51"	"17.80"	"19.94"	"16.25"
"2010-10-01"	"10.41"	"11.01"	"9.58"	"17.99"	"20.19"	"16.39"
"2010-11-01"	"10.42"	"11.03"	"9.60"	"17.60"	"19.12"	"16.45"
"2010-12-01"	"10.41"	"10.98"	"9.65"	"17.58"	"19.07"	"16.47"
"2011-01-01"	"10.50"	"11.08"	"9.72"	"17.45"	"18.80"	"16.42"
"2011-02-01"	"10.46"	"11.10"	"9.62"	"17.53"	"18.90"	"16.48"
"2011-03-01"	"10.47"	"11.06"	"9.69"	"17.67"	"19.20"	"16.44"
"2011-04-01"	"10.35"	"10.90"	"9.65"	"17.40"	"18.71"	"16.39"
"2011-05-01"	"10.34"	"10.87"	"9.63"	"17.56"	"18.80"	"16.59"
"2011-06-01"	"10.28"	"10.78"	"9.61"	"17.53"	"18.86"	"16.50"
"2011-07-01"	"10.21"	"10.71"	"9.54"	"17.69"	"19.11"	"16.64"
"2011-08-01"	"10.22"	"10.70"	"9.57"	"17.70"	"19.20"	"16.56"
"2011-09-01"	"10.13"	"10.61"	"9.49"	"17.69"	"18.99"	"16.71"
"2011-10-01"	"10.10"	"10.61"	"9.41"	"17.55"	"18.91"	"16.54"
"2011-11-01"	"10.04"	"10.55"	"9.31"	"17.56"	"19.04"	"16.43"
"2011-12-01"	"9.99"	"10.56"	"9.22"	"17.68"	"19.20"	"16.54"
"2012-01-01"	"9.84"	"10.35"	"9.15"	"17.57"	"19.11"	"16.37"
"2012-02-01"	"9.82"	"10.34"	"9.08"	"17.35"	"18.74"	"16.25"
"2012-03-01"	"9.85"	"10.37"	"9.10"	"16.86"	"17.85"	"16.13"
"2012-04-01"	"9.96"	"10.52"	"9.17"	"16.84"	"17.98"	"16.00"
"2012-05-01"	"9.90"	"10.44"	"9.17"	"16.85"	"18.01"	"15.99"
"2012-06-01"	"9.89"	"10.44"	"9.16"	"16.91"	"18.08"	"16.02"
"2012-07-01"	"9.88"	"10.40"	"9.18"	"16.90"	"18.41"	"15.78"
"2012-08-01"	"9.94"	"10.51"	"9.17"	"16.79"	"18.26"	"15.71"
"2012-09-01"	"9.90"	"10.50"	"9.07"	"16.85"	"18.30"	"15.77"
"2012-10-01"	"9.89"	"10.50"	"9.04"	"16.84"	"18.35"	"15.75"
"2012-11-01"	"9.85"	"10.46"	"9.03"	"16.96"	"18.39"	"15.93"
"2012-12-01"	"9.81"	"10.41"	"9.01"	"17.07"	"18.44"	"16.08"
"2013-01-01"	"9.82"	"10.47"	"8.96"	"17.21"	"18.55"	"16.25"
"2013-02-01"	"9.84"	"10.46"	"9.04"	"17.31"	"18.67"	"16.34"
"2013-03-01"	"9.80"	"10.37"	"9.06"	"17.46"	"18.93"	"16.41"
"2013-04-01"	"9.85"	"10.35"	"9.20"	"17.41"	"18.85"	"16.31"
"2013-05-01"	"9.87"	"10.36"	"9.23"	"17.44"	"18.99"	"16.24"
"2013-06-01"	"9.82"	"10.33"	"9.17"	"17.39"	"18.91"	"16.21"
"2013-07-01"	"9.84"	"10.36"	"9.18"	"17.24"	"18.52"	"16.21"
"2013-08-01"	"9.78"	"10.31"	"9.14"	"17.40"	"18.87"	"16.20"
"2013-09-01"	"9.81"	"10.33"	"9.19"	"17.38"	"19.07"	"16.06"
"2013-10-01"	"9.83"	"10.34"	"9.19"	"17.50"	"19.30"	"16.05"
"2013-11-01"	"9.98"	"10.55"	"9.23"	"17.47"	"19.27"	"16.03"
"2013-12-01"	"10.03"	"10.56"	"9.30"	"17.27"	"19.21"	"15.74"
"2014-01-01"	"10.00"	"10.52"	"9.29"	"17.27"	"19.45"	"15.57"
"2014-02-01"	"9.99"	"10.54"	"9.24"	"17.24"	"19.44"	"15.53"
"2014-03-01"	"10.00"	"10.59"	"9.20"	"17.23"	"19.46"	"15.46"
"2014-04-01"	"9.99"	"10.71"	"9.01"	"17.40"	"19.60"	"15.71"
"2014-05-01"	"9.99"	"10.75"	"8.95"	"17.36"	"19.48"	"15.73"
"2014-06-01"	"10.07"	"10.78"	"9.09"	"17.45"	"19.81"	"15.67"
"2014-07-01"	"10.06"	"10.76"	"9.09"	"17.62"	"20.23"	"15.64"
"2014-08-01"	"10.09"	"10.79"	"9.11"	"17.58"	"20.16"	"15.61"
"2014-09-01"	"10.14"	"10.85"	"9.14"	"17.58"	"19.98"	"15.69"
"2014-10-01"	"10.16"	"10.89"	"9.16"	"17.56"	"19.74"	"15.82"
"2014-11-01"	"10.13"	"10.78"	"9.24"	"17.64"	"19.98"	"15.79"
"2014-12-01"	"10.17"	"10.87"	"9.19"	"17.81"	"20.08"	"16.00"
"2015-01-01"	"10.21"	"10.86"	"9.31"	"17.76"	"19.73"	"16.17"
"2015-02-01"	"10.31"	"10.96"	"9.38"	"17.94"	"19.72"	"16.48"
"2015-03-01"	"10.40"	"11.06"	"9.42"	"17.94"	"19.64"	"16.56"
