"Date"	"Unemployment rate"	"Underemployment rate"
"2003-02-01"	"6.0"	"9.6"
"2003-03-01"	"6.1"	"9.8"
"2003-04-01"	"6.1"	"9.8"
"2003-05-01"	"6.1"	"10.0"
"2003-06-01"	"6.2"	"10.3"
"2003-07-01"	"6.3"	"10.6"
"2003-08-01"	"6.4"	"10.8"
"2003-09-01"	"6.2"	"10.7"
"2003-10-01"	"6.4"	"11.0"
"2003-11-01"	"6.5"	"11.3"
"2003-12-01"	"6.4"	"11.3"
"2004-01-01"	"6.3"	"11.3"
"2004-02-01"	"6.2"	"11.5"
"2004-03-01"	"6.3"	"11.6"
"2004-04-01"	"6.3"	"11.6"
"2004-05-01"	"6.1"	"11.3"
"2004-06-01"	"6.2"	"11.3"
"2004-07-01"	"6.0"	"11.0"
"2004-08-01"	"5.7"	"10.7"
"2004-09-01"	"5.7"	"10.8"
"2004-10-01"	"5.6"	"10.7"
"2004-11-01"	"5.7"	"10.6"
"2004-12-01"	"5.9"	"10.7"
"2005-01-01"	"6.1"	"10.7"
"2005-02-01"	"6.1"	"10.7"
"2005-03-01"	"5.9"	"10.4"
"2005-04-01"	"5.9"	"10.6"
"2005-05-01"	"6.0"	"10.7"
"2005-06-01"	"5.7"	"10.4"
"2005-07-01"	"6.0"	"10.5"
"2005-08-01"	"6.1"	"10.7"
"2005-09-01"	"6.1"	"10.6"
"2005-10-01"	"6.0"	"10.5"
"2005-11-01"	"5.8"	"10.4"
"2005-12-01"	"5.5"	"10.1"
"2006-01-01"	"5.3"	"9.9"
"2006-02-01"	"5.1"	"9.8"
"2006-03-01"	"5.1"	"9.6"
"2006-04-01"	"4.9"	"9.3"
"2006-05-01"	"4.8"	"9.1"
"2006-06-01"	"4.9"	"9.2"
"2006-07-01"	"4.8"	"9.2"
"2006-08-01"	"4.8"	"9.0"
"2006-09-01"	"4.7"	"8.8"
"2006-10-01"	"4.8"	"8.9"
"2006-11-01"	"4.8"	"8.8"
"2006-12-01"	"5.0"	"8.9"
"2007-01-01"	"5.0"	"9.0"
"2007-02-01"	"5.0"	"8.8"
"2007-03-01"	"4.9"	"8.7"
"2007-04-01"	"5.1"	"8.8"
"2007-05-01"	"5.1"	"8.9"
"2007-06-01"	"5.2"	"9.0"
"2007-07-01"	"5.2"	"9.1"
"2007-08-01"	"5.2"	"9.2"
"2007-09-01"	"5.5"	"9.5"
"2007-10-01"	"5.5"	"9.5"
"2007-11-01"	"5.6"	"9.6"
"2007-12-01"	"5.5"	"9.6"
"2008-01-01"	"5.6"	"9.3"
"2008-02-01"	"5.6"	"9.4"
"2008-03-01"	"5.6"	"9.4"
"2008-04-01"	"5.5"	"9.5"
"2008-05-01"	"5.5"	"9.6"
"2008-06-01"	"5.5"	"9.9"
"2008-07-01"	"5.7"	"10.0"
"2008-08-01"	"5.8"	"10.2"
"2008-09-01"	"5.7"	"10.1"
"2008-10-01"	"5.8"	"10.3"
"2008-11-01"	"5.8"	"10.4"
"2008-12-01"	"5.9"	"10.8"
"2009-01-01"	"6.2"	"11.4"
"2009-02-01"	"6.5"	"11.9"
"2009-03-01"	"6.9"	"12.6"
"2009-04-01"	"7.2"	"13.1"
"2009-05-01"	"7.4"	"13.5"
"2009-06-01"	"7.8"	"14.0"
"2009-07-01"	"7.9"	"14.4"
"2009-08-01"	"8.3"	"15.2"
"2009-09-01"	"8.4"	"15.8"
"2009-10-01"	"8.7"	"16.3"
"2009-11-01"	"8.9"	"16.8"
"2009-12-01"	"9.1"	"17.3"
"2010-01-01"	"9.1"	"17.5"
"2010-02-01"	"9.2"	"17.8"
"2010-03-01"	"9.2"	"17.7"
"2010-04-01"	"9.3"	"17.9"
"2010-05-01"	"9.3"	"18.1"
"2010-06-01"	"9.3"	"18.1"
"2010-07-01"	"9.5"	"18.3"
"2010-08-01"	"9.4"	"17.8"
"2010-09-01"	"9.4"	"18.0"
"2010-10-01"	"9.4"	"18.1"
"2010-11-01"	"9.5"	"18.2"
"2010-12-01"	"9.6"	"18.2"
"2011-01-01"	"9.7"	"18.4"
"2011-02-01"	"9.8"	"18.5"
"2011-03-01"	"9.9"	"18.6"
"2011-04-01"	"9.8"	"18.4"
"2011-05-01"	"9.7"	"18.2"
"2011-06-01"	"9.7"	"18.3"
"2011-07-01"	"9.9"	"18.5"
"2011-08-01"	"9.9"	"19.0"
"2011-09-01"	"9.9"	"18.8"
"2011-10-01"	"9.8"	"18.6"
"2011-11-01"	"9.5"	"18.4"
"2011-12-01"	"9.3"	"18.0"
"2012-01-01"	"9.1"	"17.8"
"2012-02-01"	"9.0"	"17.7"
"2012-03-01"	"8.7"	"17.5"
"2012-04-01"	"8.7"	"17.5"
"2012-05-01"	"8.7"	"17.4"
"2012-06-01"	"8.5"	"17.2"
"2012-07-01"	"8.3"	"17.2"
"2012-08-01"	"8.2"	"17.0"
"2012-09-01"	"8.0"	"17.0"
"2012-10-01"	"7.8"	"16.8"
"2012-11-01"	"7.9"	"16.6"
"2012-12-01"	"8.0"	"16.9"
"2013-01-01"	"8.0"	"16.8"
"2013-02-01"	"8.1"	"16.8"
"2013-03-01"	"8.2"	"16.8"
"2013-04-01"	"8.2"	"16.9"
"2013-05-01"	"8.3"	"17.2"
"2013-06-01"	"8.3"	"17.1"
"2013-07-01"	"8.3"	"17.0"
"2013-08-01"	"8.4"	"16.9"
"2013-09-01"	"8.6"	"17.0"
"2013-10-01"	"8.6"	"17.1"
"2013-11-01"	"8.6"	"17.2"
"2013-12-01"	"8.6"	"16.9"
"2014-01-01"	"8.6"	"17.0"
"2014-02-01"	"8.6"	"16.9"
"2014-03-01"	"8.5"	"16.8"
"2014-04-01"	"8.2"	"16.4"
"2014-05-01"	"8.0"	"16.0"
"2014-06-01"	"7.9"	"15.9"
"2014-07-01"	"7.9"	"15.8"
"2014-08-01"	"7.6"	"15.4"
"2014-09-01"	"7.6"	"15.2"
"2014-10-01"	"7.7"	"15.1"
"2014-11-01"	"7.6"	"15.1"
"2014-12-01"	"7.5"	"15.1"
"2015-01-01"	"7.4"	"15.0"
"2015-02-01"	"7.3"	"15.1"
"2015-03-01"	"7.2"	"14.9"
