event_name,total_sales,month,url,location,year,date,ID
British and Continental Ceramics,"78,108",Jan,http://www.christies.com/British-and-Continental-Ceramics-8884.aspx,"London, South Kensington",1999,28,8273
Important Old Master Drawings including Drawings from the,"11,377,765",Jan,http://www.christies.com/Important-Old-Master-Drawings-8917.aspx,"New York, Park Avenue",1999,28,9040
20th Century British Pictures,"206,356",Jan,http://www.christies.com/20th-Century-British-Pictures-8883.aspx,"London, South Kensington",1999,27,8272
Carpets and Furniture,"113,108",Jan,http://www.christies.com/Carpets-and-Furniture-8882.aspx,"London, South Kensington",1999,27,8271
"The Dovecote, North Luffenham, Rutland","464,445",Jan,http://www.christies.com/The-Dovecote-North-Luffenham--8986.aspx,"London, South Kensington",1999,27,8339
Jewellery,"59,972",Jan,http://www.christies.com/Jewellery-9045.aspx,Glasgow,1999,26,1606
Silver,"49,082",Jan,http://www.christies.com/Silver-9044.aspx,Glasgow,1999,26,1605
Silver and Plated Wares,"128,035",Jan,http://www.christies.com/Silver-and-Plated-Wares-8881.aspx,"London, South Kensington",1999,26,8270
British and Continental Watercolours and Drawings,"97,900",Jan,http://www.christies.com/British-and-Continental-Watercolours-8879.aspx,"London, South Kensington",1999,21,8268
British Interior,"5,391,023",Jan,http://www.christies.com/British-Interior-8916.aspx,"New York, Park Avenue",1999,21,9056
Oriental Works of Art,"107,485",Jan,http://www.christies.com/Oriental-Works-of-Art-8880.aspx,"London, South Kensington",1999,21,8269
Wine,"632,739",Jan,http://www.christies.com/Wine-8789.aspx,"London, King Street",1999,21,6075
Decorative Objects and Furniture,"295,809",Jan,http://www.christies.com/Decorative-Objects-and-Furniture-8878.aspx,"London, South Kensington",1999,20,8267
Furniture and Objects of Art,"132,658",Jan,http://www.christies.com/Furniture-and-Objects-of-8987.aspx,Glasgow,1999,20,1604
Costume and Textiles,"76,257",Jan,http://www.christies.com/Costume-and-Textiles-8876.aspx,"London, South Kensington",1999,19,8265
European Decorative Arts_Including Silver and Ceramics,"1,296,222",Jan,http://www.christies.com/European-Decorative-ArtsIncluding-Silver-8859.aspx,"New York, East",1999,19,8201
Jewellery,"184,500",Jan,http://www.christies.com/Jewellery-8877.aspx,"London, South Kensington",1999,19,8266
"Pictures, Watercolours and Drawings","2,420,652",Jan,http://www.christies.com/Pictures-Watercolours-and-Drawings-8967.aspx,Amsterdam,1999,19,2403
"Vintage Port, Fine Wine and Bin-Ends","79,863",Jan,http://www.christies.com/Vintage-Port-Fine-Wine-8875.aspx,"London, South Kensington",1999,18,8264
The James L. Britton Collection of Americana,"6,880,814",Jan,http://www.christies.com/The-James-L-Britton-8815.aspx,"New York, Park Avenue",1999,16,9068
Important American Furniture and Decorative Arts,"11,667,148",Jan,http://www.christies.com/Important-American-Furniture-and-8692.aspx,"New York, Park Avenue",1999,15,9054
The John Gordon Collection of Folk Americana,"2,779,087",Jan,http://www.christies.com/The-John-Gordon-Collection-8691.aspx,"New York, Park Avenue",1999,15,9052
British and Continental Pictures,"132,400",Jan,http://www.christies.com/British-and-Continental-Pictures-8873.aspx,"London, South Kensington",1999,14,8262
"Cameras, The Property of a Collector","248,256",Jan,http://www.christies.com/Cameras-The-Property-of-8874.aspx,"London, South Kensington",1999,14,8263
Carpets and Furniture,"118,876",Jan,http://www.christies.com/Carpets-and-Furniture-8872.aspx,"London, South Kensington",1999,13,8261
American Visions: Paintings and Decorative Arts,"1,516,913",Jan,http://www.christies.com/American-Visions-Paintings-and-8858.aspx,"New York, East",1999,12,8199
Silver and Plated Wares,"97,014",Jan,http://www.christies.com/Silver-and-Plated-Wares-8871.aspx,"London, South Kensington",1999,12,8260
CSK Fine Wine and Bin Ends,"109,831",Jan,http://www.christies.com/CSK-Fine-Wine-and-10025.aspx,"London, King Street",2000,31,6328
Gemaelde aus der Sammlung Dr.Georg Schaefer,"9,761,114",Jan,http://www.christies.com/Gemaelde-aus-der-Sammlung-10186.aspx,Germany,2000,31,6187
Important Old Master Drawings,"9,495,845",Jan,http://www.christies.com/Important-Old-Master-Drawings-9910.aspx,"New York, Rockefeller Plaza",2000,28,9320
Important Old Master Paintings,"39,290,500",Jan,http://www.christies.com/Important-Old-Master-Paintings-10015.aspx,"New York, Rockefeller Plaza",2000,27,9318
"Photographs, Cameras and Photographic Equipment","493,646",Jan,http://www.christies.com/Photographs-Cameras-and-Photographic-10007.aspx,"London, South Kensington",2000,27,8654
Carpets Decorative Objects and Furniture,"364,274",Jan,http://www.christies.com/Carpets-Decorative-Objects-and-10033.aspx,"London, South Kensington",2000,26,8651
European Furniture & Decorative Arts Including Ceramics,"1,080,835",Jan,http://www.christies.com/European-Furniture-and-Decorative-9991.aspx,"New York, East",2000,26,8335
Costume and Textiles,"109,186",Jan,http://www.christies.com/Costume-and-Textiles-10046.aspx,"London, South Kensington",2000,25,8648
Jewellery,"151,593",Jan,http://www.christies.com/Jewellery-10031.aspx,"London, South Kensington",2000,25,8649
"The British Interior:  English Furniture, Ceramics,","4,724,715",Jan,http://www.christies.com/The-British-Interior-10014.aspx,"New York, Rockefeller Plaza",2000,25,9316
"Important American Furniture, Silver, Prints, Folk Art","8,969,755",Jan,http://www.christies.com/Important-American-Furniture-Silver--10013.aspx,"New York, Rockefeller Plaza",2000,21,9314
The Joseph and Bathsheba Pope Valuables Cabinet,"2,422,500",Jan,http://www.christies.com/The-Joseph-and-Bathsheba-10017.aspx,"New York, Rockefeller Plaza",2000,21,9426
Oriental Ceramics and Works of Art,"129,248",Jan,http://www.christies.com/Oriental-Ceramics-and-Works-10030.aspx,"London, South Kensington",2000,20,8646
American Vision,"653,453",Jan,http://www.christies.com/American-Vision-9769.aspx,"New York, East",2000,19,8337
"Pictures, Watercolours and Drawings","2,438,427",Jan,http://www.christies.com/Pictures-Watercolours-and-Drawings-9951.aspx,Amsterdam,2000,18,2447
Silver and Plate,"90,574",Jan,http://www.christies.com/Silver-and-Plate-10029.aspx,"London, South Kensington",2000,18,8642
The Contents of Le Bois Muralt,"2,591,392",Jan,http://www.christies.com/The-Contents-of-Le-9996.aspx,"London, South Kensington",2000,18,8643
British and Continental Pictures,"146,510",Jan,http://www.christies.com/British-and-Continental-Pictures-10028.aspx,"London, South Kensington",2000,13,8641
Silver and Plate,"108,617",Feb,http://www.christies.com/Silver-and-Plate-10126.aspx,"London, South Kensington",2000,1,8656
"PICTURES, WATERCOLOURS AND DRAWINGS AT THE KUNSTFABRIEK","2,419,607",Jan,http://www.christies.com/PICTURES-WATERCOLOURS-AND-DRAWINGS-10929.aspx,Amsterdam,2001,30,2491
Important Old Master Paintings,"26,276,500",Jan,http://www.christies.com/Important-Old-Master-Paintings-10924.aspx,"New York, Rockefeller Plaza",2001,26,9558
ASIAN DECORATIVE ARTS,"145,382",Jan,http://www.christies.com/ASIAN-DECORATIVE-ARTS-11038.aspx,"London, South Kensington",2001,25,9009
"CLARET, FINE WINES AND VINTAGE PORT","588,241",Jan,http://www.christies.com/CLARET-FINE-WINES-AND-10784.aspx,"London, King Street",2001,25,6421
OLD MASTER DRAWINGS,"9,143,002",Jan,http://www.christies.com/OLD-MASTER-DRAWINGS-10753.aspx,"New York, Rockefeller Plaza",2001,24,9582
"The British Interior: English Furniture, Ceramics, Paintings","3,803,573",Jan,http://www.christies.com/The-British-Interior-English-10825.aspx,"New York, Rockefeller Plaza",2001,24,9594
WORKS OF ART FROM COUNTRY HOUSES,"898,187",Jan,http://www.christies.com/WORKS-OF-ART-FROM-10987.aspx,"London, South Kensington",2001,24,9008
Chinese Export Art,"2,657,217",Jan,http://www.christies.com/Chinese-Export-Art-11081.aspx,"New York, Rockefeller Plaza",2001,23,9724
"European Furniture, Works of Art, Ceramics and Carpets","1,302,446",Jan,http://www.christies.com/European-Furniture-Works-of-10945.aspx,"New York, East",2001,23,8489
JEWELLERY,"141,258",Jan,http://www.christies.com/JEWELLERY-11037.aspx,"London, South Kensington",2001,23,9007
AMERICAN FOLK ART: THE COLLECTION OF KENDRA & ALLAN DANIEL,"2,408,298",Jan,http://www.christies.com/AMERICAN-FOLK-ART-THE-10930.aspx,"New York, Rockefeller Plaza",2001,20,9686
GEORGE WASHINGTON: THE FIRST PRESIDENTIAL PORTRAIT,"1,216,000",Jan,http://www.christies.com/GEORGE-WASHINGTON-THE-FIRST-10931.aspx,"New York, Rockefeller Plaza",2001,19,9688
BRITISH AND CONTINENTAL PAINTINGS,"212,481",Jan,http://www.christies.com/BRITISH-AND-CONTINENTAL-PAINTINGS-11036.aspx,"London, South Kensington",2001,18,9006
Fine Prints from Audubon's Birds of America,"410,662",Jan,http://www.christies.com/Fine-Prints-from-Audubons-10938.aspx,"New York, Rockefeller Plaza",2001,18,9694
"Important American Furniture, Silver, Prints, Folk Art and","7,574,700",Jan,http://www.christies.com/Important-American-Furniture-Silver--10783.aspx,"New York, Rockefeller Plaza",2001,18,9592
"CARPETS, EUROPEAN FURNITURE, DECORATIVE OBJECTS","311,398",Jan,http://www.christies.com/CARPETS-EUROPEAN-FURNITURE-DECORATIVE-10990.aspx,"London, South Kensington",2001,17,9004
PHOTOGRAPHS FROM THE 20TH CENTURY,"1,115,827",Jan,http://www.christies.com/PHOTOGRAPHS-FROM-THE-20TH-10578.aspx,Los Angeles,2001,17,9324
"American Paintings, Furniture, Folk Art and Decorative Art","457,393",Jan,http://www.christies.com/American-Paintings-Furniture-Folk-10983.aspx,"New York, East",2001,16,8487
CAMERAS AND PHOTOGRAPHIC EQUIPMENT,"397,030",Jan,http://www.christies.com/CAMERAS-AND-PHOTOGRAPHIC-EQUIPMENT-11029.aspx,"London, South Kensington",2001,16,9002
Silver and Plated Wares,"46,459",Jan,http://www.christies.com/Silver-and-Plated-Wares-11035.aspx,"London, South Kensington",2001,16,9005
FINE AND RARE WINES: FOCUS ON ITALY (conducted with the retailer Zachys),"957,329",Jan,http://www.christies.com/FINE-AND-RARE-WINES-11077.aspx,"New York, Rockefeller Plaza",2001,12,9722
European Furniture,"182,042",Jan,http://www.christies.com/European-Furniture-11034.aspx,"London, South Kensington",2001,10,9010
PRINTED BOOKS AND MANUSCRIPTS,"830,481",Jan,http://www.christies.com/PRINTED-BOOKS-AND-MANUSCRIPTS-17393.aspx,Los Angeles,2002,31,1045
Fine Jewels,"1,271,761",Jan,http://www.christies.com/Fine-Jewels-17326.aspx,"New York, Rockefeller Plaza",2002,30,1010
COSTUME AND TEXTILES,"176,449",Jan,http://www.christies.com/COSTUME-AND-TEXTILES-17493.aspx,"London, South Kensington",2002,29,9305
JEWELLERY,"171,620",Jan,http://www.christies.com/JEWELLERY-17494.aspx,"London, South Kensington",2002,29,9306
Important Old Master Paintings,"9,287,575",Jan,http://www.christies.com/Important-Old-Master-Paintings-17325.aspx,"New York, Rockefeller Plaza",2002,25,1009
Asian Decorative Arts,"137,193",Jan,http://www.christies.com/Asian-Decorative-Arts-17492.aspx,"London, South Kensington",2002,24,9303
"CLARET, FINE WINES AND VINTAGE PORT","550,342",Jan,http://www.christies.com/CLARET-FINE-WINES-AND-11501.aspx,"London, King Street",2002,24,6550
"Carpets, European Furniture and Decorative Objects","424,257",Jan,http://www.christies.com/Carpets-European-Furniture-and-17491.aspx,"London, South Kensington",2002,23,9302
MASTER DRAWINGS FROM THE MARTIN BODMER FOUNDATION,"1,820,347",Jan,http://www.christies.com/MASTER-DRAWINGS-FROM-THE-17816.aspx,"New York, Rockefeller Plaza",2002,23,1140
Old Master and 19th Century Drawings including Property from,"6,439,365",Jan,http://www.christies.com/Old-Master-and-19th-17323.aspx,"New York, Rockefeller Plaza",2002,23,1007
"The British Interior: English Furniture, Paintings,","4,256,785",Jan,http://www.christies.com/The-British-Interior-English-17324.aspx,"New York, Rockefeller Plaza",2002,23,1008
PICTURES WATERCOLOURS AND DRAWINGS,"1,103,936",Jan,http://www.christies.com/PICTURES-WATERCOLOURS-AND-DRAWINGS-17599.aspx,Amsterdam,2002,22,2535
Silver and Plate,"53,016",Jan,http://www.christies.com/Silver-and-Plate-17490.aspx,"London, South Kensington",2002,22,9304
THE BENJAMIN F. EDWARDS III COLLECTION OF CHINESE PORCELAIN,"1,740,392",Jan,http://www.christies.com/THE-BENJAMIN-F-EDWARDS-17322.aspx,"New York, Rockefeller Plaza",2002,22,1006
"Important American Furniture, Silver and Folk Art featuring","10,752,800",Jan,http://www.christies.com/Important-American-Furniture-Silver-17319.aspx,"New York, Rockefeller Plaza",2002,18,1003
BRITISH AND CONTINENTAL PICTURES,"199,062",Jan,http://www.christies.com/BRITISH-AND-CONTINENTAL-PICTURES-17489.aspx,"London, South Kensington",2002,17,9301
European Furniture.,"148,302",Jan,http://www.christies.com/European-Furniture-17486.aspx,"London, South Kensington",2002,9,9297
JEWELLERY,"168,900",Jan,http://www.christies.com/JEWELLERY-18217.aspx,"London, South Kensington",2003,28,9559
20TH CENTURY SELF-TAUGHT AND OUTSIDER ART,"1,146,602",Jan,http://www.christies.com/20TH-CENTURY-SELF-TAUGHT-AND-18120.aspx,"New York, Rockefeller Plaza",2003,27,1183
Important Old Master Paintings,"22,062,800",Jan,http://www.christies.com/Important-Old-Master-Paintings-18119.aspx,"New York, Rockefeller Plaza",2003,24,1194
British and Continental Pictures and Works on Paper,"250,463",Jan,http://www.christies.com/British-and-Continental-Pictures-18214.aspx,"London, South Kensington",2003,23,9556
"CLARET, FINE WINES AND VINTAGE PORT","588,832",Jan,http://www.christies.com/CLARET-FINE-WINES-AND-18169.aspx,"London, King Street",2003,23,6751
European Furniture and Decorative Objects,"180,409",Jan,http://www.christies.com/European-Furniture-and-Decorative-18216.aspx,"London, South Kensington",2003,22,9558
Old Master & 19th Century Drawings including Works on Paper,"3,737,625",Jan,http://www.christies.com/Old-Master-and-19th-18117.aspx,"New York, Rockefeller Plaza",2003,22,1192
The Benjamin F. Edwards III Collection of Chinese Export,"1,895,987",Jan,http://www.christies.com/The-Benjamin-F-Edwards-18115.aspx,"New York, Rockefeller Plaza",2003,22,1190
THE COLLECTION OF MONSIEUR AND MADAME GERALD BAUER,"825,028",Jan,http://www.christies.com/THE-COLLECTION-OF-MONSIEUR-18068.aspx,"London, King Street",2003,22,6700
"Captains and Kilns: British Ceramics, Chinese Export and","2,603,134",Jan,http://www.christies.com/Captains-and-Kilns-British-18116.aspx,"New York, Rockefeller Plaza",2003,21,1191
"PICTURES, WATERCOLOURS & DRAWINGS INCL. DUTCH TOPOGRAPHICAL","838,985",Jan,http://www.christies.com/PICTURES-WATERCOLOURS-and-DRAWINGS-18185.aspx,Amsterdam,2003,21,2575
SILVER AND PLATE,"73,220",Jan,http://www.christies.com/SILVER-AND-PLATE-18215.aspx,"London, South Kensington",2003,21,9557
The Russell B. Aitken Collection of Waterfowl Decoys,"2,833,568",Jan,http://www.christies.com/The-Russell-B-Aitken-18359.aspx,"New York, Rockefeller Plaza",2003,18,1253
PENNSYLVANIA GERMAN FOLK ART FROM THE KOLAR COLLECTION,"856,695",Jan,http://www.christies.com/PENNSYLVANIA-GERMAN-FOLK-ART-18358.aspx,"New York, Rockefeller Plaza",2003,17,1252
"Important American Furniture, Silver, Prints, Scrimshaw and","8,080,668",Jan,http://www.christies.com/Important-American-Furniture-Silver--18114.aspx,"New York, Rockefeller Plaza",2003,16,1189
BIANCHINI FERIER ARC.AND A COLLECTION OF PETER TODD MITCHELL,"121,753",Jan,http://www.christies.com/BIANCHINI-FERIER-ARCAND-A-18213.aspx,"London, South Kensington",2003,15,9554
EUROPEAN FURNITURE,"122,828",Jan,http://www.christies.com/EUROPEAN-FURNITURE-18212.aspx,"London, South Kensington",2003,15,9553
The House Sale,"1,868,245",Jan,http://www.christies.com/The-House-Sale-18113.aspx,"New York, Rockefeller Plaza",2003,15,1187
American Indian Art,"1,160,333",Jan,http://www.christies.com/American-Indian-Art-17818.aspx,"New York, Rockefeller Plaza",2003,13,1142
JEWELLERY,"178,623",Jan,http://www.christies.com/JEWELLERY-18977.aspx,"London, South Kensington",2004,27,9977
Important Old Master Paintings,"11,609,082",Jan,http://www.christies.com/Important-Old-Master-Paintings-18703.aspx,"New York, Rockefeller Plaza",2004,23,1331
Old Master and 19th Century Drawings,"3,381,645",Jan,http://www.christies.com/Old-Master-and-19th-18792.aspx,"New York, Rockefeller Plaza",2004,22,1340
WINE,"643,129",Jan,http://www.christies.com/WINE-18683.aspx,"London, King Street",2004,22,6880
European Furniture and Decorative Objects,"231,651",Jan,http://www.christies.com/European-Furniture-and-Decorative-18976.aspx,"London, South Kensington",2004,21,9898
Benjamin F. Edwards III Collection of Chinese Export,"2,515,689",Jan,http://www.christies.com/Benjamin-F-Edwards-III-18791.aspx,"New York, Rockefeller Plaza",2004,20,1339
"Captains and Kilns: European Ceramics, Chinese Export and","2,389,068",Jan,http://www.christies.com/Captains-and-Kilns-European-18898.aspx,"New York, Rockefeller Plaza",2004,20,1327
MODEL CARS BELONGING TO THE LATE MIGUEL DE RANCOUGNE,"408,770",Jan,http://www.christies.com/MODEL-CARS-BELONGING-TO-18885.aspx,"London, South Kensington",2004,20,9799
ARDMORE CERAMIC ART,"118,839",Jan,http://www.christies.com/ARDMORE-CERAMIC-ART-18975.aspx,"London, South Kensington",2004,18,9798
At Home - Asian Decorative Arts,"100,973",Jan,http://www.christies.com/At-Home--Asian-18974.aspx,"London, South Kensington",2004,15,9797
At Home - British & Continental Pictures and Works on Paper,"207,651",Jan,http://www.christies.com/At-Home--British-19159.aspx,"London, South Kensington",2004,15,9796
"Important American Furniture, Folk Art, Silver, Prints and","12,460,158",Jan,http://www.christies.com/Important-American-Furniture-Folk-18532.aspx,"New York, Rockefeller Plaza",2004,15,1279
"At Home - Carpets, European Furniture, Decorative Objects","308,143",Jan,http://www.christies.com/At-Home--Carpets--18973.aspx,"London, South Kensington",2004,14,9795
The House Sale,"1,389,187",Jan,http://www.christies.com/The-House-Sale-18785.aspx,"New York, Rockefeller Plaza",2004,14,1333
AT HOME - SILVER AND PLATE,"70,758",Jan,http://www.christies.com/AT-HOME--SILVER-19099.aspx,"London, South Kensington",2004,13,9794
American Indian Art,"1,017,004",Jan,http://www.christies.com/American-Indian-Art-18784.aspx,"New York, Rockefeller Plaza",2004,12,1332
INTERIEURS,"629,628",Jan,http://www.christies.com/INTERIEURS-19549.aspx,Paris,2005,27,3035
Important Old Master Paintings  Part II,"4,231,240",Jan,http://www.christies.com/Important-Old-Master-Paintings-19918.aspx,"New York, Rockefeller Plaza",2005,26,1599
IMPORTANT OLD MASTER PAINTINGS PART I,"21,699,600",Jan,http://www.christies.com/IMPORTANT-OLD-MASTER-PAINTINGS-19319.aspx,"New York, Rockefeller Plaza",2005,26,1477
"EUROPEAN FURNITURE, WORKS OF ART, TAPESTRIES AND CARPETS","967,632",Jan,http://www.christies.com/EUROPEAN-FURNITURE-WORKS-OF-19725.aspx,"London, South Kensington",2005,25,5750
JEWELLERY,"150,756",Jan,http://www.christies.com/JEWELLERY-19789.aspx,"London, South Kensington",2005,25,5793
Old Master and 19th Century Drawings,"4,206,320",Jan,http://www.christies.com/Old-Master-and-19th-19318.aspx,"New York, Rockefeller Plaza",2005,25,1476
"PICTURES, WATERCOLOURS AND DRAWINGS","949,188",Jan,http://www.christies.com/PICTURES-WATERCOLOURS-AND-DRAWINGS-19443.aspx,Amsterdam,2005,25,2650
Chinese Export Art,"2,268,360",Jan,http://www.christies.com/Chinese-Export-Art-19317.aspx,"New York, Rockefeller Plaza",2005,24,1475
"CLARET, FINE WINES AND VINTAGE PORT","532,357",Jan,http://www.christies.com/CLARET-FINE-WINES-AND-19352.aspx,"London, King Street",2005,20,7020
"Important American Furniture, Folk Art, Silver and Prints","13,268,752",Jan,http://www.christies.com/Important-American-Furniture-Folk-19316.aspx,"New York, Rockefeller Plaza",2005,20,1474
MILLDEN - A SCOTTISH LODGE,"1,219,680",Jan,http://www.christies.com/MILLDEN--A-SCOTTISH-19822.aspx,"London, King Street",2005,20,7132
100 YEARS OF GEORG JENSEN: MAGNIFICENT SILVER,"8,873,640",Jan,http://www.christies.com/100-YEARS-OF-GEORG-19468.aspx,"New York, Rockefeller Plaza",2005,19,1512
British and Continental Pictures,"144,528",Jan,http://www.christies.com/British-and-Continental-Pictures-19650.aspx,"London, South Kensington",2005,19,5580
FINE WINE AND VINTAGE PORT,"75,933",Jan,http://www.christies.com/FINE-WINE-AND-VINTAGE-19876.aspx,"London, King Street",2005,17,7142
American Indian Art,"1,036,080",Jan,http://www.christies.com/American-Indian-Art-19315.aspx,"New York, Rockefeller Plaza",2005,13,1473
THE DAVID STYLE COLLECTION,"1,430,238",Jan,http://www.christies.com/THE-DAVID-STYLE-COLLECTION-19649.aspx,"London, South Kensington",2005,12,5748
THE HOUSE SALE,"2,446,566",Jan,http://www.christies.com/THE-HOUSE-SALE-19314.aspx,"New York, Rockefeller Plaza",2005,11,1472
Furniture and Decorative Objects,"223,560",Feb,http://www.christies.com/Furniture-and-Decorative-Objects-19726.aspx,"London, South Kensington",2005,1,5751
Silver and Plate,"73,284",Feb,http://www.christies.com/Silver-and-Plate-19790.aspx,"London, South Kensington",2005,1,5838
THE HOUSE SALE,"2,008,500",Feb,http://www.christies.com/THE-HOUSE-SALE-19320.aspx,"New York, Rockefeller Plaza",2005,1,1478
Chinese Export Porcelain,"1,994,700",Jan,http://www.christies.com/Chinese-Export-Porcelain-20024.aspx,"New York, Rockefeller Plaza",2006,26,1621
Fine English and Continental Furniture and Carpets,"969,660",Jan,http://www.christies.com/Fine-English-and-Continental-20170.aspx,"London, King Street",2006,26,7210
"H.R.H. THE PRINCE HENRY, DUKE OF GLOUCESTER KG, KT, KP","5,063,362",Jan,http://www.christies.com/HRH-THE-PRINCE-HENRY--20353.aspx,"London, King Street",2006,26,7300
Intrieurs,"854,334",Jan,http://www.christies.com/Intrieurs-19631.aspx,Paris,2006,26,5305
British and Continental Pictures and Watercolours,"104,364",Jan,http://www.christies.com/British-and-Continental-Pictures-20393.aspx,"London, South Kensington",2006,25,4030
Furniture and Decorative Objects,"182,976",Jan,http://www.christies.com/Furniture-and-Decorative-Objects-20506.aspx,"London, South Kensington",2006,24,4942
Jewellery,"191,364",Jan,http://www.christies.com/Jewellery-20507.aspx,"London, South Kensington",2006,24,4982
Old Master & 19th Century Drawings,"2,409,740",Jan,http://www.christies.com/Old-Master-and-19th-20022.aspx,"New York, Rockefeller Plaza",2006,24,1619
"Pictures, Watercolours and Drawings","1,282,488",Jan,http://www.christies.com/Pictures-Watercolours-and-Drawings-20264.aspx,Amsterdam,2006,24,2692
Silver and Plate,"66,696",Jan,http://www.christies.com/Silver-and-Plate-20508.aspx,"London, South Kensington",2006,24,4997
FINE WINES AND VINTAGE PORT,"87,903",Jan,http://www.christies.com/FINE-WINES-AND-VINTAGE-20488.aspx,"London, King Street",2006,23,7310
THE COLLECTION OF THE LATE MICHAEL COLLISHAW,"132,000",Jan,http://www.christies.com/THE-COLLECTION-OF-THE-20505.aspx,"London, South Kensington",2006,22,5023
Property from the Collection of Mr. and Mrs. E.J. Nusrala,"3,203,560",Jan,http://www.christies.com/Property-from-the-Collection-20374.aspx,"New York, Rockefeller Plaza",2006,21,1745
